benchmark,backend,machine,site_id,bit_index,fault_class,site_class,opcode,type_kind,bitwidth,function,source_file,source_line,source_column,signature_ordinal,semantic_key,compile_mode,runtime_exit_code,runtime_signal,timed_out,first_hip_hsa_boundary,hip_error_name,error_after_sync_only,output_exists,comparator_ran,comparator_result,final_result_raw,final_classification,dump_path,run_stdout,run_stderr,compare_stdout,compare_stderr,compile_stdout,compile_stderr
layout,amd,Frontier,381,0,result-value,base,icmp,int,1,_Z9AoSKernelILi4096EEvPK9AppleTreePi,/autofs/nccs-svm1_home2/mdunlavy/GPU_Fault_Injection/HeCBench/src/layout-hip/main.cu,46,20,1,_Z9AoSKernelILi4096EEvPK9AppleTreePi|base|icmp|int|1|-1|/autofs/nccs-svm1_home2/mdunlavy/GPU_Fault_Injection/HeCBench/src/layout-hip/main.cu|46|20|1,text,0,,0,,,0,0,1,compare_ok,BASELINE,BASELINE,,/autofs/nccs-svm1_home2/mdunlavy/GPU_Fault_Injection/HeCBench/results/debug_trace_top10/amd/layout/float/baseline.out,/autofs/nccs-svm1_home2/mdunlavy/GPU_Fault_Injection/HeCBench/results/debug_trace_top10/amd/layout/float/baseline.err,,,/ccs/home/mdunlavy/GPU_Fault_Injection/HeCBench/results/debug_trace_top10/amd/layout/float/trace_baseline/build_amd_binary.cmd,
layout,amd,Frontier,381,0,result-value,base,icmp,int,1,_Z9AoSKernelILi4096EEvPK9AppleTreePi,/autofs/nccs-svm1_home2/mdunlavy/GPU_Fault_Injection/HeCBench/src/layout-hip/main.cu,46,20,1,_Z9AoSKernelILi4096EEvPK9AppleTreePi|base|icmp|int|1|-1|/autofs/nccs-svm1_home2/mdunlavy/GPU_Fault_Injection/HeCBench/src/layout-hip/main.cu|46|20|1,text,0,,0,,,0,0,1,compare_ok,BASELINE,BASELINE,,/autofs/nccs-svm1_home2/mdunlavy/GPU_Fault_Injection/HeCBench/results/debug_trace_top10/amd/layout/float/baseline.out,/autofs/nccs-svm1_home2/mdunlavy/GPU_Fault_Injection/HeCBench/results/debug_trace_top10/amd/layout/float/baseline.err,,,/ccs/home/mdunlavy/GPU_Fault_Injection/HeCBench/results/debug_trace_top10/amd/layout/float/trace_baseline/build_amd_binary.cmd,
layout,amd,Frontier,381,0,result-value,base,icmp,int,1,_Z9AoSKernelILi4096EEvPK9AppleTreePi,/autofs/nccs-svm1_home2/mdunlavy/GPU_Fault_Injection/HeCBench/src/layout-hip/main.cu,46,20,1,_Z9AoSKernelILi4096EEvPK9AppleTreePi|base|icmp|int|1|-1|/autofs/nccs-svm1_home2/mdunlavy/GPU_Fault_Injection/HeCBench/src/layout-hip/main.cu|46|20|1,text,0,,0,,,0,0,1,compare_ok,MASKED,MASKED,,/autofs/nccs-svm1_home2/mdunlavy/GPU_Fault_Injection/HeCBench/results/debug_trace_top10/amd/layout/float/site381_bit0.out,/autofs/nccs-svm1_home2/mdunlavy/GPU_Fault_Injection/HeCBench/results/debug_trace_top10/amd/layout/float/site381_bit0.err,,,/ccs/home/mdunlavy/GPU_Fault_Injection/HeCBench/results/debug_trace_top10/amd/layout/float/trace_site381_bit0/build_amd_binary.cmd,
layout,amd,Frontier,381,0,result-value,base,icmp,int,1,_Z9AoSKernelILi4096EEvPK9AppleTreePi,/autofs/nccs-svm1_home2/mdunlavy/GPU_Fault_Injection/HeCBench/src/layout-hip/main.cu,46,20,1,_Z9AoSKernelILi4096EEvPK9AppleTreePi|base|icmp|int|1|-1|/autofs/nccs-svm1_home2/mdunlavy/GPU_Fault_Injection/HeCBench/src/layout-hip/main.cu|46|20|1,text,0,,0,,,0,0,1,compare_ok,MASKED,MASKED,,/autofs/nccs-svm1_home2/mdunlavy/GPU_Fault_Injection/HeCBench/results/debug_trace_top10/amd/layout/float/site381_bit0_trial2.out,/autofs/nccs-svm1_home2/mdunlavy/GPU_Fault_Injection/HeCBench/results/debug_trace_top10/amd/layout/float/site381_bit0_trial2.err,,,/ccs/home/mdunlavy/GPU_Fault_Injection/HeCBench/results/debug_trace_top10/amd/layout/float/trace_site381_bit0_trial2/build_amd_binary.cmd,
layout,amd,Frontier,417,16,result-value,base,add,int,32,_Z9AoSKernelILi4096EEvPK9AppleTreePi,/autofs/nccs-svm1_home2/mdunlavy/GPU_Fault_Injection/HeCBench/src/layout-hip/main.cu,46,33,3,_Z9AoSKernelILi4096EEvPK9AppleTreePi|base|add|int|32|-1|/autofs/nccs-svm1_home2/mdunlavy/GPU_Fault_Injection/HeCBench/src/layout-hip/main.cu|46|33|3,text,0,,0,,,0,0,1,compare_ok,MASKED,MASKED,,/autofs/nccs-svm1_home2/mdunlavy/GPU_Fault_Injection/HeCBench/results/debug_trace_top10/amd/layout/float/site417_bit16.out,/autofs/nccs-svm1_home2/mdunlavy/GPU_Fault_Injection/HeCBench/results/debug_trace_top10/amd/layout/float/site417_bit16.err,,,/ccs/home/mdunlavy/GPU_Fault_Injection/HeCBench/results/debug_trace_top10/amd/layout/float/trace_site417_bit16/build_amd_binary.cmd,
layout,amd,Frontier,417,16,result-value,base,add,int,32,_Z9AoSKernelILi4096EEvPK9AppleTreePi,/autofs/nccs-svm1_home2/mdunlavy/GPU_Fault_Injection/HeCBench/src/layout-hip/main.cu,46,33,3,_Z9AoSKernelILi4096EEvPK9AppleTreePi|base|add|int|32|-1|/autofs/nccs-svm1_home2/mdunlavy/GPU_Fault_Injection/HeCBench/src/layout-hip/main.cu|46|33|3,text,0,,0,,,0,0,1,compare_ok,MASKED,MASKED,,/autofs/nccs-svm1_home2/mdunlavy/GPU_Fault_Injection/HeCBench/results/debug_trace_top10/amd/layout/float/site417_bit16_trial2.out,/autofs/nccs-svm1_home2/mdunlavy/GPU_Fault_Injection/HeCBench/results/debug_trace_top10/amd/layout/float/site417_bit16_trial2.err,,,/ccs/home/mdunlavy/GPU_Fault_Injection/HeCBench/results/debug_trace_top10/amd/layout/float/trace_site417_bit16_trial2/build_amd_binary.cmd,
layout,amd,Frontier,422,16,result-value,base,load,int,32,_Z9AoSKernelILi4096EEvPK9AppleTreePi,/autofs/nccs-svm1_home2/mdunlavy/GPU_Fault_Injection/HeCBench/src/layout-hip/main.cu,50,17,7,_Z9AoSKernelILi4096EEvPK9AppleTreePi|base|load|int|32|-1|/autofs/nccs-svm1_home2/mdunlavy/GPU_Fault_Injection/HeCBench/src/layout-hip/main.cu|50|17|7,text,0,,0,,,0,0,1,compare_ok,MASKED,MASKED,,/autofs/nccs-svm1_home2/mdunlavy/GPU_Fault_Injection/HeCBench/results/debug_trace_top10/amd/layout/float/site422_bit16.out,/autofs/nccs-svm1_home2/mdunlavy/GPU_Fault_Injection/HeCBench/results/debug_trace_top10/amd/layout/float/site422_bit16.err,,,/ccs/home/mdunlavy/GPU_Fault_Injection/HeCBench/results/debug_trace_top10/amd/layout/float/trace_site422_bit16/build_amd_binary.cmd,
layout,amd,Frontier,422,16,result-value,base,load,int,32,_Z9AoSKernelILi4096EEvPK9AppleTreePi,/autofs/nccs-svm1_home2/mdunlavy/GPU_Fault_Injection/HeCBench/src/layout-hip/main.cu,50,17,7,_Z9AoSKernelILi4096EEvPK9AppleTreePi|base|load|int|32|-1|/autofs/nccs-svm1_home2/mdunlavy/GPU_Fault_Injection/HeCBench/src/layout-hip/main.cu|50|17|7,text,0,,0,,,0,0,1,compare_ok,MASKED,MASKED,,/autofs/nccs-svm1_home2/mdunlavy/GPU_Fault_Injection/HeCBench/results/debug_trace_top10/amd/layout/float/site422_bit16_trial2.out,/autofs/nccs-svm1_home2/mdunlavy/GPU_Fault_Injection/HeCBench/results/debug_trace_top10/amd/layout/float/site422_bit16_trial2.err,,,/ccs/home/mdunlavy/GPU_Fault_Injection/HeCBench/results/debug_trace_top10/amd/layout/float/trace_site422_bit16_trial2/build_amd_binary.cmd,
layout,amd,Frontier,521,15,result-value,base,add,int,32,_Z9SoAKernelILi4096EEvPK13ApplesOnTreesPi,/autofs/nccs-svm1_home2/mdunlavy/GPU_Fault_Injection/HeCBench/src/layout-hip/main.cu,58,38,1,_Z9SoAKernelILi4096EEvPK13ApplesOnTreesPi|base|add|int|32|-1|/autofs/nccs-svm1_home2/mdunlavy/GPU_Fault_Injection/HeCBench/src/layout-hip/main.cu|58|38|1,text,0,,0,,,0,0,1,compare_ok,MASKED,MASKED,,/autofs/nccs-svm1_home2/mdunlavy/GPU_Fault_Injection/HeCBench/results/debug_trace_top10/amd/layout/float/site521_bit15.out,/autofs/nccs-svm1_home2/mdunlavy/GPU_Fault_Injection/HeCBench/results/debug_trace_top10/amd/layout/float/site521_bit15.err,,,/ccs/home/mdunlavy/GPU_Fault_Injection/HeCBench/results/debug_trace_top10/amd/layout/float/trace_site521_bit15/build_amd_binary.cmd,
layout,amd,Frontier,521,15,result-value,base,add,int,32,_Z9SoAKernelILi4096EEvPK13ApplesOnTreesPi,/autofs/nccs-svm1_home2/mdunlavy/GPU_Fault_Injection/HeCBench/src/layout-hip/main.cu,58,38,1,_Z9SoAKernelILi4096EEvPK13ApplesOnTreesPi|base|add|int|32|-1|/autofs/nccs-svm1_home2/mdunlavy/GPU_Fault_Injection/HeCBench/src/layout-hip/main.cu|58|38|1,text,0,,0,,,0,0,1,compare_ok,MASKED,MASKED,,/autofs/nccs-svm1_home2/mdunlavy/GPU_Fault_Injection/HeCBench/results/debug_trace_top10/amd/layout/float/site521_bit15_trial2.out,/autofs/nccs-svm1_home2/mdunlavy/GPU_Fault_Injection/HeCBench/results/debug_trace_top10/amd/layout/float/site521_bit15_trial2.err,,,/ccs/home/mdunlavy/GPU_Fault_Injection/HeCBench/results/debug_trace_top10/amd/layout/float/trace_site521_bit15_trial2/build_amd_binary.cmd,
