site_id,bit_index,trial,result,exit_code,stdout,stderr,dump
1,0,1,BASELINE,0,/home/mdunlavy/GPU_FI/HeCBench/results/debug_trace_top10/nvidia/randomAccess/float/baseline.out,/home/mdunlavy/GPU_FI/HeCBench/results/debug_trace_top10/nvidia/randomAccess/float/baseline.err,
2,0,1,SDC,0,/home/mdunlavy/GPU_FI/HeCBench/results/debug_trace_top10/nvidia/randomAccess/float/site2_bit0.out,/home/mdunlavy/GPU_FI/HeCBench/results/debug_trace_top10/nvidia/randomAccess/float/site2_bit0.err,/home/mdunlavy/GPU_FI/HeCBench/results/debug_trace_top10/nvidia/randomAccess/float/randomAccess_site2_bit0.bin
2,0,2,SDC,0,/home/mdunlavy/GPU_FI/HeCBench/results/debug_trace_top10/nvidia/randomAccess/float/site2_bit0_trial2.out,/home/mdunlavy/GPU_FI/HeCBench/results/debug_trace_top10/nvidia/randomAccess/float/site2_bit0_trial2.err,/home/mdunlavy/GPU_FI/HeCBench/results/debug_trace_top10/nvidia/randomAccess/float/randomAccess_site2_bit0_trial2.bin
19,0,1,FAILURE,1,/home/mdunlavy/GPU_FI/HeCBench/results/debug_trace_top10/nvidia/randomAccess/float/site19_bit0.out,/home/mdunlavy/GPU_FI/HeCBench/results/debug_trace_top10/nvidia/randomAccess/float/site19_bit0.err,/home/mdunlavy/GPU_FI/HeCBench/results/debug_trace_top10/nvidia/randomAccess/float/randomAccess_site19_bit0.bin
19,0,2,FAILURE,1,/home/mdunlavy/GPU_FI/HeCBench/results/debug_trace_top10/nvidia/randomAccess/float/site19_bit0_trial2.out,/home/mdunlavy/GPU_FI/HeCBench/results/debug_trace_top10/nvidia/randomAccess/float/site19_bit0_trial2.err,/home/mdunlavy/GPU_FI/HeCBench/results/debug_trace_top10/nvidia/randomAccess/float/randomAccess_site19_bit0_trial2.bin
20,32,1,MASKED,0,/home/mdunlavy/GPU_FI/HeCBench/results/debug_trace_top10/nvidia/randomAccess/float/site20_bit32.out,/home/mdunlavy/GPU_FI/HeCBench/results/debug_trace_top10/nvidia/randomAccess/float/site20_bit32.err,/home/mdunlavy/GPU_FI/HeCBench/results/debug_trace_top10/nvidia/randomAccess/float/randomAccess_site20_bit32.bin
20,32,2,MASKED,0,/home/mdunlavy/GPU_FI/HeCBench/results/debug_trace_top10/nvidia/randomAccess/float/site20_bit32_trial2.out,/home/mdunlavy/GPU_FI/HeCBench/results/debug_trace_top10/nvidia/randomAccess/float/site20_bit32_trial2.err,/home/mdunlavy/GPU_FI/HeCBench/results/debug_trace_top10/nvidia/randomAccess/float/randomAccess_site20_bit32_trial2.bin
18,31,1,MASKED,0,/home/mdunlavy/GPU_FI/HeCBench/results/debug_trace_top10/nvidia/randomAccess/float/site18_bit31.out,/home/mdunlavy/GPU_FI/HeCBench/results/debug_trace_top10/nvidia/randomAccess/float/site18_bit31.err,/home/mdunlavy/GPU_FI/HeCBench/results/debug_trace_top10/nvidia/randomAccess/float/randomAccess_site18_bit31.bin
18,31,2,MASKED,0,/home/mdunlavy/GPU_FI/HeCBench/results/debug_trace_top10/nvidia/randomAccess/float/site18_bit31_trial2.out,/home/mdunlavy/GPU_FI/HeCBench/results/debug_trace_top10/nvidia/randomAccess/float/site18_bit31_trial2.err,/home/mdunlavy/GPU_FI/HeCBench/results/debug_trace_top10/nvidia/randomAccess/float/randomAccess_site18_bit31_trial2.bin
3,33,1,MASKED,0,/home/mdunlavy/GPU_FI/HeCBench/results/debug_trace_top10/nvidia/randomAccess/float/site3_bit33.out,/home/mdunlavy/GPU_FI/HeCBench/results/debug_trace_top10/nvidia/randomAccess/float/site3_bit33.err,/home/mdunlavy/GPU_FI/HeCBench/results/debug_trace_top10/nvidia/randomAccess/float/randomAccess_site3_bit33.bin
3,33,2,MASKED,0,/home/mdunlavy/GPU_FI/HeCBench/results/debug_trace_top10/nvidia/randomAccess/float/site3_bit33_trial2.out,/home/mdunlavy/GPU_FI/HeCBench/results/debug_trace_top10/nvidia/randomAccess/float/site3_bit33_trial2.err,/home/mdunlavy/GPU_FI/HeCBench/results/debug_trace_top10/nvidia/randomAccess/float/randomAccess_site3_bit33_trial2.bin
1,0,1,BASELINE,0,/home/mdunlavy/GPU_FI/HeCBench/results/debug_trace_top10/nvidia/randomAccess/float/baseline.out,/home/mdunlavy/GPU_FI/HeCBench/results/debug_trace_top10/nvidia/randomAccess/float/baseline.err,
2,0,1,SDC,0,/home/mdunlavy/GPU_FI/HeCBench/results/debug_trace_top10/nvidia/randomAccess/float/site2_bit0.out,/home/mdunlavy/GPU_FI/HeCBench/results/debug_trace_top10/nvidia/randomAccess/float/site2_bit0.err,/home/mdunlavy/GPU_FI/HeCBench/results/debug_trace_top10/nvidia/randomAccess/float/randomAccess_site2_bit0.bin
2,0,2,SDC,0,/home/mdunlavy/GPU_FI/HeCBench/results/debug_trace_top10/nvidia/randomAccess/float/site2_bit0_trial2.out,/home/mdunlavy/GPU_FI/HeCBench/results/debug_trace_top10/nvidia/randomAccess/float/site2_bit0_trial2.err,/home/mdunlavy/GPU_FI/HeCBench/results/debug_trace_top10/nvidia/randomAccess/float/randomAccess_site2_bit0_trial2.bin
19,0,1,FAILURE,1,/home/mdunlavy/GPU_FI/HeCBench/results/debug_trace_top10/nvidia/randomAccess/float/site19_bit0.out,/home/mdunlavy/GPU_FI/HeCBench/results/debug_trace_top10/nvidia/randomAccess/float/site19_bit0.err,/home/mdunlavy/GPU_FI/HeCBench/results/debug_trace_top10/nvidia/randomAccess/float/randomAccess_site19_bit0.bin
