bench,site_id,bit_index,site_class,opcode,type_kind,bitwidth,function,source_line,source_column,signature_ordinal,compare_mode,expected_outcome_category,prior_result,old_site_id,old_bit_index,fresh_metadata_path,old_metadata_path,strict_key
colorwheel,103,3,result,load,int,32,_Z7setcolsPA3_iiiii,26,14,1,exact,masked,MASKED_NOT_FLAGGED,103,3,HeCBench/results/llvm17_inject_amd_fresh/colorwheel-hip/sites_metadata.csv,HeCBench/results/llvm17_inject_amd/colorwheel/sites_metadata.csv,load|26|14|_Z7setcolsPA3_iiiii|result|int|32|1
randomAccess,268,4,result,mul,int,32,_Z9initTablePyy,60,22,1,exact,masked,MASKED_NOT_FLAGGED,268,4,HeCBench/results/llvm17_inject_amd_fresh/randomAccess-hip/sites_metadata.csv,HeCBench/results/llvm17_inject_amd/randomAccess/sites_metadata.csv,mul|60|22|_Z9initTablePyy|result|int|32|1
colorwheel,439,2,operand,sitofp,int,32,_Z5colorPhiiff,74,34,2,exact,sdc,SDC_NOT_FLAGGED,439,2,HeCBench/results/llvm17_inject_amd_fresh/colorwheel-hip/sites_metadata.csv,HeCBench/results/llvm17_inject_amd/colorwheel/sites_metadata.csv,sitofp|74|34|_Z5colorPhiiff|operand|int|32|2
randomAccess,268,6,result,mul,int,32,_Z9initTablePyy,60,22,1,exact,sdc,SDC_FLAGGED,268,6,HeCBench/results/llvm17_inject_amd_fresh/randomAccess-hip/sites_metadata.csv,HeCBench/results/llvm17_inject_amd/randomAccess/sites_metadata.csv,mul|60|22|_Z9initTablePyy|result|int|32|1
dense-embedding,362,24,result,load,int,32,_Z12dense_esuhm3IfEvPKT_S2_PS0_iPKi,85,28,13,exact,sdc,SDC_FLAGGED,362,24,HeCBench/results/llvm17_inject_amd_fresh/dense-embedding-hip/sites_metadata.csv,HeCBench/results/llvm17_inject_amd/dense-embedding/sites_metadata.csv,load|85|28|_Z12dense_esuhm3IfEvPKT_S2_PS0_iPKi|result|int|32|13
colorwheel,103,0,result,load,int,32,_Z7setcolsPA3_iiiii,26,14,1,exact,failure,FAILURE_NONHANG,103,0,HeCBench/results/llvm17_inject_amd_fresh/colorwheel-hip/sites_metadata.csv,HeCBench/results/llvm17_inject_amd/colorwheel/sites_metadata.csv,load|26|14|_Z7setcolsPA3_iiiii|result|int|32|1
dense-embedding,362,0,result,load,int,32,_Z12dense_esuhm3IfEvPKT_S2_PS0_iPKi,85,28,13,exact,failure,FAILURE_NONHANG,362,0,HeCBench/results/llvm17_inject_amd_fresh/dense-embedding-hip/sites_metadata.csv,HeCBench/results/llvm17_inject_amd/dense-embedding/sites_metadata.csv,load|85|28|_Z12dense_esuhm3IfEvPKT_S2_PS0_iPKi|result|int|32|13
entropy,392,0,pointer,load,ptr,64,_Z11entropy_optILi16ELi16EEvPfPKcPKfii,70,37,14,exact,failure,FAILURE_NONHANG,392,0,HeCBench/results/llvm17_inject_amd_fresh/entropy-hip/sites_metadata.csv,HeCBench/results/llvm17_inject_amd/entropy/sites_metadata.csv,load|70|37|_Z11entropy_optILi16ELi16EEvPfPKcPKfii|pointer|ptr|64|14
colorwheel,481,3,result,load,int,32,_Z5colorPhiiff,76,27,11,exact,due_or_hang,FAILURE_HANG,481,3,HeCBench/results/llvm17_inject_amd_fresh/colorwheel-hip/sites_metadata.csv,HeCBench/results/llvm17_inject_amd/colorwheel/sites_metadata.csv,load|76|27|_Z5colorPhiiff|result|int|32|11
entropy,482,0,operand,sitofp,int,8,_Z11entropy_optILi16ELi16EEvPfPKcPKfii,81,37,1,exact,due_or_hang,FAILURE_HANG,482,0,HeCBench/results/llvm17_inject_amd_fresh/entropy-hip/sites_metadata.csv,HeCBench/results/llvm17_inject_amd/entropy/sites_metadata.csv,sitofp|81|37|_Z11entropy_optILi16ELi16EEvPfPKcPKfii|operand|int|8|1
