worklist_id,bench,site_id,bit_index,comparison,expected_original_result,match_tier,baseline_status,runner_result,runner_exit_code,runner_stdout,runner_stderr,runner_dump,notes
1,colorwheel,81,3,all_three_anchor,SDC,family_full,pass,SDC,0,/home/mdunlavy/GPU_FI/HeCBench/results/intel_divergence_full_debug_20260721T185946Z/benchmarks/colorwheel/site81_bit3.out,/home/mdunlavy/GPU_FI/HeCBench/results/intel_divergence_full_debug_20260721T185946Z/benchmarks/colorwheel/site81_bit3.err,,
2,colorwheel,81,7,all_three_anchor,SDC,family_full,pass,SDC,0,/home/mdunlavy/GPU_FI/HeCBench/results/intel_divergence_full_debug_20260721T185946Z/benchmarks/colorwheel/site81_bit7.out,/home/mdunlavy/GPU_FI/HeCBench/results/intel_divergence_full_debug_20260721T185946Z/benchmarks/colorwheel/site81_bit7.err,,
3,colorwheel,83,3,all_three_anchor,SDC,family_full,pass,SDC,0,/home/mdunlavy/GPU_FI/HeCBench/results/intel_divergence_full_debug_20260721T185946Z/benchmarks/colorwheel/site83_bit3.out,/home/mdunlavy/GPU_FI/HeCBench/results/intel_divergence_full_debug_20260721T185946Z/benchmarks/colorwheel/site83_bit3.err,,
4,colorwheel,83,7,all_three_anchor,SDC,family_full,pass,SDC,0,/home/mdunlavy/GPU_FI/HeCBench/results/intel_divergence_full_debug_20260721T185946Z/benchmarks/colorwheel/site83_bit7.out,/home/mdunlavy/GPU_FI/HeCBench/results/intel_divergence_full_debug_20260721T185946Z/benchmarks/colorwheel/site83_bit7.err,,
5,colorwheel,75,2,all_three_anchor,SDC,family_full,pass,SDC,0,/home/mdunlavy/GPU_FI/HeCBench/results/intel_divergence_full_debug_20260721T185946Z/benchmarks/colorwheel/site75_bit2.out,/home/mdunlavy/GPU_FI/HeCBench/results/intel_divergence_full_debug_20260721T185946Z/benchmarks/colorwheel/site75_bit2.err,,
6,colorwheel,75,6,all_three_anchor,SDC,family_full,pass,SDC,0,/home/mdunlavy/GPU_FI/HeCBench/results/intel_divergence_full_debug_20260721T185946Z/benchmarks/colorwheel/site75_bit6.out,/home/mdunlavy/GPU_FI/HeCBench/results/intel_divergence_full_debug_20260721T185946Z/benchmarks/colorwheel/site75_bit6.err,,
7,colorwheel,74,3,all_three_anchor,SDC,family_full,pass,SDC,0,/home/mdunlavy/GPU_FI/HeCBench/results/intel_divergence_full_debug_20260721T185946Z/benchmarks/colorwheel/site74_bit3.out,/home/mdunlavy/GPU_FI/HeCBench/results/intel_divergence_full_debug_20260721T185946Z/benchmarks/colorwheel/site74_bit3.err,,
8,colorwheel,74,7,all_three_anchor,SDC,family_full,pass,SDC,0,/home/mdunlavy/GPU_FI/HeCBench/results/intel_divergence_full_debug_20260721T185946Z/benchmarks/colorwheel/site74_bit7.out,/home/mdunlavy/GPU_FI/HeCBench/results/intel_divergence_full_debug_20260721T185946Z/benchmarks/colorwheel/site74_bit7.err,,
9,colorwheel,76,2,all_three_anchor,SDC,family_full,pass,SDC,0,/home/mdunlavy/GPU_FI/HeCBench/results/intel_divergence_full_debug_20260721T185946Z/benchmarks/colorwheel/site76_bit2.out,/home/mdunlavy/GPU_FI/HeCBench/results/intel_divergence_full_debug_20260721T185946Z/benchmarks/colorwheel/site76_bit2.err,,
10,colorwheel,76,6,all_three_anchor,SDC,family_full,pass,SDC,0,/home/mdunlavy/GPU_FI/HeCBench/results/intel_divergence_full_debug_20260721T185946Z/benchmarks/colorwheel/site76_bit6.out,/home/mdunlavy/GPU_FI/HeCBench/results/intel_divergence_full_debug_20260721T185946Z/benchmarks/colorwheel/site76_bit6.err,,
