nvidia_site_id,sycl_site_id,match_tier,opcode,type_kind,bitwidth,operand_index
1,9,exact,store,ptr,64,0
2,8,exact,store,ptr,64,1
3,12,exact,store,ptr,64,0
4,10,exact,store,ptr,64,1
5,14,exact,store,ptr,64,0
6,11,exact,store,ptr,64,1
7,13,exact,store,ptr,64,1
8,15,exact,store,ptr,64,1
9,18,exact,store,ptr,64,1
10,17,exact,load,ptr,64,0
11,20,exact,load,ptr,64,0
12,25,exact,load,ptr,64,0
13,28,exact,load,ptr,64,0
14,16,exact,getelementptr,ptr,64,0
15,33,exact,load,ptr,64,0
16,23,exact,store,ptr,64,1
17,26,exact,store,ptr,64,1
18,54,exact,load,ptr,64,0
19,31,exact,store,ptr,64,1
20,63,exact,load,ptr,64,0
21,66,exact,load,ptr,64,0
22,68,exact,load,ptr,64,0
23,70,exact,load,ptr,64,0
24,71,exact,load,ptr,64,0
25,36,exact,store,ptr,64,1
26,73,exact,load,ptr,64,0
27,75,exact,load,ptr,64,0
28,77,exact,load,ptr,64,0
29,19,exact,getelementptr,ptr,64,0
30,78,exact,load,ptr,64,0
31,80,exact,load,ptr,64,0
32,50,exact,store,ptr,64,1
33,84,exact,load,ptr,64,0
34,53,exact,store,ptr,64,1
35,86,exact,load,ptr,64,0
36,87,exact,load,ptr,64,0
37,88,exact,load,ptr,64,0
38,24,exact,getelementptr,ptr,64,0
39,61,exact,store,ptr,64,1
40,22,exact,store,ptr,64,0
41,62,exact,store,ptr,64,1
42,30,exact,store,ptr,64,0
43,69,exact,store,ptr,64,1
44,35,exact,store,ptr,64,0
45,72,exact,store,ptr,64,1
46,81,exact,store,ptr,64,1
47,82,exact,store,ptr,64,1
48,85,exact,store,ptr,64,1
49,89,exact,load,ptr,64,0
50,90,exact,load,ptr,64,0
51,91,exact,store,ptr,64,1
52,92,exact,load,ptr,64,0
53,94,exact,load,ptr,64,0
54,95,exact,load,ptr,64,0
55,99,exact,store,ptr,64,1
56,97,exact,load,ptr,64,0
57,101,exact,store,ptr,64,1
58,98,exact,load,ptr,64,0
59,100,exact,load,ptr,64,0
60,27,exact,getelementptr,ptr,64,0
61,102,exact,load,ptr,64,0
62,107,exact,store,ptr,64,1
63,104,exact,load,ptr,64,0
64,105,exact,load,ptr,64,0
65,32,exact,getelementptr,ptr,64,0
66,148,exact,load,ptr,64,0
67,156,exact,load,ptr,64,0
68,157,exact,load,ptr,64,0
69,120,exact,store,ptr,64,1
70,163,exact,load,ptr,64,0
