nvidia_site_id,sycl_site_id,match_tier,opcode,type_kind,bitwidth,operand_index
1,216,exact,call,int,32,-1
2,222,exact,call,int,32,-1
4,224,exact,call,int,32,-1
5,75,exact,add,int,32,-1
6,71,exact,zext,int,64,-1
7,1,exact,load,int,64,-1
8,2,exact,load,int,64,-1
9,6,exact,icmp,int,1,-1
10,4,exact,load,int,64,-1
11,12,exact,load,float,32,-1
12,5,exact,load,int,64,-1
13,7,exact,load,int,64,-1
14,8,exact,load,int,64,-1
15,16,exact,sub,int,64,-1
16,10,exact,icmp,int,1,-1
17,9,exact,load,int,64,-1
18,11,exact,load,int,64,-1
19,13,exact,load,int,64,-1
20,21,exact,sub,int,64,-1
21,22,exact,udiv,int,64,-1
22,23,exact,add,int,64,-1
23,24,exact,load,float,32,-1
24,14,exact,load,int,64,-1
25,26,exact,load,float,32,-1
26,27,exact,fcmp,int,1,-1
27,15,exact,load,int,64,-1
28,18,exact,load,int,64,-1
29,19,exact,load,int,64,-1
30,20,exact,load,int,64,-1
31,35,no_bitwidth,call,int,32,-1
32,36,no_bitwidth,call,int,32,-1
34,40,no_bitwidth,call,int,32,-1
35,120,exact,add,int,32,-1
36,78,exact,zext,int,64,-1
37,25,exact,load,int,64,-1
38,28,exact,load,int,64,-1
39,17,exact,icmp,int,1,-1
40,29,exact,load,int,64,-1
41,3,exact,load,int,32,-1
42,116,exact,zext,int,64,-1
43,72,exact,lshr,int,64,-1
44,64,exact,icmp,int,1,-1
45,32,exact,load,int,32,-1
46,175,exact,add,int,32,-1
47,33,exact,load,int,32,-1
48,77,exact,sub,int,32,-1
49,123,exact,zext,int,64,-1
50,79,exact,shl,int,64,-1
51,30,exact,load,int,64,-1
52,81,exact,load,float,32,-1
53,31,exact,load,int,64,-1
54,83,exact,load,float,32,-1
55,84,exact,load,float,32,-1
56,85,exact,fcmp,int,1,-1
57,37,exact,load,int,64,-1
58,87,exact,phi,int,64,-1
59,39,exact,load,int,64,-1
60,89,exact,lshr,int,64,-1
61,68,exact,icmp,int,1,-1
62,42,exact,load,int,64,-1
63,59,exact,load,int,64,-1
64,93,exact,or,int,64,-1
65,60,exact,load,int,64,-1
66,62,exact,load,int,64,-1
67,73,exact,icmp,int,1,-1
68,97,exact,load,float,32,-1
69,63,exact,load,int,64,-1
70,99,exact,load,float,32,-1
71,100,exact,fcmp,int,1,-1
72,65,exact,load,int,64,-1
73,66,exact,load,int,64,-1
74,67,exact,load,int,64,-1
75,41,no_bitwidth,call,int,32,-1
76,44,no_bitwidth,call,int,32,-1
78,45,no_bitwidth,call,int,32,-1
80,171,exact,zext,int,64,-1
81,69,exact,load,int,64,-1
82,80,exact,load,int,64,-1
83,90,exact,icmp,int,1,-1
84,82,exact,load,int,64,-1
85,61,exact,load,int,32,-1
86,178,exact,zext,int,64,-1
87,117,exact,lshr,int,64,-1
88,96,exact,icmp,int,1,-1
89,70,exact,load,int,32,-1
91,74,exact,load,int,32,-1
92,122,exact,sub,int,32,-1
94,124,exact,shl,int,64,-1
95,86,exact,load,int,64,-1
96,126,exact,load,float,32,-1
97,88,exact,load,int,64,-1
98,128,exact,load,float,32,-1
99,129,exact,load,float,32,-1
100,130,exact,fcmp,int,1,-1
101,91,exact,load,int,64,-1
102,132,exact,phi,int,64,-1
103,92,exact,load,int,64,-1
104,134,exact,lshr,int,64,-1
105,109,exact,icmp,int,1,-1
106,94,exact,load,int,64,-1
107,95,exact,load,int,64,-1
108,138,exact,or,int,64,-1
109,98,exact,load,int,64,-1
110,101,exact,load,int,64,-1
111,113,exact,icmp,int,1,-1
112,102,exact,load,int,64,-1
113,103,exact,load,int,64,-1
114,144,exact,phi,int,64,-1
115,145,exact,load,float,32,-1
116,104,exact,load,int,64,-1
117,147,exact,load,float,32,-1
118,148,exact,fcmp,int,1,-1
119,105,exact,load,int,64,-1
120,107,exact,load,int,64,-1
121,108,exact,load,int,64,-1
122,47,no_bitwidth,call,int,32,-1
123,48,no_bitwidth,call,int,32,-1
125,50,no_bitwidth,call,int,32,-1
128,110,exact,load,int,64,-1
129,111,exact,load,int,64,-1
130,118,exact,icmp,int,1,-1
131,51,no_bitwidth,call,int,32,-1
133,112,exact,load,int,64,-1
134,135,exact,icmp,int,1,-1
135,114,exact,load,int,64,-1
136,76,exact,load,int,32,-1
138,172,exact,lshr,int,64,-1
139,141,exact,icmp,int,1,-1
140,106,exact,load,int,32,-1
142,115,exact,load,int,32,-1
143,177,exact,sub,int,32,-1
145,179,exact,shl,int,64,-1
146,125,exact,load,int,64,-1
147,127,exact,load,int,64,-1
148,182,exact,load,float,32,-1
149,131,exact,load,int,64,-1
150,184,exact,load,float,32,-1
151,185,exact,load,float,32,-1
152,186,exact,fcmp,int,1,-1
153,133,exact,load,int,64,-1
154,188,exact,phi,int,64,-1
155,136,exact,load,int,64,-1
156,190,exact,lshr,int,64,-1
157,157,exact,icmp,int,1,-1
158,137,exact,load,int,64,-1
159,139,exact,load,int,64,-1
160,194,exact,or,int,64,-1
161,140,exact,load,int,64,-1
162,142,exact,load,int,64,-1
163,161,exact,icmp,int,1,-1
164,143,exact,load,int,64,-1
165,146,exact,load,int,64,-1
166,200,exact,phi,int,64,-1
167,201,exact,load,float,32,-1
168,149,exact,load,int,64,-1
169,203,exact,load,float,32,-1
170,204,exact,fcmp,int,1,-1
171,150,exact,load,int,64,-1
172,151,exact,load,int,64,-1
173,152,exact,load,int,64,-1
