nvidia_site_id,sycl_site_id,match_tier,opcode,type_kind,bitwidth,operand_index
1,1,exact,load,int,32,-1
2,2,exact,load,int,32,-1
3,57,exact,sext,int,64,-1
4,5,exact,load,int,32,-1
5,6,exact,load,int,32,-1
6,152,exact,sext,int,64,-1
7,9,exact,load,int,32,-1
8,15,exact,load,int,32,-1
9,154,exact,sext,int,64,-1
10,21,exact,load,int,32,-1
11,12,exact,icmp,int,1,-1
12,22,exact,load,int,32,-1
13,53,exact,mul,int,32,-1
14,69,exact,sdiv,int,32,-1
15,24,exact,load,int,32,-1
16,55,exact,add,int,32,-1
17,25,exact,load,int,32,-1
18,71,exact,add,int,32,-1
19,27,exact,load,int,32,-1
20,18,exact,icmp,int,1,-1
21,29,exact,load,int,32,-1
22,56,exact,mul,int,32,-1
23,78,exact,sdiv,int,32,-1
24,79,exact,sub,int,32,-1
25,36,exact,load,int,32,-1
26,73,exact,add,int,32,-1
27,38,exact,load,int,32,-1
28,81,exact,add,int,32,-1
29,45,exact,load,int,32,-1
30,23,exact,icmp,int,1,-1
31,46,exact,load,int,32,-1
32,68,exact,mul,int,32,-1
33,88,exact,sdiv,int,32,-1
34,48,exact,load,int,32,-1
35,83,exact,add,int,32,-1
36,49,exact,load,int,32,-1
37,90,exact,add,int,32,-1
38,51,exact,load,int,32,-1
39,26,exact,icmp,int,1,-1
40,52,exact,load,int,32,-1
41,77,exact,mul,int,32,-1
42,97,exact,sdiv,int,32,-1
43,98,exact,sub,int,32,-1
44,54,exact,load,int,32,-1
45,92,exact,add,int,32,-1
46,65,exact,load,int,32,-1
47,100,exact,add,int,32,-1
48,67,exact,load,int,32,-1
49,47,exact,icmp,int,1,-1
50,70,exact,load,int,32,-1
51,87,exact,mul,int,32,-1
52,107,exact,sdiv,int,32,-1
53,72,exact,load,int,32,-1
54,102,exact,add,int,32,-1
55,74,exact,load,int,32,-1
56,109,exact,add,int,32,-1
57,76,exact,load,int,32,-1
58,50,exact,icmp,int,1,-1
59,80,exact,load,int,32,-1
60,96,exact,mul,int,32,-1
61,116,exact,sdiv,int,32,-1
62,117,exact,sub,int,32,-1
63,82,exact,load,int,32,-1
64,111,exact,add,int,32,-1
65,84,exact,load,int,32,-1
66,119,exact,add,int,32,-1
67,3,exact,load,float,32,-1
68,4,exact,load,float,32,-1
69,33,exact,fmul,float,32,-1
70,7,exact,load,float,32,-1
71,8,exact,load,float,32,-1
72,42,exact,fmul,float,32,-1
73,128,exact,fadd,float,32,-1
74,32,exact,load,float,32,-1
75,31,exact,call,float,32,-1
76,34,exact,load,float,32,-1
77,131,exact,fneg,float,32,-1
78,41,exact,load,float,32,-1
79,133,exact,fneg,float,32,-1
80,43,exact,load,float,32,-1
81,58,exact,load,float,32,-1
82,40,exact,call,float,32,-1
83,60,exact,call,float,32,-1
84,174,exact,fcmp,int,1,-1
87,66,exact,icmp,int,1,-1
97,75,exact,icmp,int,1,-1
104,63,exact,call,float,32,-1
105,129,exact,call,float,32,-1
107,134,exact,call,float,32,-1
108,135,exact,call,float,32,-1
109,138,exact,call,float,32,-1
110,124,exact,fmul,float,32,-1
111,127,exact,fmul,float,32,-1
112,137,exact,fadd,float,32,-1
113,157,exact,call,float,32,-1
114,164,exact,call,float,32,-1
116,213,exact,call,float,32,-1
118,35,exact,fsub,float,32,-1
121,85,exact,icmp,int,1,-1
122,44,exact,fsub,float,32,-1
129,172,exact,fadd,float,32,-1
135,59,exact,load,float,32,-1
138,139,exact,fmul,float,32,-1
139,61,exact,load,float,32,-1
140,141,exact,fptosi,int,32,-1
141,86,exact,load,int,32,-1
142,121,exact,add,int,32,-1
143,144,exact,srem,int,32,-1
144,62,exact,load,float,32,-1
145,89,exact,load,int,32,-1
146,28,exact,sitofp,float,32,-1
147,148,exact,fsub,float,32,-1
148,91,exact,load,int,32,-1
149,94,exact,icmp,int,1,-1
150,93,exact,load,int,32,-1
151,159,exact,sext,int,64,-1
152,95,exact,load,int,32,-1
153,161,exact,sext,int,64,-1
154,99,exact,load,int,32,-1
155,30,exact,sitofp,float,32,-1
157,101,exact,load,int,32,-1
158,188,exact,sext,int,64,-1
159,103,exact,load,int,32,-1
160,193,exact,sext,int,64,-1
161,105,exact,load,int,32,-1
162,37,exact,sitofp,float,32,-1
164,122,exact,load,float,32,-1
165,166,exact,fsub,float,32,-1
166,123,exact,load,float,32,-1
167,168,exact,fmul,float,32,-1
168,125,exact,load,float,32,-1
169,126,exact,load,float,32,-1
170,171,exact,fmul,float,32,-1
172,130,exact,load,float,32,-1
174,132,exact,load,float,32,-1
175,136,exact,load,float,32,-1
176,177,exact,fsub,float,32,-1
177,178,exact,fmul,float,32,-1
178,179,exact,fsub,float,32,-1
179,140,exact,load,float,32,-1
180,181,exact,fmul,float,32,-1
181,145,exact,load,float,32,-1
182,183,exact,fmul,float,32,-1
183,184,exact,fptosi,int,32,-1
184,185,exact,trunc,int,8,-1
185,108,exact,load,int,32,-1
186,187,exact,sub,int,32,-1
187,206,exact,sext,int,64,-1
188,110,exact,load,int,32,-1
189,143,exact,add,int,32,-1
190,194,no_bitwidth,call,int,32,-1
191,195,no_bitwidth,call,int,32,-1
192,106,exact,mul,int,32,-1
193,196,no_bitwidth,call,int,32,-1
194,190,exact,add,int,32,-1
195,197,no_bitwidth,call,int,32,-1
196,222,no_bitwidth,call,int,32,-1
197,115,exact,mul,int,32,-1
198,223,no_bitwidth,call,int,32,-1
200,112,exact,load,int,32,-1
201,114,exact,load,int,32,-1
202,104,exact,icmp,int,1,-1
203,118,exact,load,int,32,-1
204,120,exact,load,int,32,-1
205,113,exact,icmp,int,1,-1
206,142,exact,load,int,32,-1
207,39,exact,sitofp,float,32,-1
208,146,exact,load,int,32,-1
209,147,exact,sitofp,float,32,-1
211,165,exact,load,float,32,-1
213,167,exact,load,float,32,-1
215,149,exact,load,int,32,-1
216,156,exact,sitofp,float,32,-1
217,151,exact,load,int,32,-1
218,163,exact,sitofp,float,32,-1
220,169,exact,load,float,32,-1
222,170,exact,load,float,32,-1
224,153,exact,load,int,32,-1
225,155,exact,load,int,32,-1
226,150,exact,icmp,int,1,-1
227,158,exact,load,int,32,-1
228,160,exact,load,int,32,-1
230,162,exact,load,int,32,-1
231,186,exact,load,int,32,-1
233,189,exact,load,int,32,-1
236,209,exact,sext,int,64,-1
237,173,exact,load,float,32,-1
238,175,exact,load,float,32,-1
240,176,exact,load,float,32,-1
241,180,exact,load,float,32,-1
243,10,exact,load,int,64,-1
