nvidia_site_id,sycl_site_id,match_tier,opcode,type_kind,bitwidth,operand_index
1,9,no_bitwidth,call,int,32,-1
2,69,no_bitwidth,call,int,32,-1
3,70,no_bitwidth,call,int,32,-1
4,1,exact,load,int,32,-1
5,18,exact,add,int,32,-1
6,19,exact,sext,int,64,-1
7,2,exact,load,int,32,-1
8,3,exact,load,int,32,-1
9,22,exact,sext,int,64,-1
10,11,exact,load,int,32,-1
11,24,exact,sub,int,32,-1
12,17,exact,load,int,32,-1
13,20,exact,load,int,32,-1
14,21,exact,load,int,32,-1
15,6,exact,icmp,int,1,-1
16,23,exact,load,int,32,-1
17,25,exact,load,int,32,-1
18,31,exact,mul,int,32,-1
19,26,exact,load,int,32,-1
20,33,exact,add,int,32,-1
21,34,exact,sext,int,64,-1
22,35,exact,load,float,32,-1
23,27,exact,load,int,32,-1
24,29,exact,load,int,32,-1
25,30,exact,load,int,32,-1
26,14,exact,icmp,int,1,-1
27,32,exact,load,int,32,-1
28,41,exact,sext,int,64,-1
29,36,exact,load,int,32,-1
30,37,exact,load,int,32,-1
31,44,exact,add,int,32,-1
32,45,exact,sext,int,64,-1
33,46,exact,load,float,32,-1
34,47,exact,load,float,32,-1
35,48,exact,fadd,float,32,-1
36,38,exact,load,int,32,-1
37,50,exact,sext,int,64,-1
38,40,exact,load,int,32,-1
39,42,exact,load,int,32,-1
40,53,exact,add,int,32,-1
41,54,exact,sext,int,64,-1
42,43,exact,load,int,32,-1
43,49,exact,load,int,32,-1
44,57,exact,add,int,32,-1
45,51,exact,load,int,32,-1
46,52,exact,load,int,32,-1
47,60,exact,add,int,32,-1
48,74,no_bitwidth,call,int,32,-1
49,55,exact,load,int,32,-1
50,68,exact,sext,int,64,-1
51,56,exact,load,int,32,-1
52,58,exact,load,int,32,-1
53,105,exact,add,int,32,-1
54,102,exact,sext,int,64,-1
55,59,exact,load,int,32,-1
56,61,exact,load,int,32,-1
57,109,exact,sub,int,32,-1
58,75,no_bitwidth,call,int,32,-1
59,66,exact,load,int,32,-1
60,67,exact,load,int,32,-1
61,28,exact,icmp,int,1,-1
62,93,exact,load,int,32,-1
63,94,exact,load,int,32,-1
64,121,exact,mul,int,32,-1
65,95,exact,load,int,32,-1
66,123,exact,add,int,32,-1
67,106,exact,sext,int,64,-1
68,125,exact,load,float,32,-1
69,101,exact,load,int,32,-1
70,103,exact,load,int,32,-1
71,104,exact,load,int,32,-1
72,39,exact,icmp,int,1,-1
73,107,exact,load,int,32,-1
74,108,exact,load,int,32,-1
75,132,exact,add,int,32,-1
76,124,exact,sext,int,64,-1
77,134,exact,load,float,32,-1
78,135,exact,load,float,32,-1
79,136,exact,fadd,float,32,-1
80,110,exact,load,int,32,-1
81,116,exact,load,int,32,-1
82,139,exact,add,int,32,-1
83,133,exact,sext,int,64,-1
84,117,exact,load,int,32,-1
85,119,exact,load,int,32,-1
86,143,exact,add,int,32,-1
87,78,no_bitwidth,call,int,32,-1
88,120,exact,load,int,32,-1
89,161,exact,add,int,32,-1
90,79,no_bitwidth,call,int,32,-1
91,122,exact,load,int,32,-1
92,140,exact,sext,int,64,-1
93,126,exact,load,int,32,-1
94,127,exact,load,int,32,-1
95,183,exact,add,int,32,-1
96,146,exact,sext,int,64,-1
97,128,exact,load,int,32,-1
98,130,exact,load,int,32,-1
99,165,exact,sub,int,32,-1
100,131,exact,load,int,32,-1
101,137,exact,load,int,32,-1
102,64,exact,icmp,int,1,-1
103,138,exact,load,int,32,-1
104,81,no_bitwidth,call,int,32,-1
105,192,exact,add,int,32,-1
106,141,exact,load,int,32,-1
107,142,exact,load,int,32,-1
108,98,exact,icmp,int,1,-1
109,145,exact,load,int,32,-1
110,149,exact,load,int,32,-1
111,200,exact,add,int,32,-1
112,158,exact,sext,int,64,-1
113,185,exact,load,float,32,-1
114,150,exact,load,int,32,-1
115,151,exact,load,int,32,-1
116,188,exact,mul,int,32,-1
117,157,exact,load,int,32,-1
118,159,exact,load,int,32,-1
119,191,exact,srem,int,32,-1
120,147,no_bitwidth,add,int,32,-1
121,162,exact,sext,int,64,-1
122,194,exact,load,float,32,-1
123,195,exact,load,float,32,-1
124,196,exact,load,float,32,-1
125,197,exact,fadd,float,32,-1
126,160,exact,load,int,32,-1
127,163,exact,load,int,32,-1
128,176,no_bitwidth,add,int,32,-1
129,170,exact,sext,int,64,-1
130,82,no_bitwidth,call,int,32,-1
131,164,exact,load,int,32,-1
132,205,no_bitwidth,add,int,32,-1
