nvidia_site_id,sycl_site_id,match_tier,opcode,type_kind,bitwidth,operand_index
1,1,exact,store,int,32,0
2,2,exact,store,int,32,0
3,49,exact,mul,int,32,0
4,50,exact,mul,int,32,1
5,27,exact,add,int,32,0
6,34,exact,add,int,32,1
7,3,exact,store,int,32,0
8,85,exact,mul,int,32,0
9,86,exact,mul,int,32,1
10,33,exact,add,int,32,0
11,37,exact,add,int,32,1
12,4,exact,store,int,32,0
13,17,exact,icmp,int,32,0
14,18,exact,icmp,int,32,1
15,19,exact,br,int,1,0
16,20,exact,icmp,int,32,0
17,21,exact,icmp,int,32,1
18,22,exact,br,int,1,0
19,23,exact,icmp,int,32,0
20,24,exact,br,int,1,0
21,25,exact,sext,int,32,0
22,26,exact,getelementptr,int,64,2
23,36,exact,add,int,32,0
24,10,exact,store,int,32,0
25,29,exact,icmp,int,32,0
26,30,exact,br,int,1,0
27,31,exact,icmp,int,32,0
28,32,exact,br,int,1,0
29,51,exact,add,int,32,0
30,52,exact,add,int,32,1
31,16,exact,store,int,32,0
32,61,exact,add,int,32,0
33,88,exact,add,int,32,1
34,28,exact,store,int,32,0
35,39,exact,icmp,int,32,0
36,40,exact,br,int,1,0
37,41,exact,icmp,int,32,0
38,42,exact,br,int,1,0
39,43,exact,icmp,int,32,0
40,44,exact,icmp,int,32,1
41,45,exact,br,int,1,0
42,46,exact,icmp,int,32,0
43,47,exact,icmp,int,32,1
44,48,exact,br,int,1,0
45,221,exact,mul,int,32,0
46,222,exact,mul,int,32,1
47,63,exact,add,int,32,0
48,206,exact,add,int,32,1
49,53,exact,sext,int,32,0
50,54,exact,getelementptr,int,64,1
51,55,exact,sext,int,8,0
52,56,exact,getelementptr,int,64,2
53,57,exact,add,int,8,0
54,58,exact,store,int,8,0
55,59,exact,add,int,8,0
56,60,exact,store,int,8,0
57,83,exact,add,int,32,0
58,35,exact,store,int,32,0
59,87,exact,add,int,32,0
60,38,exact,store,int,32,0
61,65,exact,sext,int,8,0
62,66,exact,icmp,int,32,0
63,67,exact,br,int,1,0
64,68,exact,icmp,int,32,0
65,69,exact,br,int,1,0
66,70,exact,sext,int,32,0
67,71,exact,getelementptr,int,64,2
68,72,exact,sitofp,int,8,0
69,73,exact,sitofp,int,8,0
70,76,exact,store,float,32,0
71,82,exact,store,float,32,0
72,74,exact,call,float,32,0
74,91,exact,store,float,32,0
75,92,exact,store,float,32,0
76,77,exact,call,float,32,0
77,78,exact,fmul,float,32,0
78,79,exact,fmul,float,32,1
79,80,exact,fsub,float,32,0
80,81,exact,fsub,float,32,1
81,93,exact,store,float,32,0
82,199,exact,add,int,32,0
83,62,exact,store,int,32,0
84,261,exact,mul,int,32,0
85,262,exact,mul,int,32,1
86,205,exact,add,int,32,0
87,209,exact,add,int,32,1
88,89,exact,sext,int,32,0
89,90,exact,getelementptr,int,64,1
90,97,exact,store,float,32,0
91,64,exact,store,int,32,0
92,84,exact,store,int,32,0
93,184,no_bitwidth,mul,int,32,0
94,290,no_bitwidth,mul,int,32,1
95,208,exact,add,int,32,0
96,224,exact,add,int,32,1
97,100,exact,store,int,32,0
98,291,no_bitwidth,mul,int,32,0
100,223,exact,add,int,32,0
101,264,exact,add,int,32,1
102,101,exact,store,int,32,0
103,174,exact,icmp,int,32,0
104,175,exact,icmp,int,32,1
105,176,exact,br,int,1,0
106,177,exact,icmp,int,32,0
107,178,exact,icmp,int,32,1
108,179,exact,br,int,1,0
110,231,exact,add,int,32,0
111,235,no_operand,add,int,32,1
112,158,exact,store,int,32,0
113,193,exact,icmp,int,32,0
114,194,exact,br,int,1,0
115,102,exact,sext,int,32,0
116,103,exact,getelementptr,int,64,2
117,195,exact,sext,int,32,0
118,300,exact,getelementptr,int,64,2
119,237,exact,add,int,32,0
120,159,exact,store,int,32,0
121,201,exact,icmp,int,32,0
122,202,exact,br,int,1,0
123,203,exact,icmp,int,32,0
124,204,exact,br,int,1,0
125,250,exact,add,int,32,0
126,263,no_operand,add,int,32,1
127,160,exact,store,int,32,0
128,189,no_bitwidth,add,int,32,0
129,190,no_bitwidth,add,int,32,1
130,161,exact,store,int,32,0
131,211,exact,icmp,int,32,0
132,212,exact,br,int,1,0
133,213,exact,icmp,int,32,0
134,214,exact,br,int,1,0
135,215,exact,icmp,int,32,0
136,216,exact,icmp,int,32,1
137,217,exact,br,int,1,0
138,218,exact,icmp,int,32,0
139,219,exact,icmp,int,32,1
140,220,exact,br,int,1,0
143,233,no_bitwidth,add,int,32,0
144,294,no_bitwidth,add,int,32,1
145,197,exact,sext,int,32,0
146,226,exact,getelementptr,int,64,1
147,227,exact,sext,int,8,0
148,246,no_operand,getelementptr,int,64,2
149,225,exact,sext,int,32,0
150,266,no_operand,getelementptr,int,64,2
151,295,no_bitwidth,add,int,32,0
152,167,exact,store,int,32,0
154,234,exact,store,int,8,0
156,173,exact,store,int,32,0
158,192,exact,store,int,32,0
159,239,exact,icmp,int,32,0
160,240,exact,br,int,1,0
161,229,exact,sext,int,32,0
162,283,no_operand,getelementptr,int,64,2
163,241,exact,sext,int,32,0
165,243,exact,sext,int,32,0
167,247,exact,fsub,float,32,0
168,248,exact,fsub,float,32,1
169,249,exact,store,float,32,0
171,200,exact,store,int,32,0
172,252,exact,sext,int,8,0
173,253,exact,sitofp,int,32,0
176,256,exact,sitofp,int,8,0
177,260,exact,store,float,32,0
178,94,exact,call,float,32,0
179,258,exact,fadd,float,32,0
180,259,exact,fadd,float,32,1
181,267,exact,store,float,32,0
186,245,exact,sext,int,32,0
