nvidia_site_id,sycl_site_id,match_tier,opcode,type_kind,bitwidth,operand_index
1,9,exact,store,ptr,64,0
2,7,exact,store,ptr,64,1
3,11,exact,store,ptr,64,0
4,8,exact,store,ptr,64,1
5,10,exact,store,ptr,64,1
6,12,exact,store,ptr,64,1
7,15,exact,store,ptr,64,1
8,18,exact,store,ptr,64,1
9,14,exact,load,ptr,64,0
10,17,exact,load,ptr,64,0
11,20,exact,load,ptr,64,0
12,25,exact,load,ptr,64,0
13,23,exact,store,ptr,64,1
14,53,exact,load,ptr,64,0
15,62,exact,load,ptr,64,0
16,13,exact,getelementptr,ptr,64,0
17,28,exact,store,ptr,64,1
18,65,exact,load,ptr,64,0
19,49,exact,store,ptr,64,1
20,52,exact,store,ptr,64,1
21,60,exact,store,ptr,64,1
22,67,exact,load,ptr,64,0
23,61,exact,store,ptr,64,1
24,69,exact,load,ptr,64,0
25,70,exact,load,ptr,64,0
26,80,exact,load,ptr,64,0
27,68,exact,store,ptr,64,1
28,83,exact,load,ptr,64,0
29,85,exact,load,ptr,64,0
30,71,exact,store,ptr,64,1
31,87,exact,load,ptr,64,0
32,88,exact,load,ptr,64,0
33,90,exact,load,ptr,64,0
34,92,exact,load,ptr,64,0
35,93,exact,load,ptr,64,0
36,95,exact,load,ptr,64,0
37,97,exact,load,ptr,64,0
38,98,exact,load,ptr,64,0
39,101,exact,load,ptr,64,0
40,105,exact,load,ptr,64,0
41,16,exact,getelementptr,ptr,64,0
42,107,exact,load,ptr,64,0
43,19,exact,getelementptr,ptr,64,0
44,108,exact,load,ptr,64,0
45,78,exact,store,ptr,64,1
46,109,exact,load,ptr,64,0
47,79,exact,store,ptr,64,1
48,111,exact,load,ptr,64,0
49,86,exact,store,ptr,64,1
50,112,exact,load,ptr,64,0
51,89,exact,store,ptr,64,1
52,96,exact,store,ptr,64,1
53,114,exact,load,ptr,64,0
54,100,exact,store,ptr,64,1
55,102,exact,store,ptr,64,1
56,115,exact,load,ptr,64,0
57,116,exact,load,ptr,64,0
58,24,exact,getelementptr,ptr,64,0
59,118,exact,load,ptr,64,0
60,119,exact,load,ptr,64,0
61,103,exact,store,ptr,64,1
62,104,exact,store,ptr,64,1
63,121,exact,load,ptr,64,0
64,123,exact,load,ptr,64,0
65,106,exact,store,ptr,64,1
66,124,exact,load,ptr,64,0
67,126,exact,load,ptr,64,0
68,110,exact,store,ptr,64,1
69,127,exact,load,ptr,64,0
70,129,exact,load,ptr,64,0
71,113,exact,store,ptr,64,1
72,131,exact,load,ptr,64,0
73,132,exact,store,ptr,64,1
74,133,exact,load,ptr,64,0
75,135,exact,load,ptr,64,0
76,137,exact,load,ptr,64,0
77,140,exact,load,ptr,64,0
78,143,exact,load,ptr,64,0
79,91,exact,getelementptr,ptr,64,0
80,134,exact,store,ptr,64,1
81,22,exact,store,ptr,64,0
82,136,exact,store,ptr,64,1
83,27,exact,store,ptr,64,0
84,138,exact,store,ptr,64,1
85,48,exact,store,ptr,64,0
86,139,exact,store,ptr,64,1
87,141,exact,store,ptr,64,1
88,142,exact,store,ptr,64,1
89,148,exact,store,ptr,64,1
90,152,exact,store,ptr,64,1
91,144,exact,load,ptr,64,0
92,146,exact,load,ptr,64,0
93,147,exact,load,ptr,64,0
94,149,exact,load,ptr,64,0
95,154,exact,store,ptr,64,1
96,163,exact,store,ptr,64,1
97,150,exact,load,ptr,64,0
98,151,exact,load,ptr,64,0
99,153,exact,load,ptr,64,0
100,94,exact,getelementptr,ptr,64,0
101,176,exact,store,ptr,64,1
102,155,exact,load,ptr,64,0
103,204,exact,store,ptr,64,1
104,205,exact,store,ptr,64,1
105,210,exact,store,ptr,64,1
106,157,exact,load,ptr,64,0
107,214,exact,store,ptr,64,1
108,158,exact,load,ptr,64,0
109,160,exact,load,ptr,64,0
110,161,exact,load,ptr,64,0
111,221,exact,store,ptr,64,1
112,206,exact,load,ptr,64,0
113,207,exact,load,ptr,64,0
114,222,exact,store,ptr,64,1
115,211,exact,load,ptr,64,0
116,215,exact,load,ptr,64,0
117,223,exact,load,ptr,64,0
118,224,exact,load,ptr,64,0
119,230,exact,load,ptr,64,0
120,232,exact,load,ptr,64,0
121,246,exact,load,ptr,64,0
122,247,exact,load,ptr,64,0
123,248,exact,load,ptr,64,0
124,259,exact,load,ptr,64,0
125,99,exact,getelementptr,ptr,64,0
126,261,exact,load,ptr,64,0
127,264,exact,load,ptr,64,0
128,117,exact,getelementptr,ptr,64,0
129,285,exact,load,ptr,64,0
130,228,exact,store,ptr,64,1
131,286,exact,load,ptr,64,0
132,229,exact,store,ptr,64,1
133,287,exact,load,ptr,64,0
134,243,exact,store,ptr,64,1
135,290,exact,load,ptr,64,0
136,244,exact,store,ptr,64,1
137,245,exact,store,ptr,64,1
138,256,exact,store,ptr,64,1
139,306,exact,load,ptr,64,0
140,307,exact,load,ptr,64,0
141,308,exact,load,ptr,64,0
142,319,exact,load,ptr,64,0
143,120,exact,getelementptr,ptr,64,0
144,320,exact,load,ptr,64,0
145,122,exact,getelementptr,ptr,64,0
146,333,exact,load,ptr,64,0
147,334,exact,load,ptr,64,0
148,257,exact,store,ptr,64,1
149,335,exact,load,ptr,64,0
150,258,exact,store,ptr,64,1
151,350,exact,load,ptr,64,0
152,351,exact,load,ptr,64,0
153,352,exact,load,ptr,64,0
154,262,exact,store,ptr,64,1
155,397,exact,load,ptr,64,0
156,265,exact,store,ptr,64,1
157,399,exact,load,ptr,64,0
158,403,exact,load,ptr,64,0
159,410,exact,load,ptr,64,0
160,425,exact,load,ptr,64,0
161,428,exact,load,ptr,64,0
162,125,exact,getelementptr,ptr,64,0
163,278,exact,store,ptr,64,1
