nvidia_site_id,sycl_site_id,match_tier,opcode,type_kind,bitwidth,operand_index
1,98,no_bitwidth,call,int,32,-1
2,99,no_bitwidth,call,int,32,-1
3,100,no_bitwidth,call,int,32,-1
4,49,exact,mul,int,32,-1
5,26,exact,add,int,32,-1
6,101,no_bitwidth,call,int,32,-1
7,108,no_bitwidth,call,int,32,-1
8,109,no_bitwidth,call,int,32,-1
9,86,exact,mul,int,32,-1
10,33,exact,add,int,32,-1
11,1,exact,load,int,32,-1
12,2,exact,load,int,32,-1
13,6,exact,icmp,int,1,-1
14,3,exact,load,int,32,-1
15,9,exact,load,int,32,-1
16,12,exact,icmp,int,1,-1
17,15,exact,load,int,32,-1
18,17,exact,icmp,int,1,-1
19,16,exact,load,int,32,-1
20,24,exact,sext,int,64,-1
21,18,exact,load,int,32,-1
22,36,exact,add,int,32,-1
23,19,exact,load,int,32,-1
24,20,exact,icmp,int,1,-1
25,21,exact,load,int,32,-1
26,22,exact,icmp,int,1,-1
27,23,exact,load,int,32,-1
28,25,exact,load,int,32,-1
29,51,exact,add,int,32,-1
30,27,exact,load,int,32,-1
31,29,exact,load,int,32,-1
32,60,exact,add,int,32,-1
33,31,exact,load,int,32,-1
34,28,exact,icmp,int,1,-1
35,32,exact,load,int,32,-1
36,30,exact,icmp,int,1,-1
37,34,exact,load,int,32,-1
38,35,exact,load,int,32,-1
39,38,exact,icmp,int,1,-1
40,37,exact,load,int,32,-1
41,39,exact,load,int,32,-1
42,40,exact,icmp,int,1,-1
43,41,exact,load,int,32,-1
44,42,exact,load,int,32,-1
45,209,exact,mul,int,32,-1
46,44,exact,load,int,32,-1
47,62,exact,add,int,32,-1
48,52,exact,sext,int,64,-1
49,53,exact,load,int,8,-1
50,54,exact,sext,int,64,-1
51,55,exact,load,int,8,-1
52,56,exact,add,int,8,-1
53,57,exact,load,int,8,-1
54,58,exact,add,int,8,-1
55,45,exact,load,int,32,-1
56,82,exact,add,int,32,-1
57,47,exact,load,int,32,-1
58,88,exact,add,int,32,-1
59,63,exact,load,int,8,-1
60,64,exact,sext,int,32,-1
61,43,exact,icmp,int,1,-1
62,48,exact,load,int,32,-1
63,46,exact,icmp,int,1,-1
64,50,exact,load,int,32,-1
65,69,exact,sext,int,64,-1
66,70,exact,load,int,8,-1
67,71,exact,sitofp,float,32,-1
68,72,exact,load,int,8,-1
69,73,exact,sitofp,float,32,-1
