nvidia_site_id,sycl_site_id,match_tier,opcode,type_kind,bitwidth,operand_index
1,217,exact,call,int,32,-1
2,249,exact,call,int,32,-1
3,251,exact,call,int,32,-1
4,44,exact,mul,int,32,-1
5,45,exact,add,int,32,-1
6,263,exact,call,int,32,-1
7,265,exact,call,int,32,-1
8,3,no_bitwidth,call,int,32,-1
9,61,exact,mul,int,32,-1
10,49,exact,add,int,32,-1
11,9,exact,load,int,32,-1
12,10,exact,load,int,32,-1
13,78,exact,mul,int,32,-1
14,52,exact,add,int,32,-1
15,11,exact,sext,int,64,-1
16,47,exact,load,float,32,-1
17,12,no_bitwidth,call,int,32,-1
18,62,exact,add,int,32,-1
20,229,no_bitwidth,call,int,32,-1
21,66,exact,add,int,32,-1
23,230,no_bitwidth,call,int,32,-1
24,21,exact,icmp,int,1,-1
25,18,exact,load,int,32,-1
26,27,exact,icmp,int,1,-1
27,24,exact,load,int,32,-1
28,59,exact,sub,int,32,-1
29,30,exact,load,int,32,-1
30,95,exact,mul,int,32,-1
31,69,exact,add,int,32,-1
32,46,exact,sext,int,64,-1
33,64,exact,load,float,32,-1
34,231,no_bitwidth,call,int,32,-1
35,76,exact,add,int,32,-1
37,232,no_bitwidth,call,int,32,-1
38,79,exact,add,int,32,-1
40,239,no_bitwidth,call,int,32,-1
41,33,exact,icmp,int,1,-1
42,36,exact,load,int,32,-1
43,39,exact,icmp,int,1,-1
44,42,exact,load,int,32,-1
45,83,exact,add,int,32,-1
46,43,exact,load,int,32,-1
47,112,exact,mul,int,32,-1
48,86,exact,add,int,32,-1
49,50,exact,sext,int,64,-1
50,81,exact,load,float,32,-1
51,240,no_bitwidth,call,int,32,-1
52,96,exact,add,int,32,-1
54,241,no_bitwidth,call,int,32,-1
55,100,exact,add,int,32,-1
57,242,no_bitwidth,call,int,32,-1
58,55,exact,icmp,int,1,-1
59,48,exact,load,int,32,-1
60,57,exact,icmp,int,1,-1
61,51,exact,load,int,32,-1
62,54,exact,load,int,32,-1
63,94,exact,sub,int,32,-1
64,164,exact,mul,int,32,-1
65,103,exact,add,int,32,-1
66,53,exact,sext,int,64,-1
67,98,exact,load,float,32,-1
68,277,no_bitwidth,call,int,32,-1
69,111,exact,add,int,32,-1
71,278,no_bitwidth,call,int,32,-1
72,113,exact,add,int,32,-1
74,279,no_bitwidth,call,int,32,-1
75,72,exact,icmp,int,1,-1
76,56,exact,load,int,32,-1
77,74,exact,icmp,int,1,-1
78,58,exact,load,int,32,-1
79,60,exact,load,int,32,-1
80,117,exact,add,int,32,-1
81,169,exact,mul,int,32,-1
82,120,exact,add,int,32,-1
83,63,exact,sext,int,64,-1
84,115,exact,load,float,32,-1
85,280,no_bitwidth,call,int,32,-1
86,131,exact,add,int,32,-1
88,285,no_bitwidth,call,int,32,-1
89,134,exact,add,int,32,-1
91,65,exact,load,int,32,-1
92,89,exact,icmp,int,1,-1
93,68,exact,load,int,32,-1
94,91,exact,icmp,int,1,-1
95,71,exact,load,int,32,-1
96,106,exact,icmp,int,1,-1
97,73,exact,load,int,32,-1
98,108,exact,icmp,int,1,-1
99,286,no_bitwidth,call,int,32,-1
100,138,exact,add,int,32,-1
102,287,no_bitwidth,call,int,32,-1
103,141,exact,add,int,32,-1
105,136,exact,load,float,32,-1
106,288,no_bitwidth,call,int,32,-1
107,146,exact,add,int,32,-1
109,291,no_bitwidth,call,int,32,-1
110,149,exact,add,int,32,-1
112,143,exact,load,float,32,-1
113,144,exact,fadd,float,32,-1
114,292,no_bitwidth,call,int,32,-1
115,154,exact,add,int,32,-1
117,293,no_bitwidth,call,int,32,-1
118,157,exact,add,int,32,-1
120,151,exact,load,float,32,-1
121,152,exact,fadd,float,32,-1
122,294,no_bitwidth,call,int,32,-1
123,165,exact,add,int,32,-1
126,170,exact,add,int,32,-1
128,159,exact,load,float,32,-1
129,160,exact,fadd,float,32,-1
130,161,exact,fmul,float,32,-1
131,75,exact,load,int,32,-1
132,77,exact,load,int,32,-1
134,174,exact,add,int,32,-1
135,67,exact,sext,int,64,-1
136,82,exact,load,int,32,-1
137,85,exact,load,int,32,-1
139,177,exact,add,int,32,-1
140,70,exact,sext,int,64,-1
141,172,exact,load,float,32,-1
148,179,exact,load,float,32,-1
149,180,exact,fsub,float,32,-1
150,181,exact,load,float,32,-1
151,182,exact,load,float,32,-1
152,183,exact,fmul,float,32,-1
153,88,exact,load,int,32,-1
154,123,exact,icmp,int,1,-1
155,186,exact,load,float,32,-1
156,90,exact,load,int,32,-1
157,188,exact,call,float,32,-1
158,189,exact,load,float,32,-1
159,190,exact,fadd,float,32,-1
160,92,exact,load,int,32,-1
161,192,exact,sdiv,int,32,-1
163,125,exact,icmp,int,1,-1
164,195,exact,load,float,32,-1
168,127,exact,icmp,int,1,-1
171,202,exact,load,float,32,-1
172,93,exact,load,int,32,-1
173,129,exact,icmp,int,1,-1
174,205,exact,load,float,32,-1
175,99,exact,load,int,32,-1
176,207,exact,call,float,32,-1
177,208,exact,load,float,32,-1
178,209,exact,fadd,float,32,-1
179,102,exact,load,int,32,-1
180,211,exact,sdiv,int,32,-1
182,185,exact,icmp,int,1,-1
183,214,exact,load,float,32,-1
184,215,exact,call,float,32,-1
185,105,exact,load,int,32,-1
186,219,exact,load,float,32,-1
187,107,exact,load,int,32,-1
188,109,exact,load,int,32,-1
193,224,exact,load,float,32,-1
194,261,exact,load,float,32,-1
