nvidia_site_id,sycl_site_id,match_tier,opcode,type_kind,bitwidth,operand_index
1,5,exact,store,ptr,64,0
2,6,exact,store,ptr,64,1
3,7,exact,store,ptr,64,0
4,8,exact,store,ptr,64,1
5,13,exact,store,ptr,64,1
6,18,exact,store,ptr,64,1
7,27,exact,store,ptr,64,1
8,10,exact,load,ptr,64,0
9,15,exact,load,ptr,64,0
10,31,exact,load,ptr,64,0
11,9,exact,getelementptr,ptr,64,0
12,14,exact,getelementptr,ptr,64,0
13,33,exact,load,ptr,64,0
14,32,exact,getelementptr,ptr,64,0
15,35,exact,load,ptr,64,0
16,90,exact,load,ptr,64,0
17,30,exact,store,ptr,64,1
18,99,exact,load,ptr,64,0
19,51,exact,store,ptr,64,1
20,102,exact,load,ptr,64,0
21,104,exact,load,ptr,64,0
22,106,exact,load,ptr,64,0
23,34,exact,getelementptr,ptr,64,0
24,84,exact,store,ptr,64,1
25,12,exact,store,ptr,64,0
26,86,exact,store,ptr,64,1
27,17,exact,store,ptr,64,0
28,87,exact,store,ptr,64,1
29,89,exact,store,ptr,64,1
30,97,exact,store,ptr,64,1
31,98,exact,store,ptr,64,1
32,107,exact,load,ptr,64,0
33,111,exact,load,ptr,64,0
34,112,exact,load,ptr,64,0
35,115,exact,getelementptr,ptr,64,0
36,116,exact,getelementptr,ptr,64,0
37,113,exact,load,ptr,64,0
38,118,exact,getelementptr,ptr,64,0
39,114,exact,load,ptr,64,0
40,117,exact,load,ptr,64,0
41,105,exact,store,ptr,64,1
42,119,exact,load,ptr,64,0
43,108,exact,store,ptr,64,1
44,120,exact,load,ptr,64,0
45,122,exact,load,ptr,64,0
46,124,exact,load,ptr,64,0
47,127,exact,getelementptr,ptr,64,0
48,109,exact,store,ptr,64,1
