nvidia_site_id,sycl_site_id,match_tier,opcode,type_kind,bitwidth,operand_index
1,25,no_bitwidth,call,int,32,-1
2,26,no_bitwidth,call,int,32,-1
4,30,no_bitwidth,call,int,32,-1
5,16,exact,add,int,32,-1
6,1,exact,load,int,32,-1
7,4,exact,icmp,int,1,-1
8,7,exact,load,int,32,-1
9,11,exact,zext,int,64,-1
10,8,exact,load,int,32,-1
11,13,exact,sext,int,64,-1
12,10,exact,load,int,32,-1
13,12,exact,load,int,32,-1
14,18,exact,add,int,32,-1
15,14,exact,load,int,32,-1
16,64,exact,add,int,32,-1
17,15,exact,load,int,32,-1
18,17,exact,load,int,32,-1
19,21,exact,zext,int,64,-1
20,31,no_bitwidth,call,int,32,-1
21,34,no_bitwidth,call,int,32,-1
23,35,no_bitwidth,call,int,32,-1
24,66,exact,add,int,32,-1
25,19,exact,load,int,32,-1
26,9,exact,icmp,int,1,-1
27,20,exact,load,int,32,-1
28,24,exact,sext,int,64,-1
29,22,exact,load,int,32,-1
30,61,exact,zext,int,64,-1
31,23,exact,load,int,32,-1
32,49,exact,load,int,32,-1
34,55,exact,load,int,32,-1
36,56,exact,load,int,32,-1
37,58,exact,load,int,32,-1
38,69,exact,zext,int,64,-1
