nvidia_site_id,sycl_site_id,match_tier,opcode,type_kind,bitwidth,operand_index
1,30,exact,store,ptr,64,0
2,26,exact,store,ptr,64,1
3,33,exact,store,ptr,64,0
4,27,exact,store,ptr,64,1
5,36,exact,store,ptr,64,0
6,28,exact,store,ptr,64,1
7,39,exact,store,ptr,64,0
8,29,exact,store,ptr,64,1
9,31,exact,store,ptr,64,1
10,34,exact,store,ptr,64,1
11,37,exact,store,ptr,64,1
12,40,exact,store,ptr,64,1
13,42,exact,store,ptr,64,1
14,43,exact,store,ptr,64,1
15,45,exact,store,ptr,64,1
16,48,exact,store,ptr,64,1
17,62,exact,load,ptr,64,0
18,65,exact,load,ptr,64,0
19,68,exact,load,ptr,64,0
20,51,exact,store,ptr,64,1
21,71,exact,load,ptr,64,0
22,76,exact,load,ptr,64,0
23,81,exact,load,ptr,64,0
24,54,exact,store,ptr,64,1
25,86,exact,load,ptr,64,0
26,91,exact,load,ptr,64,0
27,56,exact,store,ptr,64,1
28,96,exact,load,ptr,64,0
29,101,exact,load,ptr,64,0
30,58,exact,store,ptr,64,1
31,117,exact,load,ptr,64,0
32,142,exact,load,ptr,64,0
33,60,exact,store,ptr,64,1
34,172,exact,load,ptr,64,0
35,173,exact,load,ptr,64,0
36,215,exact,load,ptr,64,0
37,226,exact,load,ptr,64,0
38,229,exact,load,ptr,64,0
39,231,exact,load,ptr,64,0
40,63,exact,store,ptr,64,1
41,233,exact,load,ptr,64,0
42,66,exact,store,ptr,64,1
43,234,exact,load,ptr,64,0
44,69,exact,store,ptr,64,1
45,244,exact,load,ptr,64,0
46,247,exact,load,ptr,64,0
47,249,exact,load,ptr,64,0
48,251,exact,load,ptr,64,0
49,72,exact,store,ptr,64,1
50,252,exact,load,ptr,64,0
51,254,exact,load,ptr,64,0
52,256,exact,load,ptr,64,0
53,258,exact,load,ptr,64,0
54,79,exact,store,ptr,64,1
55,260,exact,load,ptr,64,0
56,261,exact,load,ptr,64,0
57,263,exact,load,ptr,64,0
58,265,exact,load,ptr,64,0
59,82,exact,store,ptr,64,1
60,266,exact,load,ptr,64,0
61,268,exact,load,ptr,64,0
62,269,exact,load,ptr,64,0
63,271,exact,load,ptr,64,0
64,272,exact,load,ptr,64,0
65,61,exact,getelementptr,ptr,64,0
66,274,exact,load,ptr,64,0
67,276,exact,load,ptr,64,0
68,89,exact,store,ptr,64,1
69,94,exact,store,ptr,64,1
70,277,exact,load,ptr,64,0
71,278,exact,load,ptr,64,0
72,99,exact,store,ptr,64,1
73,280,exact,load,ptr,64,0
74,281,exact,load,ptr,64,0
75,283,exact,load,ptr,64,0
76,285,exact,load,ptr,64,0
77,287,exact,load,ptr,64,0
78,288,exact,load,ptr,64,0
79,141,exact,store,ptr,64,1
80,289,exact,load,ptr,64,0
81,290,exact,load,ptr,64,0
82,160,exact,store,ptr,64,1
83,292,exact,load,ptr,64,0
84,293,exact,load,ptr,64,0
85,162,exact,store,ptr,64,1
86,294,exact,load,ptr,64,0
87,295,exact,load,ptr,64,0
88,165,exact,store,ptr,64,1
89,297,exact,load,ptr,64,0
90,298,exact,load,ptr,64,0
91,299,exact,load,ptr,64,0
92,300,exact,load,ptr,64,0
93,168,exact,store,ptr,64,1
94,302,exact,load,ptr,64,0
95,303,exact,load,ptr,64,0
96,305,exact,load,ptr,64,0
97,307,exact,load,ptr,64,0
98,171,exact,store,ptr,64,1
99,308,exact,load,ptr,64,0
100,310,exact,load,ptr,64,0
101,312,exact,load,ptr,64,0
102,317,exact,load,ptr,64,0
103,211,exact,store,ptr,64,1
104,319,exact,load,ptr,64,0
105,321,exact,load,ptr,64,0
106,322,exact,load,ptr,64,0
107,64,exact,getelementptr,ptr,64,0
108,323,exact,load,ptr,64,0
109,324,exact,load,ptr,64,0
110,214,exact,store,ptr,64,1
111,325,exact,load,ptr,64,0
112,326,exact,load,ptr,64,0
113,329,exact,load,ptr,64,0
114,331,exact,load,ptr,64,0
115,67,exact,getelementptr,ptr,64,0
116,334,exact,load,ptr,64,0
117,217,exact,store,ptr,64,1
118,336,exact,load,ptr,64,0
119,339,exact,load,ptr,64,0
120,70,exact,getelementptr,ptr,64,0
121,224,exact,store,ptr,64,1
122,341,exact,load,ptr,64,0
123,343,exact,load,ptr,64,0
124,344,exact,load,ptr,64,0
125,345,exact,load,ptr,64,0
126,346,exact,load,ptr,64,0
127,348,exact,load,ptr,64,0
128,225,exact,store,ptr,64,1
129,349,exact,load,ptr,64,0
130,232,exact,store,ptr,64,1
131,350,exact,load,ptr,64,0
132,351,exact,load,ptr,64,0
133,354,exact,load,ptr,64,0
134,356,exact,load,ptr,64,0
135,357,exact,load,ptr,64,0
136,73,exact,getelementptr,ptr,64,0
137,235,exact,store,ptr,64,1
