nvidia_site_id,sycl_site_id,match_tier,opcode,type_kind,bitwidth,operand_index
1,189,exact,call,int,32,-1
2,205,exact,call,int,32,-1
3,207,exact,call,int,32,-1
4,1,exact,load,int,32,-1
5,2,exact,load,int,32,-1
6,3,exact,load,int,32,-1
7,23,exact,mul,int,32,-1
8,24,exact,mul,int,32,-1
9,25,exact,sub,int,32,-1
10,4,exact,load,int,32,-1
11,5,exact,load,int,32,-1
12,28,exact,mul,int,32,-1
13,8,exact,load,int,32,-1
14,30,exact,sub,int,32,-1
15,14,exact,load,int,32,-1
16,20,exact,load,int,32,-1
17,33,exact,add,int,32,-1
18,34,exact,sub,int,32,-1
19,21,exact,load,int,32,-1
20,22,exact,load,int,32,-1
21,37,exact,add,int,32,-1
22,26,exact,load,int,32,-1
23,11,exact,icmp,int,1,-1
24,27,exact,load,int,32,-1
25,41,exact,sub,int,32,-1
26,42,exact,phi,int,32,-1
27,29,exact,load,int,32,-1
28,31,exact,load,int,32,-1
29,45,exact,sub,int,32,-1
30,17,exact,icmp,int,1,-1
31,32,exact,load,int,32,-1
32,48,exact,sub,int,32,-1
33,35,exact,load,int,32,-1
34,36,exact,load,int,32,-1
35,51,exact,sub,int,32,-1
36,52,exact,add,int,32,-1
37,53,exact,sub,int,32,-1
38,38,exact,load,int,32,-1
39,55,exact,sub,int,32,-1
40,56,exact,phi,int,32,-1
41,40,exact,load,int,32,-1
42,58,exact,sub,int,32,-1
43,43,exact,load,int,32,-1
44,60,exact,add,int,32,-1
45,44,exact,load,int,32,-1
46,47,exact,load,int,32,-1
47,39,exact,icmp,int,1,-1
48,49,exact,load,int,32,-1
49,50,exact,load,int,32,-1
50,66,exact,phi,int,32,-1
51,54,exact,load,int,32,-1
52,57,exact,load,int,32,-1
53,46,exact,icmp,int,1,-1
54,59,exact,load,int,32,-1
55,61,exact,load,int,32,-1
56,72,exact,phi,int,32,-1
57,62,exact,load,int,32,-1
58,64,exact,load,int,32,-1
59,63,exact,icmp,int,1,-1
60,65,exact,load,int,32,-1
61,67,exact,load,int,32,-1
62,69,exact,icmp,int,1,-1
63,79,exact,phi,int,1,-1
64,80,exact,zext,int,8,-1
65,68,exact,load,int,32,-1
66,75,exact,icmp,int,1,-1
67,70,exact,load,int,32,-1
68,71,exact,load,int,32,-1
69,85,exact,sub,int,32,-1
70,78,exact,icmp,int,1,-1
71,73,exact,load,int,32,-1
72,88,exact,sext,int,64,-1
73,74,exact,load,int,32,-1
74,76,exact,load,int,32,-1
75,91,exact,sext,int,64,-1
76,77,exact,load,int,32,-1
77,81,exact,load,int,32,-1
78,82,exact,icmp,int,1,-1
79,83,exact,load,int,32,-1
80,84,exact,load,int,32,-1
81,97,exact,add,int,32,-1
82,86,exact,icmp,int,1,-1
83,87,exact,load,int,32,-1
84,89,exact,load,int,32,-1
85,90,exact,load,int,32,-1
86,102,exact,sub,int,32,-1
87,103,exact,sub,int,32,-1
88,94,exact,icmp,int,1,-1
89,105,exact,load,int,8,-1
90,106,exact,trunc,int,1,-1
91,92,exact,load,int,32,-1
92,108,exact,sext,int,64,-1
93,93,exact,load,int,32,-1
94,95,exact,load,int,32,-1
95,111,exact,sext,int,64,-1
96,96,exact,load,int,32,-1
97,99,exact,load,int,32,-1
98,114,exact,sext,int,64,-1
99,100,exact,load,int,32,-1
100,101,exact,load,int,32,-1
101,107,exact,load,int,32,-1
102,98,exact,icmp,int,1,-1
103,109,exact,load,int,32,-1
104,110,exact,load,int,32,-1
105,121,exact,phi,int,32,-1
106,112,exact,load,int,32,-1
107,113,exact,load,int,32,-1
108,104,exact,icmp,int,1,-1
109,115,exact,load,int,32,-1
110,116,exact,load,int,32,-1
111,127,exact,phi,int,32,-1
112,117,exact,load,int,32,-1
113,119,exact,load,int,32,-1
114,120,exact,load,int,32,-1
115,131,exact,add,int,32,-1
116,132,exact,mul,int,32,-1
117,122,exact,load,int,32,-1
118,134,exact,add,int,32,-1
119,123,exact,load,int,32,-1
120,125,exact,load,int,32,-1
121,137,exact,sext,int,64,-1
122,126,exact,load,int,32,-1
123,139,exact,add,int,32,-1
124,128,exact,load,int,32,-1
125,141,exact,sext,int,64,-1
126,129,exact,load,int,32,-1
127,118,exact,icmp,int,1,-1
128,130,exact,load,int,32,-1
129,124,exact,icmp,int,1,-1
130,133,exact,load,int,32,-1
131,147,exact,sext,int,64,-1
132,135,exact,load,int,32,-1
133,136,exact,load,int,32,-1
134,150,exact,sext,int,64,-1
135,138,exact,load,int,32,-1
136,140,exact,load,int,32,-1
137,153,exact,sub,int,32,-1
138,143,exact,icmp,int,1,-1
139,155,exact,load,int,8,-1
140,156,exact,trunc,int,1,-1
141,142,exact,load,int,32,-1
142,158,exact,sext,int,64,-1
143,144,exact,load,int,32,-1
144,146,exact,load,int,32,-1
145,161,exact,sext,int,64,-1
146,148,exact,load,int,32,-1
147,163,exact,add,int,32,-1
148,164,exact,load,int,8,-1
149,165,exact,trunc,int,1,-1
150,149,exact,load,int,32,-1
151,167,exact,sext,int,64,-1
152,151,exact,load,int,32,-1
153,152,exact,load,int,32,-1
154,170,exact,sext,int,64,-1
