nvidia_site_id,sycl_site_id,match_tier,opcode,type_kind,bitwidth,operand_index
1,5,exact,store,ptr,64,1
2,9,exact,load,ptr,64,0
3,12,exact,load,ptr,64,0
4,7,exact,store,ptr,64,1
5,29,exact,load,ptr,64,0
6,38,exact,load,ptr,64,0
7,10,exact,store,ptr,64,1
8,41,exact,load,ptr,64,0
9,15,exact,store,ptr,64,1
10,25,exact,store,ptr,64,1
11,28,exact,store,ptr,64,1
12,43,exact,load,ptr,64,0
13,45,exact,load,ptr,64,0
14,46,exact,load,ptr,64,0
15,8,exact,getelementptr,ptr,64,0
16,36,exact,store,ptr,64,1
17,48,exact,load,ptr,64,0
18,50,exact,load,ptr,64,0
19,37,exact,store,ptr,64,1
20,51,exact,load,ptr,64,0
21,53,exact,load,ptr,64,0
22,44,exact,store,ptr,64,1
23,54,exact,load,ptr,64,0
24,47,exact,store,ptr,64,1
25,56,exact,store,ptr,64,1
26,97,exact,load,ptr,64,0
27,105,exact,load,ptr,64,0
28,106,exact,load,ptr,64,0
29,112,exact,load,ptr,64,0
30,69,exact,store,ptr,64,1
31,96,exact,store,ptr,64,1
32,114,exact,load,ptr,64,0
33,103,exact,store,ptr,64,1
34,104,exact,store,ptr,64,1
35,125,exact,load,ptr,64,0
36,126,exact,load,ptr,64,0
37,134,exact,load,ptr,64,0
38,136,exact,load,ptr,64,0
39,11,exact,getelementptr,ptr,64,0
40,157,exact,load,ptr,64,0
41,158,exact,load,ptr,64,0
42,110,exact,store,ptr,64,1
43,159,exact,load,ptr,64,0
44,111,exact,store,ptr,64,1
45,162,exact,load,ptr,64,0
46,123,exact,store,ptr,64,1
47,178,exact,load,ptr,64,0
48,124,exact,store,ptr,64,1
49,179,exact,load,ptr,64,0
50,180,exact,load,ptr,64,0
51,191,exact,load,ptr,64,0
52,192,exact,load,ptr,64,0
53,132,exact,store,ptr,64,1
54,205,exact,load,ptr,64,0
55,133,exact,store,ptr,64,1
56,206,exact,load,ptr,64,0
57,6,exact,store,ptr,64,0
58,137,exact,store,ptr,64,1
59,150,exact,store,ptr,64,1
60,152,exact,store,ptr,64,1
61,207,exact,load,ptr,64,0
62,219,exact,load,ptr,64,0
63,220,exact,load,ptr,64,0
64,254,exact,load,ptr,64,0
65,256,exact,load,ptr,64,0
66,49,exact,getelementptr,ptr,64,0
67,154,exact,store,ptr,64,1
68,14,exact,store,ptr,64,0
69,156,exact,store,ptr,64,1
70,173,exact,store,ptr,64,1
71,175,exact,store,ptr,64,1
72,260,exact,load,ptr,64,0
73,267,exact,load,ptr,64,0
74,177,exact,store,ptr,64,1
75,188,exact,store,ptr,64,1
76,282,exact,load,ptr,64,0
77,285,exact,load,ptr,64,0
78,289,exact,load,ptr,64,0
79,293,exact,load,ptr,64,0
80,190,exact,store,ptr,64,1
81,305,exact,load,ptr,64,0
82,308,exact,load,ptr,64,0
83,312,exact,load,ptr,64,0
84,52,exact,getelementptr,ptr,64,0
85,327,exact,load,ptr,64,0
86,16,exact,call,ptr,64,0
87,336,exact,load,ptr,64,0
88,200,exact,store,ptr,64,1
89,24,exact,store,ptr,64,0
90,202,exact,store,ptr,64,1
91,204,exact,store,ptr,64,1
92,339,exact,load,ptr,64,0
93,359,exact,load,ptr,64,0
94,27,exact,store,ptr,64,0
95,217,exact,store,ptr,64,1
96,218,exact,store,ptr,64,1
97,368,exact,load,ptr,64,0
98,371,exact,load,ptr,64,0
