index,site_id,bit_index,bitwidth,type_kind,opcode
1,1,0,64,int,store
2,1,1,64,int,store
3,1,2,64,int,store
4,1,3,64,int,store
5,1,4,64,int,store
6,1,5,64,int,store
7,1,6,64,int,store
8,1,7,64,int,store
9,1,8,64,int,store
10,1,9,64,int,store
11,1,10,64,int,store
12,1,11,64,int,store
13,1,12,64,int,store
14,1,13,64,int,store
15,1,14,64,int,store
16,1,15,64,int,store
17,1,16,64,int,store
18,1,17,64,int,store
19,1,18,64,int,store
20,1,19,64,int,store
21,1,20,64,int,store
22,1,21,64,int,store
23,1,22,64,int,store
24,1,23,64,int,store
25,1,24,64,int,store
26,1,25,64,int,store
27,1,26,64,int,store
28,1,27,64,int,store
29,1,28,64,int,store
30,1,29,64,int,store
31,1,30,64,int,store
32,1,31,64,int,store
33,1,32,64,int,store
34,1,33,64,int,store
35,1,34,64,int,store
36,1,35,64,int,store
37,1,36,64,int,store
38,1,37,64,int,store
39,1,38,64,int,store
40,1,39,64,int,store
41,1,40,64,int,store
42,1,41,64,int,store
43,1,42,64,int,store
44,1,43,64,int,store
45,1,44,64,int,store
46,1,45,64,int,store
47,1,46,64,int,store
48,1,47,64,int,store
49,1,48,64,int,store
50,1,49,64,int,store
51,1,50,64,int,store
52,1,51,64,int,store
53,1,52,64,int,store
54,1,53,64,int,store
55,1,54,64,int,store
56,1,55,64,int,store
57,1,56,64,int,store
58,1,57,64,int,store
59,1,58,64,int,store
60,1,59,64,int,store
61,1,60,64,int,store
62,1,61,64,int,store
63,1,62,64,int,store
64,1,63,64,int,store
65,2,0,64,int,store
66,2,1,64,int,store
67,2,2,64,int,store
68,2,3,64,int,store
69,2,4,64,int,store
70,2,5,64,int,store
71,2,6,64,int,store
72,2,7,64,int,store
73,2,8,64,int,store
74,2,9,64,int,store
75,2,10,64,int,store
76,2,11,64,int,store
77,2,12,64,int,store
78,2,13,64,int,store
79,2,14,64,int,store
80,2,15,64,int,store
81,2,16,64,int,store
82,2,17,64,int,store
83,2,18,64,int,store
84,2,19,64,int,store
85,2,20,64,int,store
86,2,21,64,int,store
87,2,22,64,int,store
88,2,23,64,int,store
89,2,24,64,int,store
90,2,25,64,int,store
91,2,26,64,int,store
92,2,27,64,int,store
93,2,28,64,int,store
94,2,29,64,int,store
95,2,30,64,int,store
96,2,31,64,int,store
97,2,32,64,int,store
98,2,33,64,int,store
99,2,34,64,int,store
100,2,35,64,int,store
101,2,36,64,int,store
102,2,37,64,int,store
103,2,38,64,int,store
104,2,39,64,int,store
105,2,40,64,int,store
106,2,41,64,int,store
107,2,42,64,int,store
108,2,43,64,int,store
109,2,44,64,int,store
110,2,45,64,int,store
111,2,46,64,int,store
112,2,47,64,int,store
113,2,48,64,int,store
114,2,49,64,int,store
115,2,50,64,int,store
116,2,51,64,int,store
117,2,52,64,int,store
118,2,53,64,int,store
119,2,54,64,int,store
120,2,55,64,int,store
121,2,56,64,int,store
122,2,57,64,int,store
123,2,58,64,int,store
124,2,59,64,int,store
125,2,60,64,int,store
126,2,61,64,int,store
127,2,62,64,int,store
128,2,63,64,int,store
129,3,0,64,int,store
130,3,1,64,int,store
131,3,2,64,int,store
132,3,3,64,int,store
133,3,4,64,int,store
134,3,5,64,int,store
135,3,6,64,int,store
136,3,7,64,int,store
137,3,8,64,int,store
138,3,9,64,int,store
139,3,10,64,int,store
140,3,11,64,int,store
141,3,12,64,int,store
142,3,13,64,int,store
143,3,14,64,int,store
144,3,15,64,int,store
145,3,16,64,int,store
146,3,17,64,int,store
147,3,18,64,int,store
148,3,19,64,int,store
149,3,20,64,int,store
150,3,21,64,int,store
151,3,22,64,int,store
152,3,23,64,int,store
153,3,24,64,int,store
154,3,25,64,int,store
155,3,26,64,int,store
156,3,27,64,int,store
157,3,28,64,int,store
158,3,29,64,int,store
159,3,30,64,int,store
160,3,31,64,int,store
161,3,32,64,int,store
162,3,33,64,int,store
163,3,34,64,int,store
164,3,35,64,int,store
165,3,36,64,int,store
166,3,37,64,int,store
167,3,38,64,int,store
168,3,39,64,int,store
169,3,40,64,int,store
170,3,41,64,int,store
171,3,42,64,int,store
172,3,43,64,int,store
173,3,44,64,int,store
174,3,45,64,int,store
175,3,46,64,int,store
176,3,47,64,int,store
177,3,48,64,int,store
178,3,49,64,int,store
179,3,50,64,int,store
180,3,51,64,int,store
181,3,52,64,int,store
182,3,53,64,int,store
183,3,54,64,int,store
184,3,55,64,int,store
185,3,56,64,int,store
186,3,57,64,int,store
187,3,58,64,int,store
188,3,59,64,int,store
189,3,60,64,int,store
190,3,61,64,int,store
191,3,62,64,int,store
192,3,63,64,int,store
193,4,0,64,int,store
194,4,1,64,int,store
195,4,2,64,int,store
196,4,3,64,int,store
197,4,4,64,int,store
198,4,5,64,int,store
199,4,6,64,int,store
200,4,7,64,int,store
201,4,8,64,int,store
202,4,9,64,int,store
203,4,10,64,int,store
204,4,11,64,int,store
205,4,12,64,int,store
206,4,13,64,int,store
207,4,14,64,int,store
208,4,15,64,int,store
209,4,16,64,int,store
210,4,17,64,int,store
211,4,18,64,int,store
212,4,19,64,int,store
213,4,20,64,int,store
214,4,21,64,int,store
215,4,22,64,int,store
216,4,23,64,int,store
217,4,24,64,int,store
218,4,25,64,int,store
219,4,26,64,int,store
220,4,27,64,int,store
221,4,28,64,int,store
222,4,29,64,int,store
223,4,30,64,int,store
224,4,31,64,int,store
225,4,32,64,int,store
226,4,33,64,int,store
227,4,34,64,int,store
228,4,35,64,int,store
229,4,36,64,int,store
230,4,37,64,int,store
231,4,38,64,int,store
232,4,39,64,int,store
233,4,40,64,int,store
234,4,41,64,int,store
235,4,42,64,int,store
236,4,43,64,int,store
237,4,44,64,int,store
238,4,45,64,int,store
239,4,46,64,int,store
240,4,47,64,int,store
241,4,48,64,int,store
242,4,49,64,int,store
243,4,50,64,int,store
244,4,51,64,int,store
245,4,52,64,int,store
246,4,53,64,int,store
247,4,54,64,int,store
248,4,55,64,int,store
249,4,56,64,int,store
250,4,57,64,int,store
251,4,58,64,int,store
252,4,59,64,int,store
253,4,60,64,int,store
254,4,61,64,int,store
255,4,62,64,int,store
256,4,63,64,int,store
257,6,0,64,int,store
258,6,1,64,int,store
259,6,2,64,int,store
260,6,3,64,int,store
261,6,4,64,int,store
262,6,5,64,int,store
263,6,6,64,int,store
264,6,7,64,int,store
265,6,8,64,int,store
266,6,9,64,int,store
267,6,10,64,int,store
268,6,11,64,int,store
269,6,12,64,int,store
270,6,13,64,int,store
271,6,14,64,int,store
272,6,15,64,int,store
273,6,16,64,int,store
274,6,17,64,int,store
275,6,18,64,int,store
276,6,19,64,int,store
277,6,20,64,int,store
278,6,21,64,int,store
279,6,22,64,int,store
280,6,23,64,int,store
281,6,24,64,int,store
282,6,25,64,int,store
283,6,26,64,int,store
284,6,27,64,int,store
285,6,28,64,int,store
286,6,29,64,int,store
287,6,30,64,int,store
288,6,31,64,int,store
289,6,32,64,int,store
290,6,33,64,int,store
291,6,34,64,int,store
292,6,35,64,int,store
293,6,36,64,int,store
294,6,37,64,int,store
295,6,38,64,int,store
296,6,39,64,int,store
297,6,40,64,int,store
298,6,41,64,int,store
299,6,42,64,int,store
300,6,43,64,int,store
301,6,44,64,int,store
302,6,45,64,int,store
303,6,46,64,int,store
