site_id,site_class,opcode,type_kind,bitwidth,operand_index,function,source_file,source_line,source_column,signature_ordinal,semantic_key
1,pointer,store,ptr,64,0,_Z9kernel_BSIfEvPKT_S2_Pmmm,/home/mdunlavy/GPU_FI/HeCBench/src/bsearch-cuda/main.cu,0,0,1,_Z9kernel_BSIfEvPKT_S2_Pmmm|pointer|store|ptr|64|0|/home/mdunlavy/GPU_FI/HeCBench/src/bsearch-cuda/main.cu|0|0|1
2,pointer,store,ptr,64,1,_Z9kernel_BSIfEvPKT_S2_Pmmm,/home/mdunlavy/GPU_FI/HeCBench/src/bsearch-cuda/main.cu,0,0,1,_Z9kernel_BSIfEvPKT_S2_Pmmm|pointer|store|ptr|64|1|/home/mdunlavy/GPU_FI/HeCBench/src/bsearch-cuda/main.cu|0|0|1
3,pointer,store,ptr,64,0,_Z9kernel_BSIfEvPKT_S2_Pmmm,/home/mdunlavy/GPU_FI/HeCBench/src/bsearch-cuda/main.cu,0,0,2,_Z9kernel_BSIfEvPKT_S2_Pmmm|pointer|store|ptr|64|0|/home/mdunlavy/GPU_FI/HeCBench/src/bsearch-cuda/main.cu|0|0|2
4,pointer,store,ptr,64,1,_Z9kernel_BSIfEvPKT_S2_Pmmm,/home/mdunlavy/GPU_FI/HeCBench/src/bsearch-cuda/main.cu,0,0,2,_Z9kernel_BSIfEvPKT_S2_Pmmm|pointer|store|ptr|64|1|/home/mdunlavy/GPU_FI/HeCBench/src/bsearch-cuda/main.cu|0|0|2
5,pointer,store,ptr,64,0,_Z9kernel_BSIfEvPKT_S2_Pmmm,/home/mdunlavy/GPU_FI/HeCBench/src/bsearch-cuda/main.cu,0,0,3,_Z9kernel_BSIfEvPKT_S2_Pmmm|pointer|store|ptr|64|0|/home/mdunlavy/GPU_FI/HeCBench/src/bsearch-cuda/main.cu|0|0|3
6,pointer,store,ptr,64,1,_Z9kernel_BSIfEvPKT_S2_Pmmm,/home/mdunlavy/GPU_FI/HeCBench/src/bsearch-cuda/main.cu,0,0,3,_Z9kernel_BSIfEvPKT_S2_Pmmm|pointer|store|ptr|64|1|/home/mdunlavy/GPU_FI/HeCBench/src/bsearch-cuda/main.cu|0|0|3
7,pointer,store,ptr,64,1,_Z9kernel_BSIfEvPKT_S2_Pmmm,/home/mdunlavy/GPU_FI/HeCBench/src/bsearch-cuda/main.cu,0,0,4,_Z9kernel_BSIfEvPKT_S2_Pmmm|pointer|store|ptr|64|1|/home/mdunlavy/GPU_FI/HeCBench/src/bsearch-cuda/main.cu|0|0|4
8,pointer,store,ptr,64,1,_Z9kernel_BSIfEvPKT_S2_Pmmm,/home/mdunlavy/GPU_FI/HeCBench/src/bsearch-cuda/main.cu,0,0,5,_Z9kernel_BSIfEvPKT_S2_Pmmm|pointer|store|ptr|64|1|/home/mdunlavy/GPU_FI/HeCBench/src/bsearch-cuda/main.cu|0|0|5
9,pointer,store,ptr,64,1,_Z9kernel_BSIfEvPKT_S2_Pmmm,/home/mdunlavy/GPU_FI/HeCBench/src/bsearch-cuda/main.cu,20,10,6,_Z9kernel_BSIfEvPKT_S2_Pmmm|pointer|store|ptr|64|1|/home/mdunlavy/GPU_FI/HeCBench/src/bsearch-cuda/main.cu|20|10|6
10,pointer,load,ptr,64,0,_Z9kernel_BSIfEvPKT_S2_Pmmm,/home/mdunlavy/GPU_FI/HeCBench/src/bsearch-cuda/main.cu,21,7,1,_Z9kernel_BSIfEvPKT_S2_Pmmm|pointer|load|ptr|64|0|/home/mdunlavy/GPU_FI/HeCBench/src/bsearch-cuda/main.cu|21|7|1
11,pointer,load,ptr,64,0,_Z9kernel_BSIfEvPKT_S2_Pmmm,/home/mdunlavy/GPU_FI/HeCBench/src/bsearch-cuda/main.cu,21,12,2,_Z9kernel_BSIfEvPKT_S2_Pmmm|pointer|load|ptr|64|0|/home/mdunlavy/GPU_FI/HeCBench/src/bsearch-cuda/main.cu|21|12|2
12,pointer,load,ptr,64,0,_Z9kernel_BSIfEvPKT_S2_Pmmm,/home/mdunlavy/GPU_FI/HeCBench/src/bsearch-cuda/main.cu,22,9,3,_Z9kernel_BSIfEvPKT_S2_Pmmm|pointer|load|ptr|64|0|/home/mdunlavy/GPU_FI/HeCBench/src/bsearch-cuda/main.cu|22|9|3
13,pointer,load,ptr,64,0,_Z9kernel_BSIfEvPKT_S2_Pmmm,/home/mdunlavy/GPU_FI/HeCBench/src/bsearch-cuda/main.cu,22,15,4,_Z9kernel_BSIfEvPKT_S2_Pmmm|pointer|load|ptr|64|0|/home/mdunlavy/GPU_FI/HeCBench/src/bsearch-cuda/main.cu|22|15|4
14,pointer,getelementptr,ptr,64,0,_Z9kernel_BSIfEvPKT_S2_Pmmm,/home/mdunlavy/GPU_FI/HeCBench/src/bsearch-cuda/main.cu,22,9,1,_Z9kernel_BSIfEvPKT_S2_Pmmm|pointer|getelementptr|ptr|64|0|/home/mdunlavy/GPU_FI/HeCBench/src/bsearch-cuda/main.cu|22|9|1
15,pointer,load,ptr,64,0,_Z9kernel_BSIfEvPKT_S2_Pmmm,/home/mdunlavy/GPU_FI/HeCBench/src/bsearch-cuda/main.cu,22,9,5,_Z9kernel_BSIfEvPKT_S2_Pmmm|pointer|load|ptr|64|0|/home/mdunlavy/GPU_FI/HeCBench/src/bsearch-cuda/main.cu|22|9|5
16,pointer,store,ptr,64,1,_Z9kernel_BSIfEvPKT_S2_Pmmm,/home/mdunlavy/GPU_FI/HeCBench/src/bsearch-cuda/main.cu,22,5,7,_Z9kernel_BSIfEvPKT_S2_Pmmm|pointer|store|ptr|64|1|/home/mdunlavy/GPU_FI/HeCBench/src/bsearch-cuda/main.cu|22|5|7
17,pointer,store,ptr,64,1,_Z9kernel_BSIfEvPKT_S2_Pmmm,/home/mdunlavy/GPU_FI/HeCBench/src/bsearch-cuda/main.cu,23,10,8,_Z9kernel_BSIfEvPKT_S2_Pmmm|pointer|store|ptr|64|1|/home/mdunlavy/GPU_FI/HeCBench/src/bsearch-cuda/main.cu|23|10|8
18,pointer,load,ptr,64,0,_Z9kernel_BSIfEvPKT_S2_Pmmm,/home/mdunlavy/GPU_FI/HeCBench/src/bsearch-cuda/main.cu,24,17,6,_Z9kernel_BSIfEvPKT_S2_Pmmm|pointer|load|ptr|64|0|/home/mdunlavy/GPU_FI/HeCBench/src/bsearch-cuda/main.cu|24|17|6
19,pointer,store,ptr,64,1,_Z9kernel_BSIfEvPKT_S2_Pmmm,/home/mdunlavy/GPU_FI/HeCBench/src/bsearch-cuda/main.cu,24,10,9,_Z9kernel_BSIfEvPKT_S2_Pmmm|pointer|store|ptr|64|1|/home/mdunlavy/GPU_FI/HeCBench/src/bsearch-cuda/main.cu|24|10|9
20,pointer,load,ptr,64,0,_Z9kernel_BSIfEvPKT_S2_Pmmm,/home/mdunlavy/GPU_FI/HeCBench/src/bsearch-cuda/main.cu,25,10,7,_Z9kernel_BSIfEvPKT_S2_Pmmm|pointer|load|ptr|64|0|/home/mdunlavy/GPU_FI/HeCBench/src/bsearch-cuda/main.cu|25|10|7
21,pointer,load,ptr,64,0,_Z9kernel_BSIfEvPKT_S2_Pmmm,/home/mdunlavy/GPU_FI/HeCBench/src/bsearch-cuda/main.cu,25,17,8,_Z9kernel_BSIfEvPKT_S2_Pmmm|pointer|load|ptr|64|0|/home/mdunlavy/GPU_FI/HeCBench/src/bsearch-cuda/main.cu|25|17|8
22,pointer,load,ptr,64,0,_Z9kernel_BSIfEvPKT_S2_Pmmm,/home/mdunlavy/GPU_FI/HeCBench/src/bsearch-cuda/main.cu,26,18,9,_Z9kernel_BSIfEvPKT_S2_Pmmm|pointer|load|ptr|64|0|/home/mdunlavy/GPU_FI/HeCBench/src/bsearch-cuda/main.cu|26|18|9
23,pointer,load,ptr,64,0,_Z9kernel_BSIfEvPKT_S2_Pmmm,/home/mdunlavy/GPU_FI/HeCBench/src/bsearch-cuda/main.cu,26,25,10,_Z9kernel_BSIfEvPKT_S2_Pmmm|pointer|load|ptr|64|0|/home/mdunlavy/GPU_FI/HeCBench/src/bsearch-cuda/main.cu|26|25|10
24,pointer,load,ptr,64,0,_Z9kernel_BSIfEvPKT_S2_Pmmm,/home/mdunlavy/GPU_FI/HeCBench/src/bsearch-cuda/main.cu,26,32,11,_Z9kernel_BSIfEvPKT_S2_Pmmm|pointer|load|ptr|64|0|/home/mdunlavy/GPU_FI/HeCBench/src/bsearch-cuda/main.cu|26|32|11
25,pointer,store,ptr,64,1,_Z9kernel_BSIfEvPKT_S2_Pmmm,/home/mdunlavy/GPU_FI/HeCBench/src/bsearch-cuda/main.cu,26,12,10,_Z9kernel_BSIfEvPKT_S2_Pmmm|pointer|store|ptr|64|1|/home/mdunlavy/GPU_FI/HeCBench/src/bsearch-cuda/main.cu|26|12|10
26,pointer,load,ptr,64,0,_Z9kernel_BSIfEvPKT_S2_Pmmm,/home/mdunlavy/GPU_FI/HeCBench/src/bsearch-cuda/main.cu,27,9,12,_Z9kernel_BSIfEvPKT_S2_Pmmm|pointer|load|ptr|64|0|/home/mdunlavy/GPU_FI/HeCBench/src/bsearch-cuda/main.cu|27|9|12
27,pointer,load,ptr,64,0,_Z9kernel_BSIfEvPKT_S2_Pmmm,/home/mdunlavy/GPU_FI/HeCBench/src/bsearch-cuda/main.cu,27,13,13,_Z9kernel_BSIfEvPKT_S2_Pmmm|pointer|load|ptr|64|0|/home/mdunlavy/GPU_FI/HeCBench/src/bsearch-cuda/main.cu|27|13|13
28,pointer,load,ptr,64,0,_Z9kernel_BSIfEvPKT_S2_Pmmm,/home/mdunlavy/GPU_FI/HeCBench/src/bsearch-cuda/main.cu,27,19,14,_Z9kernel_BSIfEvPKT_S2_Pmmm|pointer|load|ptr|64|0|/home/mdunlavy/GPU_FI/HeCBench/src/bsearch-cuda/main.cu|27|19|14
29,pointer,getelementptr,ptr,64,0,_Z9kernel_BSIfEvPKT_S2_Pmmm,/home/mdunlavy/GPU_FI/HeCBench/src/bsearch-cuda/main.cu,27,13,2,_Z9kernel_BSIfEvPKT_S2_Pmmm|pointer|getelementptr|ptr|64|0|/home/mdunlavy/GPU_FI/HeCBench/src/bsearch-cuda/main.cu|27|13|2
30,pointer,load,ptr,64,0,_Z9kernel_BSIfEvPKT_S2_Pmmm,/home/mdunlavy/GPU_FI/HeCBench/src/bsearch-cuda/main.cu,27,13,15,_Z9kernel_BSIfEvPKT_S2_Pmmm|pointer|load|ptr|64|0|/home/mdunlavy/GPU_FI/HeCBench/src/bsearch-cuda/main.cu|27|13|15
31,pointer,load,ptr,64,0,_Z9kernel_BSIfEvPKT_S2_Pmmm,/home/mdunlavy/GPU_FI/HeCBench/src/bsearch-cuda/main.cu,28,14,16,_Z9kernel_BSIfEvPKT_S2_Pmmm|pointer|load|ptr|64|0|/home/mdunlavy/GPU_FI/HeCBench/src/bsearch-cuda/main.cu|28|14|16
32,pointer,store,ptr,64,1,_Z9kernel_BSIfEvPKT_S2_Pmmm,/home/mdunlavy/GPU_FI/HeCBench/src/bsearch-cuda/main.cu,28,12,11,_Z9kernel_BSIfEvPKT_S2_Pmmm|pointer|store|ptr|64|1|/home/mdunlavy/GPU_FI/HeCBench/src/bsearch-cuda/main.cu|28|12|11
33,pointer,load,ptr,64,0,_Z9kernel_BSIfEvPKT_S2_Pmmm,/home/mdunlavy/GPU_FI/HeCBench/src/bsearch-cuda/main.cu,30,13,17,_Z9kernel_BSIfEvPKT_S2_Pmmm|pointer|load|ptr|64|0|/home/mdunlavy/GPU_FI/HeCBench/src/bsearch-cuda/main.cu|30|13|17
34,pointer,store,ptr,64,1,_Z9kernel_BSIfEvPKT_S2_Pmmm,/home/mdunlavy/GPU_FI/HeCBench/src/bsearch-cuda/main.cu,30,11,12,_Z9kernel_BSIfEvPKT_S2_Pmmm|pointer|store|ptr|64|1|/home/mdunlavy/GPU_FI/HeCBench/src/bsearch-cuda/main.cu|30|11|12
