site_id,site_class,opcode,type_kind,bitwidth,operand_index,function,source_file,source_line,source_column,signature_ordinal,semantic_key
1,base,call,int,32,-1,_Z9kernel_BSIfEvPKT_S2_Pmmm,/soft/compilers/llvm/release-17.0.6/lib/clang/17/include/__clang_cuda_builtin_vars.h,66,3,1,_Z9kernel_BSIfEvPKT_S2_Pmmm|base|call|int|32|-1|/soft/compilers/llvm/release-17.0.6/lib/clang/17/include/__clang_cuda_builtin_vars.h|66|3|1
2,base,call,int,32,-1,_Z9kernel_BSIfEvPKT_S2_Pmmm,/soft/compilers/llvm/release-17.0.6/lib/clang/17/include/__clang_cuda_builtin_vars.h,79,3,2,_Z9kernel_BSIfEvPKT_S2_Pmmm|base|call|int|32|-1|/soft/compilers/llvm/release-17.0.6/lib/clang/17/include/__clang_cuda_builtin_vars.h|79|3|2
4,base,call,int,32,-1,_Z9kernel_BSIfEvPKT_S2_Pmmm,/soft/compilers/llvm/release-17.0.6/lib/clang/17/include/__clang_cuda_builtin_vars.h,53,3,3,_Z9kernel_BSIfEvPKT_S2_Pmmm|base|call|int|32|-1|/soft/compilers/llvm/release-17.0.6/lib/clang/17/include/__clang_cuda_builtin_vars.h|53|3|3
5,base,add,int,32,-1,_Z9kernel_BSIfEvPKT_S2_Pmmm,/home/mdunlavy/GPU_FI/HeCBench/src/bsearch-cuda/main.cu,20,35,1,_Z9kernel_BSIfEvPKT_S2_Pmmm|base|add|int|32|-1|/home/mdunlavy/GPU_FI/HeCBench/src/bsearch-cuda/main.cu|20|35|1
6,base,zext,int,64,-1,_Z9kernel_BSIfEvPKT_S2_Pmmm,/home/mdunlavy/GPU_FI/HeCBench/src/bsearch-cuda/main.cu,20,14,1,_Z9kernel_BSIfEvPKT_S2_Pmmm|base|zext|int|64|-1|/home/mdunlavy/GPU_FI/HeCBench/src/bsearch-cuda/main.cu|20|14|1
7,base,load,int,64,-1,_Z9kernel_BSIfEvPKT_S2_Pmmm,/home/mdunlavy/GPU_FI/HeCBench/src/bsearch-cuda/main.cu,21,7,1,_Z9kernel_BSIfEvPKT_S2_Pmmm|base|load|int|64|-1|/home/mdunlavy/GPU_FI/HeCBench/src/bsearch-cuda/main.cu|21|7|1
8,base,load,int,64,-1,_Z9kernel_BSIfEvPKT_S2_Pmmm,/home/mdunlavy/GPU_FI/HeCBench/src/bsearch-cuda/main.cu,21,12,2,_Z9kernel_BSIfEvPKT_S2_Pmmm|base|load|int|64|-1|/home/mdunlavy/GPU_FI/HeCBench/src/bsearch-cuda/main.cu|21|12|2
9,base,icmp,int,1,-1,_Z9kernel_BSIfEvPKT_S2_Pmmm,/home/mdunlavy/GPU_FI/HeCBench/src/bsearch-cuda/main.cu,21,9,1,_Z9kernel_BSIfEvPKT_S2_Pmmm|base|icmp|int|1|-1|/home/mdunlavy/GPU_FI/HeCBench/src/bsearch-cuda/main.cu|21|9|1
10,base,load,int,64,-1,_Z9kernel_BSIfEvPKT_S2_Pmmm,/home/mdunlavy/GPU_FI/HeCBench/src/bsearch-cuda/main.cu,22,15,3,_Z9kernel_BSIfEvPKT_S2_Pmmm|base|load|int|64|-1|/home/mdunlavy/GPU_FI/HeCBench/src/bsearch-cuda/main.cu|22|15|3
11,base,load,float,32,-1,_Z9kernel_BSIfEvPKT_S2_Pmmm,/home/mdunlavy/GPU_FI/HeCBench/src/bsearch-cuda/main.cu,22,9,1,_Z9kernel_BSIfEvPKT_S2_Pmmm|base|load|float|32|-1|/home/mdunlavy/GPU_FI/HeCBench/src/bsearch-cuda/main.cu|22|9|1
12,base,load,int,64,-1,_Z9kernel_BSIfEvPKT_S2_Pmmm,/home/mdunlavy/GPU_FI/HeCBench/src/bsearch-cuda/main.cu,24,17,4,_Z9kernel_BSIfEvPKT_S2_Pmmm|base|load|int|64|-1|/home/mdunlavy/GPU_FI/HeCBench/src/bsearch-cuda/main.cu|24|17|4
13,base,load,int,64,-1,_Z9kernel_BSIfEvPKT_S2_Pmmm,/home/mdunlavy/GPU_FI/HeCBench/src/bsearch-cuda/main.cu,25,10,5,_Z9kernel_BSIfEvPKT_S2_Pmmm|base|load|int|64|-1|/home/mdunlavy/GPU_FI/HeCBench/src/bsearch-cuda/main.cu|25|10|5
14,base,load,int,64,-1,_Z9kernel_BSIfEvPKT_S2_Pmmm,/home/mdunlavy/GPU_FI/HeCBench/src/bsearch-cuda/main.cu,25,17,6,_Z9kernel_BSIfEvPKT_S2_Pmmm|base|load|int|64|-1|/home/mdunlavy/GPU_FI/HeCBench/src/bsearch-cuda/main.cu|25|17|6
15,base,sub,int,64,-1,_Z9kernel_BSIfEvPKT_S2_Pmmm,/home/mdunlavy/GPU_FI/HeCBench/src/bsearch-cuda/main.cu,25,15,1,_Z9kernel_BSIfEvPKT_S2_Pmmm|base|sub|int|64|-1|/home/mdunlavy/GPU_FI/HeCBench/src/bsearch-cuda/main.cu|25|15|1
