index,site_id,bit_index,bitwidth,type_kind,opcode
746,15,39,64,int,load
772,16,1,64,int,sub
774,16,3,64,int,sub
776,16,5,64,int,sub
777,16,6,64,int,sub
780,16,9,64,int,sub
781,16,10,64,int,sub
787,16,16,64,int,sub
789,16,18,64,int,sub
791,16,20,64,int,sub
809,16,38,64,int,sub
810,16,39,64,int,sub
811,16,40,64,int,sub
812,16,41,64,int,sub
813,16,42,64,int,sub
814,16,43,64,int,sub
815,16,44,64,int,sub
816,16,45,64,int,sub
817,16,46,64,int,sub
818,16,47,64,int,sub
819,16,48,64,int,sub
820,16,49,64,int,sub
821,16,50,64,int,sub
822,16,51,64,int,sub
823,16,52,64,int,sub
824,16,53,64,int,sub
825,16,54,64,int,sub
826,16,55,64,int,sub
827,16,56,64,int,sub
828,16,57,64,int,sub
829,16,58,64,int,sub
830,16,59,64,int,sub
831,16,60,64,int,sub
832,16,61,64,int,sub
833,16,62,64,int,sub
834,16,63,64,int,sub
980,20,16,64,int,load
981,20,17,64,int,load
987,20,23,64,int,load
989,20,25,64,int,load
991,20,27,64,int,load
998,20,34,64,int,load
999,20,35,64,int,load
1000,20,36,64,int,load
1001,20,37,64,int,load
1011,20,47,64,int,load
1012,20,48,64,int,load
1013,20,49,64,int,load
1014,20,50,64,int,load
1015,20,51,64,int,load
1016,20,52,64,int,load
1017,20,53,64,int,load
1018,20,54,64,int,load
1019,20,55,64,int,load
1020,20,56,64,int,load
1021,20,57,64,int,load
1022,20,58,64,int,load
1023,20,59,64,int,load
1024,20,60,64,int,load
1025,20,61,64,int,load
1026,20,62,64,int,load
1027,20,63,64,int,load
1028,21,0,64,int,sub
1029,21,1,64,int,sub
1030,21,2,64,int,sub
1031,21,3,64,int,sub
1032,21,4,64,int,sub
1033,21,5,64,int,sub
1034,21,6,64,int,sub
1035,21,7,64,int,sub
1036,21,8,64,int,sub
1037,21,9,64,int,sub
1038,21,10,64,int,sub
1039,21,11,64,int,sub
1040,21,12,64,int,sub
1041,21,13,64,int,sub
1042,21,14,64,int,sub
1043,21,15,64,int,sub
1044,21,16,64,int,sub
1045,21,17,64,int,sub
1046,21,18,64,int,sub
1047,21,19,64,int,sub
1048,21,20,64,int,sub
1049,21,21,64,int,sub
1050,21,22,64,int,sub
1051,21,23,64,int,sub
1052,21,24,64,int,sub
1053,21,25,64,int,sub
1054,21,26,64,int,sub
1055,21,27,64,int,sub
1056,21,28,64,int,sub
1057,21,29,64,int,sub
1058,21,30,64,int,sub
1059,21,31,64,int,sub
1060,21,32,64,int,sub
1061,21,33,64,int,sub
1062,21,34,64,int,sub
1063,21,35,64,int,sub
1064,21,36,64,int,sub
1065,21,37,64,int,sub
1066,21,38,64,int,sub
1067,21,39,64,int,sub
1068,21,40,64,int,sub
1069,21,41,64,int,sub
1070,21,42,64,int,sub
1071,21,43,64,int,sub
1072,21,44,64,int,sub
1073,21,45,64,int,sub
1074,21,46,64,int,sub
1075,21,47,64,int,sub
1076,21,48,64,int,sub
1077,21,49,64,int,sub
1078,21,50,64,int,sub
1079,21,51,64,int,sub
1080,21,52,64,int,sub
