index,site_id,bit_index,bitwidth,type_kind,opcode
1,1,0,64,int,store
2,1,1,64,int,store
3,1,2,64,int,store
4,1,3,64,int,store
5,1,4,64,int,store
6,1,5,64,int,store
7,1,6,64,int,store
8,1,7,64,int,store
9,1,8,64,int,store
10,1,9,64,int,store
11,1,10,64,int,store
12,1,11,64,int,store
13,1,12,64,int,store
14,1,13,64,int,store
15,1,14,64,int,store
16,1,15,64,int,store
17,1,16,64,int,store
18,1,17,64,int,store
19,1,18,64,int,store
20,1,19,64,int,store
21,1,20,64,int,store
22,1,21,64,int,store
23,1,22,64,int,store
24,1,23,64,int,store
25,1,24,64,int,store
26,1,25,64,int,store
27,1,26,64,int,store
28,1,27,64,int,store
29,1,28,64,int,store
30,1,29,64,int,store
31,1,30,64,int,store
32,1,31,64,int,store
33,1,32,64,int,store
34,1,33,64,int,store
35,1,34,64,int,store
36,1,35,64,int,store
37,1,36,64,int,store
38,1,37,64,int,store
39,1,38,64,int,store
40,1,39,64,int,store
41,1,40,64,int,store
42,1,41,64,int,store
43,1,42,64,int,store
44,1,43,64,int,store
45,1,44,64,int,store
46,1,45,64,int,store
47,1,46,64,int,store
48,1,47,64,int,store
49,1,48,64,int,store
50,1,49,64,int,store
51,1,50,64,int,store
52,1,51,64,int,store
53,1,52,64,int,store
54,1,53,64,int,store
55,1,54,64,int,store
56,1,55,64,int,store
57,1,56,64,int,store
58,1,57,64,int,store
59,1,58,64,int,store
60,1,59,64,int,store
61,1,60,64,int,store
62,1,61,64,int,store
63,1,62,64,int,store
64,1,63,64,int,store
65,2,0,64,int,store
66,2,1,64,int,store
67,2,2,64,int,store
68,2,3,64,int,store
69,2,4,64,int,store
70,2,5,64,int,store
71,2,6,64,int,store
72,2,7,64,int,store
73,2,8,64,int,store
74,2,9,64,int,store
75,2,10,64,int,store
76,2,11,64,int,store
77,2,12,64,int,store
78,2,13,64,int,store
79,2,14,64,int,store
80,2,15,64,int,store
81,2,16,64,int,store
82,2,17,64,int,store
83,2,18,64,int,store
84,2,19,64,int,store
85,2,20,64,int,store
86,2,21,64,int,store
87,2,22,64,int,store
88,2,23,64,int,store
89,2,24,64,int,store
90,2,25,64,int,store
91,2,26,64,int,store
92,2,27,64,int,store
93,2,28,64,int,store
94,2,29,64,int,store
95,2,30,64,int,store
96,2,31,64,int,store
97,2,32,64,int,store
98,2,33,64,int,store
99,2,34,64,int,store
100,2,35,64,int,store
101,2,36,64,int,store
102,2,37,64,int,store
103,2,38,64,int,store
104,2,39,64,int,store
105,2,40,64,int,store
106,2,41,64,int,store
107,2,42,64,int,store
108,2,43,64,int,store
109,2,44,64,int,store
110,2,45,64,int,store
111,2,46,64,int,store
112,2,47,64,int,store
113,2,48,64,int,store
114,2,49,64,int,store
115,2,50,64,int,store
116,2,51,64,int,store
117,2,52,64,int,store
118,2,53,64,int,store
119,2,54,64,int,store
120,2,55,64,int,store
121,2,56,64,int,store
122,2,57,64,int,store
123,2,58,64,int,store
124,2,59,64,int,store
125,2,60,64,int,store
126,2,61,64,int,store
127,2,62,64,int,store
128,2,63,64,int,store
129,5,0,32,int,add
130,5,1,32,int,add
131,5,2,32,int,add
132,5,3,32,int,add
133,5,4,32,int,add
134,5,5,32,int,add
135,5,6,32,int,add
136,5,7,32,int,add
137,5,8,32,int,add
138,5,9,32,int,add
139,5,10,32,int,add
140,5,11,32,int,add
141,5,12,32,int,add
142,5,13,32,int,add
143,5,14,32,int,add
144,5,15,32,int,add
145,5,16,32,int,add
146,5,17,32,int,add
147,5,18,32,int,add
148,5,19,32,int,add
149,5,20,32,int,add
150,5,21,32,int,add
151,5,22,32,int,add
152,5,23,32,int,add
153,5,24,32,int,add
154,5,25,32,int,add
155,5,26,32,int,add
156,5,27,32,int,add
157,5,28,32,int,add
158,5,29,32,int,add
159,5,30,32,int,add
160,5,31,32,int,add
161,6,0,32,int,add
162,6,1,32,int,add
163,6,2,32,int,add
164,6,3,32,int,add
165,6,4,32,int,add
166,6,5,32,int,add
167,6,6,32,int,add
168,6,7,32,int,add
169,6,8,32,int,add
170,6,9,32,int,add
171,6,10,32,int,add
172,6,11,32,int,add
173,6,12,32,int,add
174,6,13,32,int,add
175,6,14,32,int,add
176,6,15,32,int,add
177,6,16,32,int,add
178,6,17,32,int,add
179,6,18,32,int,add
180,6,19,32,int,add
181,6,20,32,int,add
182,6,21,32,int,add
183,6,22,32,int,add
184,6,23,32,int,add
185,6,24,32,int,add
186,6,25,32,int,add
187,6,26,32,int,add
188,6,27,32,int,add
189,6,28,32,int,add
190,6,29,32,int,add
191,6,30,32,int,add
192,6,31,32,int,add
193,7,0,32,int,zext
194,7,1,32,int,zext
195,7,2,32,int,zext
196,7,3,32,int,zext
197,7,4,32,int,zext
198,7,5,32,int,zext
199,7,6,32,int,zext
200,7,7,32,int,zext
201,7,8,32,int,zext
202,7,9,32,int,zext
203,7,10,32,int,zext
204,7,11,32,int,zext
205,7,12,32,int,zext
206,7,13,32,int,zext
207,7,14,32,int,zext
208,7,15,32,int,zext
209,7,16,32,int,zext
210,7,17,32,int,zext
211,7,18,32,int,zext
212,7,19,32,int,zext
213,7,20,32,int,zext
214,7,21,32,int,zext
215,7,22,32,int,zext
216,7,23,32,int,zext
217,7,24,32,int,zext
218,7,25,32,int,zext
219,7,26,32,int,zext
220,7,27,32,int,zext
221,7,28,32,int,zext
222,7,29,32,int,zext
223,7,30,32,int,zext
224,7,31,32,int,zext
225,8,0,64,int,store
226,8,1,64,int,store
227,8,2,64,int,store
228,8,3,64,int,store
229,8,4,64,int,store
230,8,5,64,int,store
231,8,6,64,int,store
232,8,7,64,int,store
233,8,8,64,int,store
234,8,9,64,int,store
235,8,10,64,int,store
236,8,11,64,int,store
237,8,12,64,int,store
238,8,13,64,int,store
239,8,14,64,int,store
240,8,15,64,int,store
241,8,16,64,int,store
242,8,17,64,int,store
243,8,18,64,int,store
244,8,19,64,int,store
245,8,20,64,int,store
246,8,21,64,int,store
247,8,22,64,int,store
248,8,23,64,int,store
249,8,24,64,int,store
250,8,25,64,int,store
251,8,26,64,int,store
252,8,27,64,int,store
253,8,28,64,int,store
254,8,29,64,int,store
255,8,30,64,int,store
256,8,31,64,int,store
257,8,32,64,int,store
258,8,33,64,int,store
259,8,34,64,int,store
260,8,35,64,int,store
261,8,36,64,int,store
262,8,37,64,int,store
263,8,38,64,int,store
264,8,39,64,int,store
265,8,40,64,int,store
266,8,41,64,int,store
267,8,42,64,int,store
268,8,43,64,int,store
269,8,44,64,int,store
270,8,45,64,int,store
271,8,46,64,int,store
272,8,47,64,int,store
273,8,48,64,int,store
274,8,49,64,int,store
275,8,50,64,int,store
276,8,51,64,int,store
277,8,52,64,int,store
278,8,53,64,int,store
279,8,54,64,int,store
280,8,55,64,int,store
281,8,56,64,int,store
282,8,57,64,int,store
283,8,58,64,int,store
284,8,59,64,int,store
285,8,60,64,int,store
286,8,61,64,int,store
287,8,62,64,int,store
288,8,63,64,int,store
289,9,0,64,int,icmp
290,9,1,64,int,icmp
291,9,2,64,int,icmp
292,9,3,64,int,icmp
293,9,4,64,int,icmp
294,9,5,64,int,icmp
295,9,6,64,int,icmp
296,9,7,64,int,icmp
297,9,8,64,int,icmp
298,9,9,64,int,icmp
