index,site_id,bit_index,bitwidth,type_kind,opcode
1,1,0,32,int,store
2,1,1,32,int,store
3,1,2,32,int,store
4,1,3,32,int,store
5,1,4,32,int,store
6,1,5,32,int,store
7,1,6,32,int,store
8,1,7,32,int,store
9,1,8,32,int,store
10,1,9,32,int,store
11,1,10,32,int,store
12,1,11,32,int,store
13,1,12,32,int,store
14,1,13,32,int,store
15,1,14,32,int,store
16,1,15,32,int,store
17,1,16,32,int,store
18,1,17,32,int,store
19,1,18,32,int,store
20,1,19,32,int,store
21,1,20,32,int,store
22,1,21,32,int,store
23,1,22,32,int,store
24,1,23,32,int,store
25,1,24,32,int,store
26,1,25,32,int,store
27,1,26,32,int,store
28,1,27,32,int,store
29,1,28,32,int,store
30,1,29,32,int,store
31,1,30,32,int,store
32,1,31,32,int,store
33,2,0,32,int,store
34,2,1,32,int,store
35,2,2,32,int,store
36,2,3,32,int,store
37,2,4,32,int,store
38,2,5,32,int,store
39,2,6,32,int,store
40,2,7,32,int,store
41,2,8,32,int,store
42,2,9,32,int,store
43,2,10,32,int,store
44,2,11,32,int,store
45,2,12,32,int,store
46,2,13,32,int,store
47,2,14,32,int,store
48,2,15,32,int,store
49,2,16,32,int,store
50,2,17,32,int,store
51,2,18,32,int,store
52,2,19,32,int,store
53,2,20,32,int,store
54,2,21,32,int,store
55,2,22,32,int,store
56,2,23,32,int,store
57,2,24,32,int,store
58,2,25,32,int,store
59,2,26,32,int,store
60,2,27,32,int,store
61,2,28,32,int,store
62,2,29,32,int,store
63,2,30,32,int,store
64,2,31,32,int,store
97,4,0,32,int,store
98,4,1,32,int,store
99,4,2,32,int,store
100,4,3,32,int,store
101,4,4,32,int,store
102,4,5,32,int,store
103,4,6,32,int,store
104,4,7,32,int,store
105,4,8,32,int,store
106,4,9,32,int,store
107,4,10,32,int,store
108,4,11,32,int,store
109,4,12,32,int,store
110,4,13,32,int,store
111,4,14,32,int,store
112,4,15,32,int,store
113,4,16,32,int,store
114,4,17,32,int,store
115,4,18,32,int,store
116,4,19,32,int,store
117,4,20,32,int,store
118,4,21,32,int,store
119,4,22,32,int,store
120,4,23,32,int,store
121,4,24,32,int,store
122,4,25,32,int,store
123,4,26,32,int,store
124,4,27,32,int,store
125,4,28,32,int,store
126,4,29,32,int,store
127,4,30,32,int,store
128,4,31,32,int,store
353,10,0,32,int,sub
354,10,1,32,int,sub
355,10,2,32,int,sub
356,10,3,32,int,sub
357,10,4,32,int,sub
358,10,5,32,int,sub
359,10,6,32,int,sub
360,10,7,32,int,sub
361,10,8,32,int,sub
362,10,9,32,int,sub
363,10,10,32,int,sub
364,10,11,32,int,sub
365,10,12,32,int,sub
366,10,13,32,int,sub
367,10,14,32,int,sub
368,10,15,32,int,sub
369,10,16,32,int,sub
370,10,17,32,int,sub
371,10,18,32,int,sub
372,10,19,32,int,sub
373,10,20,32,int,sub
374,10,21,32,int,sub
375,10,22,32,int,sub
376,10,23,32,int,sub
377,10,24,32,int,sub
378,10,25,32,int,sub
379,10,26,32,int,sub
380,10,27,32,int,sub
381,10,28,32,int,sub
382,10,29,32,int,sub
383,10,30,32,int,sub
384,10,31,32,int,sub
417,12,0,32,int,store
418,12,1,32,int,store
419,12,2,32,int,store
420,12,3,32,int,store
421,12,4,32,int,store
422,12,5,32,int,store
423,12,6,32,int,store
424,12,7,32,int,store
425,12,8,32,int,store
426,12,9,32,int,store
427,12,10,32,int,store
428,12,11,32,int,store
429,12,12,32,int,store
430,12,13,32,int,store
431,12,14,32,int,store
432,12,15,32,int,store
433,12,16,32,int,store
434,12,17,32,int,store
435,12,18,32,int,store
436,12,19,32,int,store
437,12,20,32,int,store
438,12,21,32,int,store
439,12,22,32,int,store
440,12,23,32,int,store
441,12,24,32,int,store
442,12,25,32,int,store
443,12,26,32,int,store
444,12,27,32,int,store
445,12,28,32,int,store
446,12,29,32,int,store
447,12,30,32,int,store
448,12,31,32,int,store
578,18,0,32,int,mul
579,18,1,32,int,mul
580,18,2,32,int,mul
581,18,3,32,int,mul
582,18,4,32,int,mul
583,18,5,32,int,mul
584,18,6,32,int,mul
585,18,7,32,int,mul
586,18,8,32,int,mul
587,18,9,32,int,mul
588,18,10,32,int,mul
589,18,11,32,int,mul
590,18,12,32,int,mul
591,18,13,32,int,mul
592,18,14,32,int,mul
593,18,15,32,int,mul
594,18,16,32,int,mul
595,18,17,32,int,mul
596,18,18,32,int,mul
597,18,19,32,int,mul
598,18,20,32,int,mul
599,18,21,32,int,mul
600,18,22,32,int,mul
601,18,23,32,int,mul
602,18,24,32,int,mul
603,18,25,32,int,mul
604,18,26,32,int,mul
605,18,27,32,int,mul
606,18,28,32,int,mul
607,18,29,32,int,mul
608,18,30,32,int,mul
609,18,31,32,int,mul
610,19,0,32,int,add
611,19,1,32,int,add
612,19,2,32,int,add
613,19,3,32,int,add
614,19,4,32,int,add
615,19,5,32,int,add
616,19,6,32,int,add
617,19,7,32,int,add
618,19,8,32,int,add
619,19,9,32,int,add
620,19,10,32,int,add
621,19,11,32,int,add
622,19,12,32,int,add
623,19,13,32,int,add
624,19,14,32,int,add
625,19,15,32,int,add
626,19,16,32,int,add
627,19,17,32,int,add
628,19,18,32,int,add
629,19,19,32,int,add
630,19,20,32,int,add
631,19,21,32,int,add
632,19,22,32,int,add
633,19,23,32,int,add
634,19,24,32,int,add
635,19,25,32,int,add
636,19,26,32,int,add
637,19,27,32,int,add
638,19,28,32,int,add
639,19,29,32,int,add
640,19,30,32,int,add
641,19,31,32,int,add
642,20,0,32,int,add
643,20,1,32,int,add
644,20,2,32,int,add
645,20,3,32,int,add
646,20,4,32,int,add
647,20,5,32,int,add
648,20,6,32,int,add
649,20,7,32,int,add
650,20,8,32,int,add
651,20,9,32,int,add
652,20,10,32,int,add
653,20,11,32,int,add
654,20,12,32,int,add
655,20,13,32,int,add
656,20,14,32,int,add
657,20,15,32,int,add
658,20,16,32,int,add
659,20,17,32,int,add
660,20,18,32,int,add
661,20,19,32,int,add
662,20,20,32,int,add
663,20,21,32,int,add
664,20,22,32,int,add
665,20,23,32,int,add
666,20,24,32,int,add
667,20,25,32,int,add
668,20,26,32,int,add
669,20,27,32,int,add
670,20,28,32,int,add
671,20,29,32,int,add
672,20,30,32,int,add
673,20,31,32,int,add
674,21,0,32,int,sext
675,21,1,32,int,sext
676,21,2,32,int,sext
677,21,3,32,int,sext
678,21,4,32,int,sext
679,21,5,32,int,sext
680,21,6,32,int,sext
681,21,7,32,int,sext
682,21,8,32,int,sext
683,21,9,32,int,sext
684,21,10,32,int,sext
685,21,11,32,int,sext
686,21,12,32,int,sext
687,21,13,32,int,sext
688,21,14,32,int,sext
689,21,15,32,int,sext
690,21,16,32,int,sext
691,21,17,32,int,sext
692,21,18,32,int,sext
693,21,19,32,int,sext
694,21,20,32,int,sext
695,21,21,32,int,sext
696,21,22,32,int,sext
697,21,23,32,int,sext
698,21,24,32,int,sext
699,21,25,32,int,sext
700,21,26,32,int,sext
701,21,27,32,int,sext
702,21,28,32,int,sext
703,21,29,32,int,sext
704,21,30,32,int,sext
705,21,31,32,int,sext
706,22,0,64,int,getelementptr
707,22,1,64,int,getelementptr
708,22,2,64,int,getelementptr
709,22,3,64,int,getelementptr
710,22,4,64,int,getelementptr
711,22,5,64,int,getelementptr
712,22,6,64,int,getelementptr
713,22,7,64,int,getelementptr
714,22,8,64,int,getelementptr
715,22,9,64,int,getelementptr
716,22,10,64,int,getelementptr
717,22,11,64,int,getelementptr
718,22,12,64,int,getelementptr
719,22,13,64,int,getelementptr
720,22,14,64,int,getelementptr
721,22,15,64,int,getelementptr
722,22,16,64,int,getelementptr
723,22,17,64,int,getelementptr
724,22,18,64,int,getelementptr
725,22,19,64,int,getelementptr
726,22,20,64,int,getelementptr
727,22,21,64,int,getelementptr
728,22,22,64,int,getelementptr
729,22,23,64,int,getelementptr
730,22,24,64,int,getelementptr
731,22,25,64,int,getelementptr
732,22,26,64,int,getelementptr
733,22,27,64,int,getelementptr
734,22,28,64,int,getelementptr
735,22,29,64,int,getelementptr
736,22,30,64,int,getelementptr
737,22,31,64,int,getelementptr
