index,site_id,bit_index,bitwidth,type_kind,opcode
1,7,0,64,ptr,store
2,7,1,64,ptr,store
3,7,2,64,ptr,store
4,7,3,64,ptr,store
5,7,4,64,ptr,store
6,7,5,64,ptr,store
7,7,6,64,ptr,store
8,7,7,64,ptr,store
9,7,8,64,ptr,store
10,7,9,64,ptr,store
11,7,10,64,ptr,store
12,7,11,64,ptr,store
13,7,12,64,ptr,store
14,7,13,64,ptr,store
15,7,14,64,ptr,store
16,7,15,64,ptr,store
17,7,16,64,ptr,store
18,7,17,64,ptr,store
19,7,18,64,ptr,store
20,7,19,64,ptr,store
21,7,20,64,ptr,store
22,7,21,64,ptr,store
23,7,22,64,ptr,store
24,7,23,64,ptr,store
25,7,24,64,ptr,store
26,7,25,64,ptr,store
27,7,26,64,ptr,store
28,7,27,64,ptr,store
29,7,28,64,ptr,store
30,7,29,64,ptr,store
31,7,30,64,ptr,store
32,7,31,64,ptr,store
33,7,32,64,ptr,store
34,7,33,64,ptr,store
35,7,34,64,ptr,store
36,7,35,64,ptr,store
37,7,36,64,ptr,store
38,7,37,64,ptr,store
39,7,38,64,ptr,store
40,7,39,64,ptr,store
41,7,40,64,ptr,store
42,7,41,64,ptr,store
43,7,42,64,ptr,store
44,7,43,64,ptr,store
45,7,44,64,ptr,store
46,7,45,64,ptr,store
47,7,46,64,ptr,store
48,7,47,64,ptr,store
49,7,48,64,ptr,store
50,7,49,64,ptr,store
51,7,50,64,ptr,store
52,7,51,64,ptr,store
53,7,52,64,ptr,store
54,7,53,64,ptr,store
55,7,54,64,ptr,store
56,7,55,64,ptr,store
57,7,56,64,ptr,store
58,7,57,64,ptr,store
59,7,58,64,ptr,store
60,7,59,64,ptr,store
61,7,60,64,ptr,store
62,7,61,64,ptr,store
63,7,62,64,ptr,store
64,7,63,64,ptr,store
65,8,0,64,ptr,store
66,8,1,64,ptr,store
67,8,2,64,ptr,store
68,8,3,64,ptr,store
69,8,4,64,ptr,store
70,8,5,64,ptr,store
71,8,6,64,ptr,store
