site_id,site_class,opcode,type_kind,bitwidth,operand_index,function,source_file,source_line,source_column,signature_ordinal,semantic_key
1,pointer,store,ptr,64,0,_Z7entropyPfPKcii,/home/mdunlavy/GPU_FI/HeCBench/src/entropy-cuda/main.cu,0,0,1,_Z7entropyPfPKcii|pointer|store|ptr|64|0|/home/mdunlavy/GPU_FI/HeCBench/src/entropy-cuda/main.cu|0|0|1
2,pointer,store,ptr,64,1,_Z7entropyPfPKcii,/home/mdunlavy/GPU_FI/HeCBench/src/entropy-cuda/main.cu,0,0,1,_Z7entropyPfPKcii|pointer|store|ptr|64|1|/home/mdunlavy/GPU_FI/HeCBench/src/entropy-cuda/main.cu|0|0|1
3,pointer,store,ptr,64,0,_Z7entropyPfPKcii,/home/mdunlavy/GPU_FI/HeCBench/src/entropy-cuda/main.cu,0,0,2,_Z7entropyPfPKcii|pointer|store|ptr|64|0|/home/mdunlavy/GPU_FI/HeCBench/src/entropy-cuda/main.cu|0|0|2
4,pointer,store,ptr,64,1,_Z7entropyPfPKcii,/home/mdunlavy/GPU_FI/HeCBench/src/entropy-cuda/main.cu,0,0,2,_Z7entropyPfPKcii|pointer|store|ptr|64|1|/home/mdunlavy/GPU_FI/HeCBench/src/entropy-cuda/main.cu|0|0|2
5,pointer,store,ptr,64,1,_Z7entropyPfPKcii,/home/mdunlavy/GPU_FI/HeCBench/src/entropy-cuda/main.cu,0,0,3,_Z7entropyPfPKcii|pointer|store|ptr|64|1|/home/mdunlavy/GPU_FI/HeCBench/src/entropy-cuda/main.cu|0|0|3
6,pointer,store,ptr,64,1,_Z7entropyPfPKcii,/home/mdunlavy/GPU_FI/HeCBench/src/entropy-cuda/main.cu,0,0,4,_Z7entropyPfPKcii|pointer|store|ptr|64|1|/home/mdunlavy/GPU_FI/HeCBench/src/entropy-cuda/main.cu|0|0|4
7,pointer,store,ptr,64,1,_Z7entropyPfPKcii,/home/mdunlavy/GPU_FI/HeCBench/src/entropy-cuda/main.cu,14,13,5,_Z7entropyPfPKcii|pointer|store|ptr|64|1|/home/mdunlavy/GPU_FI/HeCBench/src/entropy-cuda/main.cu|14|13|5
8,pointer,store,ptr,64,1,_Z7entropyPfPKcii,/home/mdunlavy/GPU_FI/HeCBench/src/entropy-cuda/main.cu,15,13,6,_Z7entropyPfPKcii|pointer|store|ptr|64|1|/home/mdunlavy/GPU_FI/HeCBench/src/entropy-cuda/main.cu|15|13|6
9,pointer,load,ptr,64,0,_Z7entropyPfPKcii,/home/mdunlavy/GPU_FI/HeCBench/src/entropy-cuda/main.cu,16,7,1,_Z7entropyPfPKcii|pointer|load|ptr|64|0|/home/mdunlavy/GPU_FI/HeCBench/src/entropy-cuda/main.cu|16|7|1
10,pointer,load,ptr,64,0,_Z7entropyPfPKcii,/home/mdunlavy/GPU_FI/HeCBench/src/entropy-cuda/main.cu,16,12,2,_Z7entropyPfPKcii|pointer|load|ptr|64|0|/home/mdunlavy/GPU_FI/HeCBench/src/entropy-cuda/main.cu|16|12|2
11,pointer,load,ptr,64,0,_Z7entropyPfPKcii,/home/mdunlavy/GPU_FI/HeCBench/src/entropy-cuda/main.cu,16,22,3,_Z7entropyPfPKcii|pointer|load|ptr|64|0|/home/mdunlavy/GPU_FI/HeCBench/src/entropy-cuda/main.cu|16|22|3
12,pointer,load,ptr,64,0,_Z7entropyPfPKcii,/home/mdunlavy/GPU_FI/HeCBench/src/entropy-cuda/main.cu,16,27,4,_Z7entropyPfPKcii|pointer|load|ptr|64|0|/home/mdunlavy/GPU_FI/HeCBench/src/entropy-cuda/main.cu|16|27|4
13,pointer,store,ptr,64,1,_Z7entropyPfPKcii,/home/mdunlavy/GPU_FI/HeCBench/src/entropy-cuda/main.cu,20,12,7,_Z7entropyPfPKcii|pointer|store|ptr|64|1|/home/mdunlavy/GPU_FI/HeCBench/src/entropy-cuda/main.cu|20|12|7
14,pointer,load,ptr,64,0,_Z7entropyPfPKcii,/home/mdunlavy/GPU_FI/HeCBench/src/entropy-cuda/main.cu,20,19,5,_Z7entropyPfPKcii|pointer|load|ptr|64|0|/home/mdunlavy/GPU_FI/HeCBench/src/entropy-cuda/main.cu|20|19|5
15,pointer,load,ptr,64,0,_Z7entropyPfPKcii,/home/mdunlavy/GPU_FI/HeCBench/src/entropy-cuda/main.cu,20,38,6,_Z7entropyPfPKcii|pointer|load|ptr|64|0|/home/mdunlavy/GPU_FI/HeCBench/src/entropy-cuda/main.cu|20|38|6
16,pointer,getelementptr,ptr,64,0,_Z7entropyPfPKcii,/home/mdunlavy/GPU_FI/HeCBench/src/entropy-cuda/main.cu,20,32,1,_Z7entropyPfPKcii|pointer|getelementptr|ptr|64|0|/home/mdunlavy/GPU_FI/HeCBench/src/entropy-cuda/main.cu|20|32|1
17,pointer,store,ptr,64,1,_Z7entropyPfPKcii,/home/mdunlavy/GPU_FI/HeCBench/src/entropy-cuda/main.cu,20,41,8,_Z7entropyPfPKcii|pointer|store|ptr|64|1|/home/mdunlavy/GPU_FI/HeCBench/src/entropy-cuda/main.cu|20|41|8
18,pointer,load,ptr,64,0,_Z7entropyPfPKcii,/home/mdunlavy/GPU_FI/HeCBench/src/entropy-cuda/main.cu,20,28,7,_Z7entropyPfPKcii|pointer|load|ptr|64|0|/home/mdunlavy/GPU_FI/HeCBench/src/entropy-cuda/main.cu|20|28|7
