index,site_id,bit_index,bitwidth,type_kind,opcode
1,8,0,32,int,call
2,8,1,32,int,call
3,8,2,32,int,call
4,8,3,32,int,call
5,8,4,32,int,call
6,8,5,32,int,call
7,8,6,32,int,call
8,8,7,32,int,call
9,8,8,32,int,call
10,8,9,32,int,call
11,8,10,32,int,call
12,8,11,32,int,call
13,8,12,32,int,call
14,8,13,32,int,call
15,8,14,32,int,call
16,8,15,32,int,call
17,8,16,32,int,call
18,8,17,32,int,call
19,8,18,32,int,call
20,8,19,32,int,call
21,8,20,32,int,call
22,8,21,32,int,call
23,8,22,32,int,call
24,8,23,32,int,call
25,8,24,32,int,call
26,8,25,32,int,call
27,8,26,32,int,call
28,8,27,32,int,call
29,8,28,32,int,call
30,8,29,32,int,call
31,8,30,32,int,call
32,8,31,32,int,call
33,12,0,32,int,store
34,12,1,32,int,store
35,12,2,32,int,store
36,12,3,32,int,store
37,12,4,32,int,store
38,12,5,32,int,store
39,12,6,32,int,store
40,12,7,32,int,store
41,12,8,32,int,store
42,12,9,32,int,store
43,12,10,32,int,store
44,12,11,32,int,store
45,12,12,32,int,store
46,12,13,32,int,store
47,12,14,32,int,store
48,12,15,32,int,store
49,12,16,32,int,store
50,12,17,32,int,store
51,12,18,32,int,store
52,12,19,32,int,store
53,12,20,32,int,store
54,12,21,32,int,store
55,12,22,32,int,store
56,12,23,32,int,store
57,12,24,32,int,store
58,12,25,32,int,store
59,12,26,32,int,store
60,12,27,32,int,store
61,12,28,32,int,store
62,12,29,32,int,store
63,12,30,32,int,store
64,12,31,32,int,store
65,13,0,32,int,store
66,13,1,32,int,store
67,13,2,32,int,store
68,13,3,32,int,store
69,13,4,32,int,store
70,13,5,32,int,store
71,13,6,32,int,store
72,13,7,32,int,store
73,13,8,32,int,store
74,13,9,32,int,store
75,13,10,32,int,store
76,13,11,32,int,store
77,13,12,32,int,store
78,13,13,32,int,store
79,13,14,32,int,store
80,13,15,32,int,store
81,13,16,32,int,store
82,13,17,32,int,store
83,13,18,32,int,store
84,13,19,32,int,store
85,13,20,32,int,store
86,13,21,32,int,store
87,13,22,32,int,store
88,13,23,32,int,store
89,13,24,32,int,store
