site_id,bit_index,result,exit_code,stdout,stderr,dump,metric_abs_max,metric_mean_abs,metric_rmse,metric_max_rel,metric_mean_rel,metric_p95_abs,metric_p99_abs,metric_num_bad,metric_frac_bad,metric_max_ulp,metric_mean_ulp,metric_ham_bits,metric_ham_bytes,metric_size_bytes
8,0,SDC,,HeCBench/results/llvm17_inject/jacobi/operand/site8_bit0.out,,,0.769295,0.0248962,0.0833182,6.15919e+06,219.229,0.128309,0.461761,1282684,0.305816,4201488571,9.3018e+08,,,16777216
8,1,SDC,,HeCBench/results/llvm17_inject/jacobi/operand/site8_bit1.out,,,0.769295,0.0249015,0.0833211,6.16091e+06,219.912,0.128275,0.468234,1282748,0.305831,4201491755,9.3019e+08,,,16777216
8,2,SDC,,HeCBench/results/llvm17_inject/jacobi/operand/site8_bit2.out,,,0.769295,0.0249101,0.0833259,6.16148e+06,222.494,0.126143,0.469765,1282960,0.305882,4201492389,9.30211e+08,,,16777216
8,3,SDC,,HeCBench/results/llvm17_inject/jacobi/operand/site8_bit3.out,,,0.769295,0.0249098,0.0833261,6.16164e+06,222.521,0.125844,0.461819,1282864,0.305859,4201492781,9.30213e+08,,,16777216
8,4,SDC,,HeCBench/results/llvm17_inject/jacobi/operand/site8_bit4.out,,,0.985319,0.0170063,0.0788386,8.12158e+06,189.045,0.0430554,0.460072,1236231,0.29474,4196472194,4.92617e+08,,,16777216
8,5,SDC,,HeCBench/results/llvm17_inject/jacobi/operand/site8_bit5.out,,,0.985319,0.0170262,0.0788529,7.84732e+06,163.855,0.0431518,0.453205,1236466,0.294796,4189467703,4.92945e+08,,,16777216
8,6,SDC,,HeCBench/results/llvm17_inject/jacobi/operand/site8_bit6.out,,,0.985319,0.0171483,0.0789348,5.82276e+06,111.264,0.0437737,0.460339,1237749,0.295102,4170175280,4.94121e+08,,,16777216
8,7,SDC,,HeCBench/results/llvm17_inject/jacobi/operand/site8_bit7.out,,,0.985319,0.0176526,0.0794594,1.55721e+06,32.7989,0.0461211,0.470832,1240490,0.295756,4106963005,4.99072e+08,,,16777216
8,8,SDC,,HeCBench/results/llvm17_inject/jacobi/operand/site8_bit8.out,,,0.985319,0.0195415,0.0828037,10443.7,0.517303,0.062103,0.468344,1250478,0.298137,3874515695,5.20135e+08,,,16777216
8,9,SDC,,HeCBench/results/llvm17_inject/jacobi/operand/site8_bit9.out,,,0.985319,0.0255037,0.0976112,1.28608,0.507948,0.110211,0.562314,1271959,0.303259,3652976640,6.0165e+08,,,16777216
8,10,SDC,,HeCBench/results/llvm17_inject/jacobi/operand/site8_bit10.out,,,0.985319,0.0321833,0.112173,1.03711,0.547188,0.174337,0.628967,1282317,0.305728,3658350592,7.39476e+08,,,16777216
8,11,SDC,,HeCBench/results/llvm17_inject/jacobi/operand/site8_bit11.out,,,0.985319,0.0535031,0.156475,1,0.622127,0.38797,0.755507,1289816,0.307516,3212590552,1.71827e+09,,,16777216
8,12,SDC,,HeCBench/results/llvm17_inject/jacobi/operand/site8_bit12.out,,,0.985319,0.0535031,0.156475,1,0.622127,0.391327,0.755099,1289816,0.307516,3212590552,1.71827e+09,,,16777216
8,13,SDC,,HeCBench/results/llvm17_inject/jacobi/operand/site8_bit13.out,,,0.985319,0.0535031,0.156475,1,0.622127,0.392747,0.754972,1289816,0.307516,3212590552,1.71827e+09,,,16777216
8,14,SDC,,HeCBench/results/llvm17_inject/jacobi/operand/site8_bit14.out,,,0.985319,0.0535031,0.156475,1,0.622127,0.395549,0.755688,1289816,0.307516,3212590552,1.71827e+09,,,16777216
8,15,SDC,,HeCBench/results/llvm17_inject/jacobi/operand/site8_bit15.out,,,0.985319,0.0535031,0.156475,1,0.622127,0.390343,0.751091,1289816,0.307516,3212590552,1.71827e+09,,,16777216
8,16,SDC,,HeCBench/results/llvm17_inject/jacobi/operand/site8_bit16.out,,,0.985319,0.0535031,0.156475,1,0.622127,0.390466,0.751533,1289816,0.307516,3212590552,1.71827e+09,,,16777216
8,17,SDC,,HeCBench/results/llvm17_inject/jacobi/operand/site8_bit17.out,,,0.985319,0.0535031,0.156475,1,0.622127,0.395232,0.75633,1289816,0.307516,3212590552,1.71827e+09,,,16777216
8,18,SDC,,HeCBench/results/llvm17_inject/jacobi/operand/site8_bit18.out,,,0.985319,0.0535031,0.156475,1,0.622127,0.391449,0.756376,1289816,0.307516,3212590552,1.71827e+09,,,16777216
8,19,SDC,,HeCBench/results/llvm17_inject/jacobi/operand/site8_bit19.out,,,0.985319,0.0535031,0.156475,1,0.622127,0.393971,0.755129,1289816,0.307516,3212590552,1.71827e+09,,,16777216
8,20,SDC,,HeCBench/results/llvm17_inject/jacobi/operand/site8_bit20.out,,,0.985319,0.0535031,0.156475,1,0.622127,0.393119,0.757767,1289816,0.307516,3212590552,1.71827e+09,,,16777216
8,21,SDC,,HeCBench/results/llvm17_inject/jacobi/operand/site8_bit21.out,,,0.985319,0.0535031,0.156475,1,0.622127,0.390834,0.751558,1289816,0.307516,3212590552,1.71827e+09,,,16777216
8,22,SDC,,HeCBench/results/llvm17_inject/jacobi/operand/site8_bit22.out,,,0.985319,0.0535031,0.156475,1,0.622127,0.387866,0.754384,1289816,0.307516,3212590552,1.71827e+09,,,16777216
8,23,SDC,,HeCBench/results/llvm17_inject/jacobi/operand/site8_bit23.out,,,0.985319,0.0535031,0.156475,1,0.622127,0.386957,0.75322,1289816,0.307516,3212590552,1.71827e+09,,,16777216
8,24,SDC,,HeCBench/results/llvm17_inject/jacobi/operand/site8_bit24.out,,,0.985319,0.0535031,0.156475,1,0.622127,0.390625,0.754649,1289816,0.307516,3212590552,1.71827e+09,,,16777216
8,25,SDC,,HeCBench/results/llvm17_inject/jacobi/operand/site8_bit25.out,,,0.985319,0.0535031,0.156475,1,0.622127,0.384937,0.75177,1289816,0.307516,3212590552,1.71827e+09,,,16777216
8,26,SDC,,HeCBench/results/llvm17_inject/jacobi/operand/site8_bit26.out,,,0.985319,0.0535031,0.156475,1,0.622127,0.389085,0.75574,1289816,0.307516,3212590552,1.71827e+09,,,16777216
8,27,SDC,,HeCBench/results/llvm17_inject/jacobi/operand/site8_bit27.out,,,0.985319,0.0535031,0.156475,1,0.622127,0.393421,0.759361,1289816,0.307516,3212590552,1.71827e+09,,,16777216
8,28,SDC,,HeCBench/results/llvm17_inject/jacobi/operand/site8_bit28.out,,,0.985319,0.0535031,0.156475,1,0.622127,0.3922,0.754432,1289816,0.307516,3212590552,1.71827e+09,,,16777216
8,29,SDC,,HeCBench/results/llvm17_inject/jacobi/operand/site8_bit29.out,,,0.985319,0.0535031,0.156475,1,0.622127,0.385907,0.756146,1289816,0.307516,3212590552,1.71827e+09,,,16777216
8,30,SDC,,HeCBench/results/llvm17_inject/jacobi/operand/site8_bit30.out,,,0.985319,0.0535031,0.156475,1,0.622127,0.387017,0.755723,1289816,0.307516,3212590552,1.71827e+09,,,16777216
