site_id,opcode,type_kind,bitwidth,operand_index,function
1,mul,int,32,0,_Z11jacobi_stepPfPKfS_
2,mul,int,32,1,_Z11jacobi_stepPfPKfS_
3,add,int,32,0,_Z11jacobi_stepPfPKfS_
4,add,int,32,1,_Z11jacobi_stepPfPKfS_
5,store,int,32,0,_Z11jacobi_stepPfPKfS_
6,mul,int,32,0,_Z11jacobi_stepPfPKfS_
7,mul,int,32,1,_Z11jacobi_stepPfPKfS_
8,add,int,32,0,_Z11jacobi_stepPfPKfS_
9,add,int,32,1,_Z11jacobi_stepPfPKfS_
10,store,int,32,0,_Z11jacobi_stepPfPKfS_
11,mul,int,32,0,_Z11jacobi_stepPfPKfS_
12,add,int,32,0,_Z11jacobi_stepPfPKfS_
13,add,int,32,1,_Z11jacobi_stepPfPKfS_
14,sext,int,32,0,_Z11jacobi_stepPfPKfS_
15,getelementptr,int,64,1,_Z11jacobi_stepPfPKfS_
16,add,int,32,0,_Z11jacobi_stepPfPKfS_
17,zext,int,32,0,_Z11jacobi_stepPfPKfS_
18,getelementptr,int,64,2,_Z11jacobi_stepPfPKfS_
19,add,int,32,0,_Z11jacobi_stepPfPKfS_
20,zext,int,32,0,_Z11jacobi_stepPfPKfS_
21,getelementptr,int,64,2,_Z11jacobi_stepPfPKfS_
22,store,float,32,0,_Z11jacobi_stepPfPKfS_
23,icmp,int,32,0,_Z11jacobi_stepPfPKfS_
24,br,int,1,0,_Z11jacobi_stepPfPKfS_
25,icmp,int,32,0,_Z11jacobi_stepPfPKfS_
26,br,int,1,0,_Z11jacobi_stepPfPKfS_
27,sub,int,32,0,_Z11jacobi_stepPfPKfS_
28,mul,int,32,0,_Z11jacobi_stepPfPKfS_
29,add,int,32,0,_Z11jacobi_stepPfPKfS_
30,add,int,32,1,_Z11jacobi_stepPfPKfS_
31,sext,int,32,0,_Z11jacobi_stepPfPKfS_
32,getelementptr,int,64,1,_Z11jacobi_stepPfPKfS_
33,add,int,32,0,_Z11jacobi_stepPfPKfS_
34,zext,int,32,0,_Z11jacobi_stepPfPKfS_
35,getelementptr,int,64,2,_Z11jacobi_stepPfPKfS_
36,add,int,32,0,_Z11jacobi_stepPfPKfS_
37,zext,int,32,0,_Z11jacobi_stepPfPKfS_
38,getelementptr,int,64,2,_Z11jacobi_stepPfPKfS_
39,store,float,32,0,_Z11jacobi_stepPfPKfS_
40,icmp,int,32,0,_Z11jacobi_stepPfPKfS_
41,br,int,1,0,_Z11jacobi_stepPfPKfS_
42,icmp,int,32,0,_Z11jacobi_stepPfPKfS_
43,br,int,1,0,_Z11jacobi_stepPfPKfS_
44,add,int,32,0,_Z11jacobi_stepPfPKfS_
45,mul,int,32,0,_Z11jacobi_stepPfPKfS_
46,add,int,32,0,_Z11jacobi_stepPfPKfS_
47,add,int,32,1,_Z11jacobi_stepPfPKfS_
48,sext,int,32,0,_Z11jacobi_stepPfPKfS_
49,getelementptr,int,64,1,_Z11jacobi_stepPfPKfS_
50,add,int,32,0,_Z11jacobi_stepPfPKfS_
51,zext,int,32,0,_Z11jacobi_stepPfPKfS_
52,getelementptr,int,64,2,_Z11jacobi_stepPfPKfS_
53,add,int,32,0,_Z11jacobi_stepPfPKfS_
54,zext,int,32,0,_Z11jacobi_stepPfPKfS_
55,getelementptr,int,64,2,_Z11jacobi_stepPfPKfS_
56,store,float,32,0,_Z11jacobi_stepPfPKfS_
57,icmp,int,32,0,_Z11jacobi_stepPfPKfS_
58,br,int,1,0,_Z11jacobi_stepPfPKfS_
59,icmp,int,32,0,_Z11jacobi_stepPfPKfS_
60,br,int,1,0,_Z11jacobi_stepPfPKfS_
61,sub,int,32,0,_Z11jacobi_stepPfPKfS_
62,mul,int,32,0,_Z11jacobi_stepPfPKfS_
63,add,int,32,0,_Z11jacobi_stepPfPKfS_
64,add,int,32,1,_Z11jacobi_stepPfPKfS_
65,sext,int,32,0,_Z11jacobi_stepPfPKfS_
66,getelementptr,int,64,1,_Z11jacobi_stepPfPKfS_
67,add,int,32,0,_Z11jacobi_stepPfPKfS_
68,zext,int,32,0,_Z11jacobi_stepPfPKfS_
69,getelementptr,int,64,2,_Z11jacobi_stepPfPKfS_
70,add,int,32,0,_Z11jacobi_stepPfPKfS_
71,zext,int,32,0,_Z11jacobi_stepPfPKfS_
72,getelementptr,int,64,2,_Z11jacobi_stepPfPKfS_
73,store,float,32,0,_Z11jacobi_stepPfPKfS_
74,icmp,int,32,0,_Z11jacobi_stepPfPKfS_
75,br,int,1,0,_Z11jacobi_stepPfPKfS_
76,icmp,int,32,0,_Z11jacobi_stepPfPKfS_
77,br,int,1,0,_Z11jacobi_stepPfPKfS_
78,add,int,32,0,_Z11jacobi_stepPfPKfS_
79,mul,int,32,0,_Z11jacobi_stepPfPKfS_
80,add,int,32,0,_Z11jacobi_stepPfPKfS_
81,add,int,32,1,_Z11jacobi_stepPfPKfS_
82,sext,int,32,0,_Z11jacobi_stepPfPKfS_
83,getelementptr,int,64,1,_Z11jacobi_stepPfPKfS_
84,add,int,32,0,_Z11jacobi_stepPfPKfS_
85,zext,int,32,0,_Z11jacobi_stepPfPKfS_
86,getelementptr,int,64,2,_Z11jacobi_stepPfPKfS_
87,add,int,32,0,_Z11jacobi_stepPfPKfS_
88,zext,int,32,0,_Z11jacobi_stepPfPKfS_
89,getelementptr,int,64,2,_Z11jacobi_stepPfPKfS_
90,store,float,32,0,_Z11jacobi_stepPfPKfS_
91,icmp,int,32,0,_Z11jacobi_stepPfPKfS_
92,br,int,1,0,_Z11jacobi_stepPfPKfS_
93,icmp,int,32,0,_Z11jacobi_stepPfPKfS_
94,br,int,1,0,_Z11jacobi_stepPfPKfS_
95,icmp,int,32,0,_Z11jacobi_stepPfPKfS_
96,br,int,1,0,_Z11jacobi_stepPfPKfS_
97,icmp,int,32,0,_Z11jacobi_stepPfPKfS_
98,br,int,1,0,_Z11jacobi_stepPfPKfS_
99,add,int,32,0,_Z11jacobi_stepPfPKfS_
100,zext,int,32,0,_Z11jacobi_stepPfPKfS_
101,getelementptr,int,64,2,_Z11jacobi_stepPfPKfS_
102,add,int,32,0,_Z11jacobi_stepPfPKfS_
103,zext,int,32,0,_Z11jacobi_stepPfPKfS_
104,getelementptr,int,64,2,_Z11jacobi_stepPfPKfS_
105,add,int,32,0,_Z11jacobi_stepPfPKfS_
106,zext,int,32,0,_Z11jacobi_stepPfPKfS_
107,getelementptr,int,64,2,_Z11jacobi_stepPfPKfS_
108,add,int,32,0,_Z11jacobi_stepPfPKfS_
109,zext,int,32,0,_Z11jacobi_stepPfPKfS_
110,getelementptr,int,64,2,_Z11jacobi_stepPfPKfS_
111,fadd,float,32,0,_Z11jacobi_stepPfPKfS_
112,fadd,float,32,1,_Z11jacobi_stepPfPKfS_
113,add,int,32,0,_Z11jacobi_stepPfPKfS_
114,zext,int,32,0,_Z11jacobi_stepPfPKfS_
115,getelementptr,int,64,2,_Z11jacobi_stepPfPKfS_
116,add,int,32,0,_Z11jacobi_stepPfPKfS_
117,zext,int,32,0,_Z11jacobi_stepPfPKfS_
118,getelementptr,int,64,2,_Z11jacobi_stepPfPKfS_
119,fadd,float,32,0,_Z11jacobi_stepPfPKfS_
120,fadd,float,32,1,_Z11jacobi_stepPfPKfS_
121,add,int,32,0,_Z11jacobi_stepPfPKfS_
122,zext,int,32,0,_Z11jacobi_stepPfPKfS_
123,getelementptr,int,64,2,_Z11jacobi_stepPfPKfS_
124,add,int,32,0,_Z11jacobi_stepPfPKfS_
125,zext,int,32,0,_Z11jacobi_stepPfPKfS_
126,getelementptr,int,64,2,_Z11jacobi_stepPfPKfS_
127,fadd,float,32,0,_Z11jacobi_stepPfPKfS_
128,fadd,float,32,1,_Z11jacobi_stepPfPKfS_
129,fmul,float,32,1,_Z11jacobi_stepPfPKfS_
130,mul,int,32,0,_Z11jacobi_stepPfPKfS_
131,add,int,32,0,_Z11jacobi_stepPfPKfS_
132,add,int,32,1,_Z11jacobi_stepPfPKfS_
133,sext,int,32,0,_Z11jacobi_stepPfPKfS_
134,getelementptr,int,64,1,_Z11jacobi_stepPfPKfS_
135,store,float,32,0,_Z11jacobi_stepPfPKfS_
136,mul,int,32,0,_Z11jacobi_stepPfPKfS_
137,add,int,32,0,_Z11jacobi_stepPfPKfS_
138,add,int,32,1,_Z11jacobi_stepPfPKfS_
139,sext,int,32,0,_Z11jacobi_stepPfPKfS_
140,getelementptr,int,64,1,_Z11jacobi_stepPfPKfS_
141,add,int,32,0,_Z11jacobi_stepPfPKfS_
142,zext,int,32,0,_Z11jacobi_stepPfPKfS_
143,getelementptr,int,64,2,_Z11jacobi_stepPfPKfS_
144,add,int,32,0,_Z11jacobi_stepPfPKfS_
145,zext,int,32,0,_Z11jacobi_stepPfPKfS_
146,getelementptr,int,64,2,_Z11jacobi_stepPfPKfS_
147,fsub,float,32,0,_Z11jacobi_stepPfPKfS_
148,fsub,float,32,1,_Z11jacobi_stepPfPKfS_
149,store,float,32,0,_Z11jacobi_stepPfPKfS_
150,fmul,float,32,0,_Z11jacobi_stepPfPKfS_
151,fmul,float,32,1,_Z11jacobi_stepPfPKfS_
152,store,float,32,0,_Z11jacobi_stepPfPKfS_
153,icmp,int,32,0,_Z11jacobi_stepPfPKfS_
154,br,int,1,0,_Z11jacobi_stepPfPKfS_
155,call,float,32,1,_Z11jacobi_stepPfPKfS_
156,call,int,32,2,_Z11jacobi_stepPfPKfS_
157,fadd,float,32,0,_Z11jacobi_stepPfPKfS_
158,fadd,float,32,1,_Z11jacobi_stepPfPKfS_
159,store,float,32,0,_Z11jacobi_stepPfPKfS_
160,sdiv,int,32,0,_Z11jacobi_stepPfPKfS_
161,store,int,32,0,_Z11jacobi_stepPfPKfS_
162,icmp,int,32,0,_Z11jacobi_stepPfPKfS_
163,br,int,1,0,_Z11jacobi_stepPfPKfS_
164,zext,int,32,0,_Z11jacobi_stepPfPKfS_
165,getelementptr,int,64,2,_Z11jacobi_stepPfPKfS_
166,store,float,32,0,_Z11jacobi_stepPfPKfS_
167,icmp,int,32,0,_Z11jacobi_stepPfPKfS_
168,br,int,1,0,_Z11jacobi_stepPfPKfS_
169,zext,int,32,0,_Z11jacobi_stepPfPKfS_
170,getelementptr,int,64,2,_Z11jacobi_stepPfPKfS_
171,store,float,32,0,_Z11jacobi_stepPfPKfS_
172,icmp,int,32,0,_Z11jacobi_stepPfPKfS_
173,br,int,1,0,_Z11jacobi_stepPfPKfS_
174,call,float,32,1,_Z11jacobi_stepPfPKfS_
175,call,int,32,2,_Z11jacobi_stepPfPKfS_
176,fadd,float,32,0,_Z11jacobi_stepPfPKfS_
177,fadd,float,32,1,_Z11jacobi_stepPfPKfS_
178,store,float,32,0,_Z11jacobi_stepPfPKfS_
179,sdiv,int,32,0,_Z11jacobi_stepPfPKfS_
180,store,int,32,0,_Z11jacobi_stepPfPKfS_
181,icmp,int,32,0,_Z11jacobi_stepPfPKfS_
182,br,int,1,0,_Z11jacobi_stepPfPKfS_
183,call,float,32,1,_Z11jacobi_stepPfPKfS_
184,store,int,32,0,_Z16__shfl_down_syncjfji
185,store,float,32,0,_Z16__shfl_down_syncjfji
186,store,int,32,0,_Z16__shfl_down_syncjfji
187,store,int,32,0,_Z16__shfl_down_syncjfji
188,sub,int,32,1,_Z16__shfl_down_syncjfji
189,shl,int,32,0,_Z16__shfl_down_syncjfji
190,or,int,32,0,_Z16__shfl_down_syncjfji
191,call,int,32,0,_Z16__shfl_down_syncjfji
192,call,float,32,1,_Z16__shfl_down_syncjfji
193,call,int,32,2,_Z16__shfl_down_syncjfji
194,call,int,32,3,_Z16__shfl_down_syncjfji
195,ret,float,32,0,_Z16__shfl_down_syncjfji
196,store,float,32,0,_ZL9atomicAddPff
197,store,float,32,0,_ZL9atomicAddPff
198,atomicrmw,float,32,1,_ZL9atomicAddPff
199,ret,float,32,0,_ZL9atomicAddPff
