index,site_id,bit_index,bitwidth,type_kind,opcode
1,1,0,32,int,store
2,1,1,32,int,store
3,1,2,32,int,store
4,1,3,32,int,store
5,1,4,32,int,store
6,1,5,32,int,store
7,1,6,32,int,store
8,1,7,32,int,store
9,1,8,32,int,store
10,1,9,32,int,store
11,1,10,32,int,store
12,1,11,32,int,store
13,1,12,32,int,store
14,1,13,32,int,store
15,1,14,32,int,store
16,1,15,32,int,store
17,1,16,32,int,store
18,1,17,32,int,store
19,1,18,32,int,store
20,1,19,32,int,store
21,1,20,32,int,store
22,1,21,32,int,store
23,1,22,32,int,store
24,1,23,32,int,store
25,1,24,32,int,store
26,1,25,32,int,store
27,1,26,32,int,store
28,1,27,32,int,store
29,1,28,32,int,store
30,1,29,32,int,store
31,1,30,32,int,store
32,1,31,32,int,store
33,7,0,32,int,store
34,7,1,32,int,store
35,7,2,32,int,store
36,7,3,32,int,store
37,7,4,32,int,store
38,7,5,32,int,store
39,7,6,32,int,store
40,7,7,32,int,store
41,7,8,32,int,store
42,7,9,32,int,store
43,7,10,32,int,store
44,7,11,32,int,store
45,7,12,32,int,store
46,7,13,32,int,store
47,7,14,32,int,store
48,7,15,32,int,store
49,7,16,32,int,store
50,7,17,32,int,store
51,7,18,32,int,store
52,7,19,32,int,store
53,7,20,32,int,store
54,7,21,32,int,store
55,7,22,32,int,store
56,7,23,32,int,store
57,7,24,32,int,store
58,7,25,32,int,store
59,7,26,32,int,store
60,7,27,32,int,store
61,7,28,32,int,store
62,7,29,32,int,store
63,7,30,32,int,store
64,7,31,32,int,store
65,8,0,32,int,icmp
66,8,1,32,int,icmp
67,8,2,32,int,icmp
68,8,3,32,int,icmp
69,8,4,32,int,icmp
70,8,5,32,int,icmp
71,8,6,32,int,icmp
72,8,7,32,int,icmp
73,8,8,32,int,icmp
74,8,9,32,int,icmp
75,8,10,32,int,icmp
76,8,11,32,int,icmp
77,8,12,32,int,icmp
78,8,13,32,int,icmp
79,8,14,32,int,icmp
80,8,15,32,int,icmp
81,8,16,32,int,icmp
82,8,17,32,int,icmp
83,8,18,32,int,icmp
84,8,19,32,int,icmp
85,8,20,32,int,icmp
86,8,21,32,int,icmp
87,8,22,32,int,icmp
88,8,23,32,int,icmp
89,8,24,32,int,icmp
90,8,25,32,int,icmp
91,8,26,32,int,icmp
92,8,27,32,int,icmp
93,8,28,32,int,icmp
94,8,29,32,int,icmp
95,8,30,32,int,icmp
96,8,31,32,int,icmp
97,10,0,1,int,br
98,11,0,32,int,zext
99,11,1,32,int,zext
100,11,2,32,int,zext
101,11,3,32,int,zext
102,11,4,32,int,zext
103,11,5,32,int,zext
104,11,6,32,int,zext
105,11,7,32,int,zext
106,11,8,32,int,zext
107,11,9,32,int,zext
108,11,10,32,int,zext
109,11,11,32,int,zext
110,11,12,32,int,zext
111,11,13,32,int,zext
112,11,14,32,int,zext
113,11,15,32,int,zext
114,11,16,32,int,zext
115,11,17,32,int,zext
116,11,18,32,int,zext
117,11,19,32,int,zext
118,11,20,32,int,zext
119,11,21,32,int,zext
120,11,22,32,int,zext
121,11,23,32,int,zext
122,11,24,32,int,zext
123,11,25,32,int,zext
124,11,26,32,int,zext
125,11,27,32,int,zext
126,11,28,32,int,zext
127,11,29,32,int,zext
128,11,30,32,int,zext
129,11,31,32,int,zext
130,12,0,64,int,getelementptr
131,12,1,64,int,getelementptr
132,12,2,64,int,getelementptr
133,12,3,64,int,getelementptr
134,12,4,64,int,getelementptr
135,12,5,64,int,getelementptr
136,12,6,64,int,getelementptr
137,12,7,64,int,getelementptr
138,12,8,64,int,getelementptr
139,12,9,64,int,getelementptr
140,12,10,64,int,getelementptr
141,12,11,64,int,getelementptr
142,12,12,64,int,getelementptr
143,12,13,64,int,getelementptr
144,12,14,64,int,getelementptr
145,12,15,64,int,getelementptr
146,12,16,64,int,getelementptr
147,12,17,64,int,getelementptr
148,12,18,64,int,getelementptr
149,12,19,64,int,getelementptr
150,12,20,64,int,getelementptr
151,12,21,64,int,getelementptr
152,12,22,64,int,getelementptr
153,12,23,64,int,getelementptr
154,12,24,64,int,getelementptr
155,12,25,64,int,getelementptr
156,12,26,64,int,getelementptr
157,12,27,64,int,getelementptr
158,12,28,64,int,getelementptr
159,12,29,64,int,getelementptr
160,12,30,64,int,getelementptr
161,12,31,64,int,getelementptr
162,12,32,64,int,getelementptr
163,12,33,64,int,getelementptr
164,12,34,64,int,getelementptr
165,12,35,64,int,getelementptr
166,12,36,64,int,getelementptr
167,12,37,64,int,getelementptr
168,12,38,64,int,getelementptr
169,12,39,64,int,getelementptr
170,12,40,64,int,getelementptr
171,12,41,64,int,getelementptr
172,12,42,64,int,getelementptr
173,12,43,64,int,getelementptr
174,12,44,64,int,getelementptr
175,12,45,64,int,getelementptr
176,12,46,64,int,getelementptr
177,12,47,64,int,getelementptr
178,12,48,64,int,getelementptr
179,12,49,64,int,getelementptr
180,12,50,64,int,getelementptr
181,12,51,64,int,getelementptr
182,12,52,64,int,getelementptr
183,12,53,64,int,getelementptr
184,12,54,64,int,getelementptr
185,12,55,64,int,getelementptr
186,12,56,64,int,getelementptr
187,12,57,64,int,getelementptr
188,12,58,64,int,getelementptr
189,12,59,64,int,getelementptr
190,12,60,64,int,getelementptr
191,12,61,64,int,getelementptr
192,12,62,64,int,getelementptr
193,12,63,64,int,getelementptr
194,13,0,32,int,sext
195,13,1,32,int,sext
196,13,2,32,int,sext
197,13,3,32,int,sext
198,13,4,32,int,sext
199,13,5,32,int,sext
200,13,6,32,int,sext
201,13,7,32,int,sext
202,13,8,32,int,sext
203,13,9,32,int,sext
204,13,10,32,int,sext
205,13,11,32,int,sext
206,13,12,32,int,sext
207,13,13,32,int,sext
208,13,14,32,int,sext
209,13,15,32,int,sext
210,13,16,32,int,sext
211,13,17,32,int,sext
212,13,18,32,int,sext
213,13,19,32,int,sext
214,13,20,32,int,sext
215,13,21,32,int,sext
216,13,22,32,int,sext
217,13,23,32,int,sext
218,13,24,32,int,sext
219,13,25,32,int,sext
220,13,26,32,int,sext
221,13,27,32,int,sext
222,13,28,32,int,sext
223,13,29,32,int,sext
224,13,30,32,int,sext
225,13,31,32,int,sext
226,14,0,64,int,getelementptr
227,14,1,64,int,getelementptr
228,14,2,64,int,getelementptr
229,14,3,64,int,getelementptr
230,14,4,64,int,getelementptr
231,14,5,64,int,getelementptr
232,14,6,64,int,getelementptr
233,14,7,64,int,getelementptr
234,14,8,64,int,getelementptr
235,14,9,64,int,getelementptr
236,14,10,64,int,getelementptr
237,14,11,64,int,getelementptr
238,14,12,64,int,getelementptr
239,14,13,64,int,getelementptr
240,14,14,64,int,getelementptr
241,14,15,64,int,getelementptr
242,14,16,64,int,getelementptr
243,14,17,64,int,getelementptr
244,14,18,64,int,getelementptr
245,14,19,64,int,getelementptr
246,14,20,64,int,getelementptr
247,14,21,64,int,getelementptr
248,14,22,64,int,getelementptr
249,14,23,64,int,getelementptr
250,14,24,64,int,getelementptr
251,14,25,64,int,getelementptr
252,14,26,64,int,getelementptr
253,14,27,64,int,getelementptr
254,14,28,64,int,getelementptr
255,14,29,64,int,getelementptr
256,14,30,64,int,getelementptr
257,14,31,64,int,getelementptr
258,14,32,64,int,getelementptr
259,14,33,64,int,getelementptr
260,14,34,64,int,getelementptr
261,14,35,64,int,getelementptr
262,14,36,64,int,getelementptr
263,14,37,64,int,getelementptr
264,14,38,64,int,getelementptr
265,14,39,64,int,getelementptr
266,14,40,64,int,getelementptr
267,14,41,64,int,getelementptr
268,14,42,64,int,getelementptr
269,14,43,64,int,getelementptr
270,14,44,64,int,getelementptr
271,14,45,64,int,getelementptr
272,14,46,64,int,getelementptr
273,14,47,64,int,getelementptr
274,14,48,64,int,getelementptr
275,14,49,64,int,getelementptr
276,14,50,64,int,getelementptr
277,14,51,64,int,getelementptr
278,14,52,64,int,getelementptr
279,14,53,64,int,getelementptr
280,14,54,64,int,getelementptr
281,14,55,64,int,getelementptr
282,14,56,64,int,getelementptr
283,14,57,64,int,getelementptr
284,14,58,64,int,getelementptr
285,14,59,64,int,getelementptr
286,14,60,64,int,getelementptr
