site_id,bit_index,result,exit_code,stdout,stderr,dump
1,1,MASKED,0,/home/mdunlavy/GPU_FI/HeCBench/results/llvm17_inject/layout/float/site1_bit1.out,/home/mdunlavy/GPU_FI/HeCBench/results/llvm17_inject/layout/float/site1_bit1.err,
1,6,MASKED,0,/home/mdunlavy/GPU_FI/HeCBench/results/llvm17_inject/layout/float/site1_bit6.out,/home/mdunlavy/GPU_FI/HeCBench/results/llvm17_inject/layout/float/site1_bit6.err,
1,10,SDC,0,/home/mdunlavy/GPU_FI/HeCBench/results/llvm17_inject/layout/float/site1_bit10.out,/home/mdunlavy/GPU_FI/HeCBench/results/llvm17_inject/layout/float/site1_bit10.err,
1,12,SDC,0,/home/mdunlavy/GPU_FI/HeCBench/results/llvm17_inject/layout/float/site1_bit12.out,/home/mdunlavy/GPU_FI/HeCBench/results/llvm17_inject/layout/float/site1_bit12.err,
1,17,SDC,0,/home/mdunlavy/GPU_FI/HeCBench/results/llvm17_inject/layout/float/site1_bit17.out,/home/mdunlavy/GPU_FI/HeCBench/results/llvm17_inject/layout/float/site1_bit17.err,
1,21,SDC,0,/home/mdunlavy/GPU_FI/HeCBench/results/llvm17_inject/layout/float/site1_bit21.out,/home/mdunlavy/GPU_FI/HeCBench/results/llvm17_inject/layout/float/site1_bit21.err,
1,25,MASKED,0,/home/mdunlavy/GPU_FI/HeCBench/results/llvm17_inject/layout/float/site1_bit25.out,/home/mdunlavy/GPU_FI/HeCBench/results/llvm17_inject/layout/float/site1_bit25.err,
1,29,MASKED,0,/home/mdunlavy/GPU_FI/HeCBench/results/llvm17_inject/layout/float/site1_bit29.out,/home/mdunlavy/GPU_FI/HeCBench/results/llvm17_inject/layout/float/site1_bit29.err,
7,0,MASKED,0,/home/mdunlavy/GPU_FI/HeCBench/results/llvm17_inject/layout/float/site7_bit0.out,/home/mdunlavy/GPU_FI/HeCBench/results/llvm17_inject/layout/float/site7_bit0.err,
7,4,MASKED,0,/home/mdunlavy/GPU_FI/HeCBench/results/llvm17_inject/layout/float/site7_bit4.out,/home/mdunlavy/GPU_FI/HeCBench/results/llvm17_inject/layout/float/site7_bit4.err,
7,8,MASKED,0,/home/mdunlavy/GPU_FI/HeCBench/results/llvm17_inject/layout/float/site7_bit8.out,/home/mdunlavy/GPU_FI/HeCBench/results/llvm17_inject/layout/float/site7_bit8.err,
7,12,MASKED,0,/home/mdunlavy/GPU_FI/HeCBench/results/llvm17_inject/layout/float/site7_bit12.out,/home/mdunlavy/GPU_FI/HeCBench/results/llvm17_inject/layout/float/site7_bit12.err,
7,15,MASKED,0,/home/mdunlavy/GPU_FI/HeCBench/results/llvm17_inject/layout/float/site7_bit15.out,/home/mdunlavy/GPU_FI/HeCBench/results/llvm17_inject/layout/float/site7_bit15.err,
7,19,MASKED,0,/home/mdunlavy/GPU_FI/HeCBench/results/llvm17_inject/layout/float/site7_bit19.out,/home/mdunlavy/GPU_FI/HeCBench/results/llvm17_inject/layout/float/site7_bit19.err,
7,23,MASKED,0,/home/mdunlavy/GPU_FI/HeCBench/results/llvm17_inject/layout/float/site7_bit23.out,/home/mdunlavy/GPU_FI/HeCBench/results/llvm17_inject/layout/float/site7_bit23.err,
