site_id,opcode,type_kind,bitwidth,operand_index
1,mul,int,32,0
2,mul,int,32,1
3,add,int,32,0
4,add,int,32,1
5,store,int,32,0
6,icmp,int,32,0
7,br,int,1,0
8,zext,int,32,0
9,getelementptr,int,64,1
10,sext,int,32,0
11,getelementptr,int,64,2
12,add,int,32,0
13,add,int,32,1
14,store,int,32,0
15,add,int,32,0
16,store,int,32,0
17,zext,int,32,0
18,getelementptr,int,64,1
19,store,int,32,0
20,mul,int,32,0
21,mul,int,32,1
22,add,int,32,0
23,add,int,32,1
24,store,int,32,0
25,icmp,int,32,0
26,br,int,1,0
27,sext,int,32,0
28,getelementptr,int,64,1
29,zext,int,32,0
30,getelementptr,int,64,2
31,add,int,32,0
32,add,int,32,1
33,store,int,32,0
34,add,int,32,0
35,store,int,32,0
36,zext,int,32,0
37,getelementptr,int,64,1
38,store,int,32,0
