site_id,site_class,opcode,type_kind,bitwidth,operand_index,function,source_file,source_line,source_column,signature_ordinal,semantic_key
3,operand,add,int,32,0,_Z9AoSKernelILi4096EEvPK9AppleTreePi,/home/mdunlavy/GPU_FI/HeCBench/src/layout-cuda/main.cu,44,38,1,_Z9AoSKernelILi4096EEvPK9AppleTreePi|operand|add|int|32|0|/home/mdunlavy/GPU_FI/HeCBench/src/layout-cuda/main.cu|44|38|1
4,operand,add,int,32,1,_Z9AoSKernelILi4096EEvPK9AppleTreePi,/home/mdunlavy/GPU_FI/HeCBench/src/layout-cuda/main.cu,44,38,1,_Z9AoSKernelILi4096EEvPK9AppleTreePi|operand|add|int|32|1|/home/mdunlavy/GPU_FI/HeCBench/src/layout-cuda/main.cu|44|38|1
5,operand,store,int,32,0,_Z9AoSKernelILi4096EEvPK9AppleTreePi,/home/mdunlavy/GPU_FI/HeCBench/src/layout-cuda/main.cu,44,8,1,_Z9AoSKernelILi4096EEvPK9AppleTreePi|operand|store|int|32|0|/home/mdunlavy/GPU_FI/HeCBench/src/layout-cuda/main.cu|44|8|1
6,operand,icmp,int,32,0,_Z9AoSKernelILi4096EEvPK9AppleTreePi,/home/mdunlavy/GPU_FI/HeCBench/src/layout-cuda/main.cu,46,20,1,_Z9AoSKernelILi4096EEvPK9AppleTreePi|operand|icmp|int|32|0|/home/mdunlavy/GPU_FI/HeCBench/src/layout-cuda/main.cu|46|20|1
7,operand,br,int,1,0,_Z9AoSKernelILi4096EEvPK9AppleTreePi,/home/mdunlavy/GPU_FI/HeCBench/src/layout-cuda/main.cu,46,3,1,_Z9AoSKernelILi4096EEvPK9AppleTreePi|operand|br|int|1|0|/home/mdunlavy/GPU_FI/HeCBench/src/layout-cuda/main.cu|46|3|1
8,operand,zext,int,32,0,_Z9AoSKernelILi4096EEvPK9AppleTreePi,/home/mdunlavy/GPU_FI/HeCBench/src/layout-cuda/main.cu,48,12,1,_Z9AoSKernelILi4096EEvPK9AppleTreePi|operand|zext|int|32|0|/home/mdunlavy/GPU_FI/HeCBench/src/layout-cuda/main.cu|48|12|1
9,operand,getelementptr,int,64,1,_Z9AoSKernelILi4096EEvPK9AppleTreePi,/home/mdunlavy/GPU_FI/HeCBench/src/layout-cuda/main.cu,48,12,1,_Z9AoSKernelILi4096EEvPK9AppleTreePi|operand|getelementptr|int|64|1|/home/mdunlavy/GPU_FI/HeCBench/src/layout-cuda/main.cu|48|12|1
10,operand,sext,int,32,0,_Z9AoSKernelILi4096EEvPK9AppleTreePi,/home/mdunlavy/GPU_FI/HeCBench/src/layout-cuda/main.cu,48,12,1,_Z9AoSKernelILi4096EEvPK9AppleTreePi|operand|sext|int|32|0|/home/mdunlavy/GPU_FI/HeCBench/src/layout-cuda/main.cu|48|12|1
11,operand,getelementptr,int,64,2,_Z9AoSKernelILi4096EEvPK9AppleTreePi,/home/mdunlavy/GPU_FI/HeCBench/src/layout-cuda/main.cu,48,12,1,_Z9AoSKernelILi4096EEvPK9AppleTreePi|operand|getelementptr|int|64|2|/home/mdunlavy/GPU_FI/HeCBench/src/layout-cuda/main.cu|48|12|1
12,operand,add,int,32,0,_Z9AoSKernelILi4096EEvPK9AppleTreePi,/home/mdunlavy/GPU_FI/HeCBench/src/layout-cuda/main.cu,48,9,2,_Z9AoSKernelILi4096EEvPK9AppleTreePi|operand|add|int|32|0|/home/mdunlavy/GPU_FI/HeCBench/src/layout-cuda/main.cu|48|9|2
