site_id,site_class,opcode,type_kind,bitwidth,operand_index,function,source_file,source_line,source_column,signature_ordinal,semantic_key
1,pointer,store,ptr,64,0,_Z9AoSKernelILi4096EEvPK9AppleTreePi,/home/mdunlavy/GPU_FI/HeCBench/src/layout-cuda/main.cu,0,0,1,_Z9AoSKernelILi4096EEvPK9AppleTreePi|pointer|store|ptr|64|0|/home/mdunlavy/GPU_FI/HeCBench/src/layout-cuda/main.cu|0|0|1
2,pointer,store,ptr,64,1,_Z9AoSKernelILi4096EEvPK9AppleTreePi,/home/mdunlavy/GPU_FI/HeCBench/src/layout-cuda/main.cu,0,0,1,_Z9AoSKernelILi4096EEvPK9AppleTreePi|pointer|store|ptr|64|1|/home/mdunlavy/GPU_FI/HeCBench/src/layout-cuda/main.cu|0|0|1
3,pointer,store,ptr,64,0,_Z9AoSKernelILi4096EEvPK9AppleTreePi,/home/mdunlavy/GPU_FI/HeCBench/src/layout-cuda/main.cu,0,0,2,_Z9AoSKernelILi4096EEvPK9AppleTreePi|pointer|store|ptr|64|0|/home/mdunlavy/GPU_FI/HeCBench/src/layout-cuda/main.cu|0|0|2
4,pointer,store,ptr,64,1,_Z9AoSKernelILi4096EEvPK9AppleTreePi,/home/mdunlavy/GPU_FI/HeCBench/src/layout-cuda/main.cu,0,0,2,_Z9AoSKernelILi4096EEvPK9AppleTreePi|pointer|store|ptr|64|1|/home/mdunlavy/GPU_FI/HeCBench/src/layout-cuda/main.cu|0|0|2
5,pointer,store,ptr,64,1,_Z9AoSKernelILi4096EEvPK9AppleTreePi,/home/mdunlavy/GPU_FI/HeCBench/src/layout-cuda/main.cu,44,8,3,_Z9AoSKernelILi4096EEvPK9AppleTreePi|pointer|store|ptr|64|1|/home/mdunlavy/GPU_FI/HeCBench/src/layout-cuda/main.cu|44|8|3
6,pointer,store,ptr,64,1,_Z9AoSKernelILi4096EEvPK9AppleTreePi,/home/mdunlavy/GPU_FI/HeCBench/src/layout-cuda/main.cu,45,8,4,_Z9AoSKernelILi4096EEvPK9AppleTreePi|pointer|store|ptr|64|1|/home/mdunlavy/GPU_FI/HeCBench/src/layout-cuda/main.cu|45|8|4
7,pointer,store,ptr,64,1,_Z9AoSKernelILi4096EEvPK9AppleTreePi,/home/mdunlavy/GPU_FI/HeCBench/src/layout-cuda/main.cu,46,11,5,_Z9AoSKernelILi4096EEvPK9AppleTreePi|pointer|store|ptr|64|1|/home/mdunlavy/GPU_FI/HeCBench/src/layout-cuda/main.cu|46|11|5
8,pointer,load,ptr,64,0,_Z9AoSKernelILi4096EEvPK9AppleTreePi,/home/mdunlavy/GPU_FI/HeCBench/src/layout-cuda/main.cu,46,18,1,_Z9AoSKernelILi4096EEvPK9AppleTreePi|pointer|load|ptr|64|0|/home/mdunlavy/GPU_FI/HeCBench/src/layout-cuda/main.cu|46|18|1
9,pointer,load,ptr,64,0,_Z9AoSKernelILi4096EEvPK9AppleTreePi,/home/mdunlavy/GPU_FI/HeCBench/src/layout-cuda/main.cu,48,12,2,_Z9AoSKernelILi4096EEvPK9AppleTreePi|pointer|load|ptr|64|0|/home/mdunlavy/GPU_FI/HeCBench/src/layout-cuda/main.cu|48|12|2
10,pointer,load,ptr,64,0,_Z9AoSKernelILi4096EEvPK9AppleTreePi,/home/mdunlavy/GPU_FI/HeCBench/src/layout-cuda/main.cu,48,18,3,_Z9AoSKernelILi4096EEvPK9AppleTreePi|pointer|load|ptr|64|0|/home/mdunlavy/GPU_FI/HeCBench/src/layout-cuda/main.cu|48|18|3
