index,site_id,bit_index,bitwidth,type_kind,opcode
1,1,0,32,int,call
2,1,1,32,int,call
3,1,2,32,int,call
4,1,3,32,int,call
5,1,4,32,int,call
6,1,5,32,int,call
7,1,6,32,int,call
8,1,7,32,int,call
9,1,8,32,int,call
10,1,9,32,int,call
11,1,10,32,int,call
12,1,11,32,int,call
13,1,12,32,int,call
14,1,13,32,int,call
15,1,14,32,int,call
16,1,15,32,int,call
17,1,16,32,int,call
18,1,17,32,int,call
19,1,18,32,int,call
20,1,19,32,int,call
21,1,20,32,int,call
22,1,21,32,int,call
23,1,22,32,int,call
24,1,23,32,int,call
25,1,24,32,int,call
26,1,25,32,int,call
27,1,26,32,int,call
28,1,27,32,int,call
29,1,28,32,int,call
30,1,29,32,int,call
31,1,30,32,int,call
32,1,31,32,int,call
97,4,0,32,int,call
193,7,0,1,int,icmp
194,8,0,32,int,load
195,8,1,32,int,load
196,8,2,32,int,load
197,8,3,32,int,load
198,8,4,32,int,load
199,8,5,32,int,load
200,8,6,32,int,load
201,8,7,32,int,load
202,8,8,32,int,load
203,8,9,32,int,load
204,8,10,32,int,load
205,8,11,32,int,load
206,8,12,32,int,load
207,8,13,32,int,load
208,8,14,32,int,load
209,8,15,32,int,load
210,8,16,32,int,load
211,8,17,32,int,load
212,8,18,32,int,load
213,8,19,32,int,load
214,8,20,32,int,load
215,8,21,32,int,load
216,8,22,32,int,load
217,8,23,32,int,load
218,8,24,32,int,load
219,8,25,32,int,load
220,8,26,32,int,load
221,8,27,32,int,load
222,8,28,32,int,load
223,8,29,32,int,load
224,8,30,32,int,load
225,8,31,32,int,load
226,9,0,64,int,zext
290,10,0,32,int,load
291,10,1,32,int,load
292,10,2,32,int,load
293,10,3,32,int,load
294,10,4,32,int,load
295,10,5,32,int,load
296,10,6,32,int,load
297,10,7,32,int,load
298,10,8,32,int,load
299,10,9,32,int,load
300,10,10,32,int,load
301,10,11,32,int,load
302,10,12,32,int,load
303,10,13,32,int,load
304,10,14,32,int,load
305,10,15,32,int,load
306,10,16,32,int,load
307,10,17,32,int,load
308,10,18,32,int,load
309,10,19,32,int,load
310,10,20,32,int,load
311,10,21,32,int,load
312,10,22,32,int,load
313,10,23,32,int,load
314,10,24,32,int,load
315,10,25,32,int,load
316,10,26,32,int,load
317,10,27,32,int,load
318,10,28,32,int,load
319,10,29,32,int,load
320,10,30,32,int,load
321,10,31,32,int,load
322,11,0,64,int,sext
323,11,1,64,int,sext
324,11,2,64,int,sext
325,11,3,64,int,sext
326,11,4,64,int,sext
327,11,5,64,int,sext
328,11,6,64,int,sext
329,11,7,64,int,sext
330,11,8,64,int,sext
331,11,9,64,int,sext
332,11,10,64,int,sext
333,11,11,64,int,sext
334,11,12,64,int,sext
335,11,13,64,int,sext
336,11,14,64,int,sext
337,11,15,64,int,sext
338,11,16,64,int,sext
339,11,17,64,int,sext
340,11,18,64,int,sext
341,11,19,64,int,sext
342,11,20,64,int,sext
343,11,21,64,int,sext
344,11,22,64,int,sext
345,11,23,64,int,sext
346,11,24,64,int,sext
347,11,25,64,int,sext
348,11,26,64,int,sext
349,11,27,64,int,sext
350,11,28,64,int,sext
351,11,29,64,int,sext
352,11,30,64,int,sext
353,11,31,64,int,sext
354,11,32,64,int,sext
355,11,33,64,int,sext
356,11,34,64,int,sext
357,11,35,64,int,sext
358,11,36,64,int,sext
359,11,37,64,int,sext
360,11,38,64,int,sext
361,11,39,64,int,sext
362,11,40,64,int,sext
363,11,41,64,int,sext
364,11,42,64,int,sext
365,11,43,64,int,sext
366,11,44,64,int,sext
367,11,45,64,int,sext
368,11,46,64,int,sext
369,11,47,64,int,sext
370,11,48,64,int,sext
371,11,49,64,int,sext
372,11,50,64,int,sext
373,11,51,64,int,sext
374,11,52,64,int,sext
375,11,53,64,int,sext
376,11,54,64,int,sext
377,11,55,64,int,sext
378,11,56,64,int,sext
379,11,57,64,int,sext
380,11,58,64,int,sext
381,11,59,64,int,sext
382,11,60,64,int,sext
383,11,61,64,int,sext
384,11,62,64,int,sext
385,11,63,64,int,sext
386,12,0,32,int,load
387,12,1,32,int,load
388,12,2,32,int,load
389,12,3,32,int,load
390,12,4,32,int,load
391,12,5,32,int,load
392,12,6,32,int,load
393,12,7,32,int,load
394,12,8,32,int,load
395,12,9,32,int,load
396,12,10,32,int,load
397,12,11,32,int,load
