site_id,bit_index,result,exit_code,stdout,stderr,dump,metric_abs_max,metric_mean_abs,metric_rmse,metric_max_rel,metric_mean_rel,metric_p95_abs,metric_p99_abs,metric_num_bad,metric_frac_bad,metric_max_ulp,metric_mean_ulp,metric_ham_bits,metric_ham_bytes,metric_size_bytes
1,0,MASKED,,HeCBench/results/llvm17_inject/matrix-rotate/float/site1_bit0.out,,,,,,,,,,,,,,,,
1,1,MASKED,0,HeCBench/results/llvm17_inject/matrix-rotate/float/site1_bit1.out,HeCBench/results/llvm17_inject/matrix-rotate/float/site1_bit1.err,,,,,,,,,,,,,,,
1,2,MASKED,0,HeCBench/results/llvm17_inject/matrix-rotate/float/site1_bit2.out,HeCBench/results/llvm17_inject/matrix-rotate/float/site1_bit2.err,,,,,,,,,,,,,,,
1,3,MASKED,0,HeCBench/results/llvm17_inject/matrix-rotate/float/site1_bit3.out,HeCBench/results/llvm17_inject/matrix-rotate/float/site1_bit3.err,,,,,,,,,,,,,,,
1,4,SDC,0,HeCBench/results/llvm17_inject/matrix-rotate/float/site1_bit4.out,HeCBench/results/llvm17_inject/matrix-rotate/float/site1_bit4.err,,,,,,,,,,,,,996263320,267703640,268435456
1,5,SDC,0,HeCBench/results/llvm17_inject/matrix-rotate/float/site1_bit5.out,HeCBench/results/llvm17_inject/matrix-rotate/float/site1_bit5.err,,,,,,,,,,,,,996263320,267703640,268435456
1,6,SDC,0,HeCBench/results/llvm17_inject/matrix-rotate/float/site1_bit6.out,HeCBench/results/llvm17_inject/matrix-rotate/float/site1_bit6.err,,,,,,,,,,,,,996263320,267703640,268435456
1,7,SDC,0,HeCBench/results/llvm17_inject/matrix-rotate/float/site1_bit7.out,HeCBench/results/llvm17_inject/matrix-rotate/float/site1_bit7.err,,,,,,,,,,,,,996263320,267703640,268435456
1,8,SDC,,HeCBench/results/llvm17_inject/matrix-rotate/float/site1_bit8.out,HeCBench/results/llvm17_inject/matrix-rotate/float/site1_bit8.err,,,,,,,,,,,,,,,
1,9,SDC,,HeCBench/results/llvm17_inject/matrix-rotate/float/site1_bit9.out,HeCBench/results/llvm17_inject/matrix-rotate/float/site1_bit9.err,,,,,,,,,,,,,,,
