site_id,bit_index,result
1,0,MASKED
1,1,MASKED
1,2,MASKED
1,3,MASKED
1,4,SDC
1,5,SDC
1,6,SDC
1,7,SDC
1,8,SDC
1,9,SDC
1,10,SDC
1,11,SDC
1,12,SDC
1,13,SDC
1,14,SDC
1,15,SDC
1,16,SDC
1,17,SDC
1,18,SDC
1,19,SDC
1,20,SDC
1,21,SDC
1,22,SDC
1,23,SDC
1,24,MASKED
1,25,MASKED
1,26,MASKED
1,27,MASKED
1,28,MASKED
1,29,MASKED
1,30,MASKED
1,31,MASKED
2,0,SDC
2,1,SDC
2,2,SDC
2,3,SDC
2,4,SDC
2,5,SDC
2,6,SDC
2,7,SDC
2,8,SDC
2,9,SDC
2,10,SDC
2,11,SDC
2,12,SDC
2,13,SDC
2,14,SDC
2,15,SDC
2,16,SDC
2,17,SDC
2,18,SDC
2,19,SDC
2,20,SDC
2,21,SDC
2,22,SDC
2,23,SDC
2,24,SDC
2,25,SDC
2,26,SDC
2,27,SDC
2,28,SDC
2,29,SDC
2,30,SDC
2,31,SDC
5,0,MASKED
8,0,MASKED
8,1,MASKED
8,2,MASKED
8,3,MASKED
8,4,MASKED
8,5,MASKED
8,6,MASKED
8,7,MASKED
8,8,MASKED
8,9,MASKED
8,10,MASKED
8,11,MASKED
8,12,SDC
8,13,MASKED
8,14,MASKED
8,15,MASKED
8,16,MASKED
8,17,MASKED
8,18,MASKED
8,19,MASKED
8,20,MASKED
8,21,MASKED
8,22,MASKED
8,23,MASKED
8,24,MASKED
8,25,MASKED
8,26,MASKED
8,27,MASKED
8,28,MASKED
8,29,MASKED
8,30,MASKED
8,31,SDC
9,0,SDC
9,1,SDC
9,2,SDC
9,3,SDC
9,4,SDC
9,5,SDC
9,6,SDC
9,7,SDC
9,8,SDC
9,9,SDC
9,10,SDC
9,11,SDC
9,12,SDC
9,13,SDC
9,14,SDC
9,15,SDC
9,16,SDC
9,17,SDC
9,18,SDC
9,19,SDC
9,20,SDC
9,21,SDC
9,22,SDC
9,23,SDC
9,24,SDC
9,25,SDC
9,26,SDC
9,27,SDC
9,28,SDC
9,29,SDC
9,30,SDC
9,31,SDC
10,0,SDC
10,1,SDC
10,2,SDC
10,3,SDC
10,4,SDC
10,5,SDC
10,6,SDC
10,7,SDC
10,8,SDC
10,9,SDC
10,10,SDC
10,11,SDC
10,12,SDC
10,13,SDC
10,14,SDC
10,15,SDC
10,16,SDC
10,17,SDC
10,18,SDC
10,19,SDC
10,20,SDC
10,21,SDC
10,22,SDC
10,23,SDC
10,24,SDC
10,25,SDC
10,26,SDC
10,27,SDC
10,28,SDC
10,29,SDC
10,30,SDC
10,31,SDC
