site_id,site_class,opcode,type_kind,bitwidth,operand_index,function,source_file,source_line,source_column,signature_ordinal,semantic_key
1,operand,store,int,32,0,_Z10pathfinderPKiS0_PiS1_iiiii,/home/mdunlavy/GPU_FI/HeCBench/src/pathfinder-cuda/main.cu,0,0,1,_Z10pathfinderPKiS0_PiS1_iiiii|operand|store|int|32|0|/home/mdunlavy/GPU_FI/HeCBench/src/pathfinder-cuda/main.cu|0|0|1
2,operand,store,int,32,0,_Z10pathfinderPKiS0_PiS1_iiiii,/home/mdunlavy/GPU_FI/HeCBench/src/pathfinder-cuda/main.cu,0,0,2,_Z10pathfinderPKiS0_PiS1_iiiii|operand|store|int|32|0|/home/mdunlavy/GPU_FI/HeCBench/src/pathfinder-cuda/main.cu|0|0|2
3,operand,store,int,32,0,_Z10pathfinderPKiS0_PiS1_iiiii,/home/mdunlavy/GPU_FI/HeCBench/src/pathfinder-cuda/main.cu,0,0,3,_Z10pathfinderPKiS0_PiS1_iiiii|operand|store|int|32|0|/home/mdunlavy/GPU_FI/HeCBench/src/pathfinder-cuda/main.cu|0|0|3
4,operand,store,int,32,0,_Z10pathfinderPKiS0_PiS1_iiiii,/home/mdunlavy/GPU_FI/HeCBench/src/pathfinder-cuda/main.cu,0,0,4,_Z10pathfinderPKiS0_PiS1_iiiii|operand|store|int|32|0|/home/mdunlavy/GPU_FI/HeCBench/src/pathfinder-cuda/main.cu|0|0|4
5,operand,store,int,32,0,_Z10pathfinderPKiS0_PiS1_iiiii,/home/mdunlavy/GPU_FI/HeCBench/src/pathfinder-cuda/main.cu,0,0,5,_Z10pathfinderPKiS0_PiS1_iiiii|operand|store|int|32|0|/home/mdunlavy/GPU_FI/HeCBench/src/pathfinder-cuda/main.cu|0|0|5
6,operand,store,int,32,0,_Z10pathfinderPKiS0_PiS1_iiiii,/home/mdunlavy/GPU_FI/HeCBench/src/pathfinder-cuda/main.cu,54,7,6,_Z10pathfinderPKiS0_PiS1_iiiii|operand|store|int|32|0|/home/mdunlavy/GPU_FI/HeCBench/src/pathfinder-cuda/main.cu|54|7|6
7,operand,store,int,32,0,_Z10pathfinderPKiS0_PiS1_iiiii,/home/mdunlavy/GPU_FI/HeCBench/src/pathfinder-cuda/main.cu,55,7,7,_Z10pathfinderPKiS0_PiS1_iiiii|operand|store|int|32|0|/home/mdunlavy/GPU_FI/HeCBench/src/pathfinder-cuda/main.cu|55|7|7
8,operand,store,int,32,0,_Z10pathfinderPKiS0_PiS1_iiiii,/home/mdunlavy/GPU_FI/HeCBench/src/pathfinder-cuda/main.cu,56,7,8,_Z10pathfinderPKiS0_PiS1_iiiii|operand|store|int|32|0|/home/mdunlavy/GPU_FI/HeCBench/src/pathfinder-cuda/main.cu|56|7|8
9,operand,mul,int,32,0,_Z10pathfinderPKiS0_PiS1_iiiii,/home/mdunlavy/GPU_FI/HeCBench/src/pathfinder-cuda/main.cu,66,49,1,_Z10pathfinderPKiS0_PiS1_iiiii|operand|mul|int|32|0|/home/mdunlavy/GPU_FI/HeCBench/src/pathfinder-cuda/main.cu|66|49|1
10,operand,mul,int,32,1,_Z10pathfinderPKiS0_PiS1_iiiii,/home/mdunlavy/GPU_FI/HeCBench/src/pathfinder-cuda/main.cu,66,49,1,_Z10pathfinderPKiS0_PiS1_iiiii|operand|mul|int|32|1|/home/mdunlavy/GPU_FI/HeCBench/src/pathfinder-cuda/main.cu|66|49|1
11,operand,mul,int,32,0,_Z10pathfinderPKiS0_PiS1_iiiii,/home/mdunlavy/GPU_FI/HeCBench/src/pathfinder-cuda/main.cu,66,57,2,_Z10pathfinderPKiS0_PiS1_iiiii|operand|mul|int|32|0|/home/mdunlavy/GPU_FI/HeCBench/src/pathfinder-cuda/main.cu|66|57|2
12,operand,sub,int,32,0,_Z10pathfinderPKiS0_PiS1_iiiii,/home/mdunlavy/GPU_FI/HeCBench/src/pathfinder-cuda/main.cu,66,37,1,_Z10pathfinderPKiS0_PiS1_iiiii|operand|sub|int|32|0|/home/mdunlavy/GPU_FI/HeCBench/src/pathfinder-cuda/main.cu|66|37|1
13,operand,sub,int,32,1,_Z10pathfinderPKiS0_PiS1_iiiii,/home/mdunlavy/GPU_FI/HeCBench/src/pathfinder-cuda/main.cu,66,37,1,_Z10pathfinderPKiS0_PiS1_iiiii|operand|sub|int|32|1|/home/mdunlavy/GPU_FI/HeCBench/src/pathfinder-cuda/main.cu|66|37|1
14,operand,store,int,32,0,_Z10pathfinderPKiS0_PiS1_iiiii,/home/mdunlavy/GPU_FI/HeCBench/src/pathfinder-cuda/main.cu,66,7,9,_Z10pathfinderPKiS0_PiS1_iiiii|operand|store|int|32|0|/home/mdunlavy/GPU_FI/HeCBench/src/pathfinder-cuda/main.cu|66|7|9
15,operand,mul,int,32,0,_Z10pathfinderPKiS0_PiS1_iiiii,/home/mdunlavy/GPU_FI/HeCBench/src/pathfinder-cuda/main.cu,70,31,3,_Z10pathfinderPKiS0_PiS1_iiiii|operand|mul|int|32|0|/home/mdunlavy/GPU_FI/HeCBench/src/pathfinder-cuda/main.cu|70|31|3
16,operand,mul,int,32,1,_Z10pathfinderPKiS0_PiS1_iiiii,/home/mdunlavy/GPU_FI/HeCBench/src/pathfinder-cuda/main.cu,70,31,2,_Z10pathfinderPKiS0_PiS1_iiiii|operand|mul|int|32|1|/home/mdunlavy/GPU_FI/HeCBench/src/pathfinder-cuda/main.cu|70|31|2
17,operand,sub,int,32,0,_Z10pathfinderPKiS0_PiS1_iiiii,/home/mdunlavy/GPU_FI/HeCBench/src/pathfinder-cuda/main.cu,70,36,2,_Z10pathfinderPKiS0_PiS1_iiiii|operand|sub|int|32|0|/home/mdunlavy/GPU_FI/HeCBench/src/pathfinder-cuda/main.cu|70|36|2
18,operand,sub,int,32,1,_Z10pathfinderPKiS0_PiS1_iiiii,/home/mdunlavy/GPU_FI/HeCBench/src/pathfinder-cuda/main.cu,70,36,2,_Z10pathfinderPKiS0_PiS1_iiiii|operand|sub|int|32|1|/home/mdunlavy/GPU_FI/HeCBench/src/pathfinder-cuda/main.cu|70|36|2
19,operand,store,int,32,0,_Z10pathfinderPKiS0_PiS1_iiiii,/home/mdunlavy/GPU_FI/HeCBench/src/pathfinder-cuda/main.cu,70,7,10,_Z10pathfinderPKiS0_PiS1_iiiii|operand|store|int|32|0|/home/mdunlavy/GPU_FI/HeCBench/src/pathfinder-cuda/main.cu|70|7|10
20,operand,add,int,32,0,_Z10pathfinderPKiS0_PiS1_iiiii,/home/mdunlavy/GPU_FI/HeCBench/src/pathfinder-cuda/main.cu,71,21,1,_Z10pathfinderPKiS0_PiS1_iiiii|operand|add|int|32|0|/home/mdunlavy/GPU_FI/HeCBench/src/pathfinder-cuda/main.cu|71|21|1
21,operand,add,int,32,1,_Z10pathfinderPKiS0_PiS1_iiiii,/home/mdunlavy/GPU_FI/HeCBench/src/pathfinder-cuda/main.cu,71,21,1,_Z10pathfinderPKiS0_PiS1_iiiii|operand|add|int|32|1|/home/mdunlavy/GPU_FI/HeCBench/src/pathfinder-cuda/main.cu|71|21|1
22,operand,sub,int,32,0,_Z10pathfinderPKiS0_PiS1_iiiii,/home/mdunlavy/GPU_FI/HeCBench/src/pathfinder-cuda/main.cu,71,32,3,_Z10pathfinderPKiS0_PiS1_iiiii|operand|sub|int|32|0|/home/mdunlavy/GPU_FI/HeCBench/src/pathfinder-cuda/main.cu|71|32|3
23,operand,store,int,32,0,_Z10pathfinderPKiS0_PiS1_iiiii,/home/mdunlavy/GPU_FI/HeCBench/src/pathfinder-cuda/main.cu,71,7,11,_Z10pathfinderPKiS0_PiS1_iiiii|operand|store|int|32|0|/home/mdunlavy/GPU_FI/HeCBench/src/pathfinder-cuda/main.cu|71|7|11
24,operand,add,int,32,0,_Z10pathfinderPKiS0_PiS1_iiiii,/home/mdunlavy/GPU_FI/HeCBench/src/pathfinder-cuda/main.cu,74,18,2,_Z10pathfinderPKiS0_PiS1_iiiii|operand|add|int|32|0|/home/mdunlavy/GPU_FI/HeCBench/src/pathfinder-cuda/main.cu|74|18|2
25,operand,add,int,32,1,_Z10pathfinderPKiS0_PiS1_iiiii,/home/mdunlavy/GPU_FI/HeCBench/src/pathfinder-cuda/main.cu,74,18,2,_Z10pathfinderPKiS0_PiS1_iiiii|operand|add|int|32|1|/home/mdunlavy/GPU_FI/HeCBench/src/pathfinder-cuda/main.cu|74|18|2
26,operand,store,int,32,0,_Z10pathfinderPKiS0_PiS1_iiiii,/home/mdunlavy/GPU_FI/HeCBench/src/pathfinder-cuda/main.cu,74,7,12,_Z10pathfinderPKiS0_PiS1_iiiii|operand|store|int|32|0|/home/mdunlavy/GPU_FI/HeCBench/src/pathfinder-cuda/main.cu|74|7|12
27,operand,icmp,int,32,0,_Z10pathfinderPKiS0_PiS1_iiiii,/home/mdunlavy/GPU_FI/HeCBench/src/pathfinder-cuda/main.cu,79,25,1,_Z10pathfinderPKiS0_PiS1_iiiii|operand|icmp|int|32|0|/home/mdunlavy/GPU_FI/HeCBench/src/pathfinder-cuda/main.cu|79|25|1
28,operand,br,int,1,0,_Z10pathfinderPKiS0_PiS1_iiiii,/home/mdunlavy/GPU_FI/HeCBench/src/pathfinder-cuda/main.cu,79,19,1,_Z10pathfinderPKiS0_PiS1_iiiii|operand|br|int|1|0|/home/mdunlavy/GPU_FI/HeCBench/src/pathfinder-cuda/main.cu|79|19|1
29,operand,sub,int,32,1,_Z10pathfinderPKiS0_PiS1_iiiii,/home/mdunlavy/GPU_FI/HeCBench/src/pathfinder-cuda/main.cu,79,32,3,_Z10pathfinderPKiS0_PiS1_iiiii|operand|sub|int|32|1|/home/mdunlavy/GPU_FI/HeCBench/src/pathfinder-cuda/main.cu|79|32|3
30,operand,store,int,32,0,_Z10pathfinderPKiS0_PiS1_iiiii,/home/mdunlavy/GPU_FI/HeCBench/src/pathfinder-cuda/main.cu,79,7,13,_Z10pathfinderPKiS0_PiS1_iiiii|operand|store|int|32|0|/home/mdunlavy/GPU_FI/HeCBench/src/pathfinder-cuda/main.cu|79|7|13
