site_id,opcode,type_kind,bitwidth,operand_index
1,store,ptr,64,1
2,load,ptr,64,0
3,load,ptr,64,0
4,store,ptr,64,1
5,load,ptr,64,0
6,load,ptr,64,0
7,store,ptr,64,1
8,load,ptr,64,0
9,store,ptr,64,1
10,store,ptr,64,1
11,store,ptr,64,1
12,load,ptr,64,0
13,load,ptr,64,0
14,load,ptr,64,0
15,getelementptr,ptr,64,0
16,store,ptr,64,1
17,load,ptr,64,0
18,load,ptr,64,0
19,store,ptr,64,1
20,load,ptr,64,0
21,load,ptr,64,0
22,store,ptr,64,1
23,load,ptr,64,0
24,store,ptr,64,1
25,store,ptr,64,1
26,load,ptr,64,0
27,load,ptr,64,0
28,load,ptr,64,0
29,load,ptr,64,0
30,store,ptr,64,1
31,store,ptr,64,1
32,load,ptr,64,0
33,store,ptr,64,1
34,store,ptr,64,1
35,load,ptr,64,0
36,load,ptr,64,0
37,load,ptr,64,0
38,load,ptr,64,0
39,getelementptr,ptr,64,0
40,load,ptr,64,0
41,load,ptr,64,0
42,store,ptr,64,1
43,load,ptr,64,0
44,store,ptr,64,1
45,load,ptr,64,0
46,store,ptr,64,1
47,load,ptr,64,0
48,store,ptr,64,1
49,load,ptr,64,0
50,load,ptr,64,0
51,load,ptr,64,0
52,load,ptr,64,0
53,store,ptr,64,1
54,load,ptr,64,0
55,store,ptr,64,1
56,load,ptr,64,0
57,store,ptr,64,0
58,store,ptr,64,1
59,store,ptr,64,1
60,store,ptr,64,1
61,load,ptr,64,0
62,load,ptr,64,0
63,load,ptr,64,0
64,load,ptr,64,0
65,load,ptr,64,0
66,getelementptr,ptr,64,0
67,store,ptr,64,1
68,store,ptr,64,0
69,store,ptr,64,1
70,store,ptr,64,1
71,store,ptr,64,1
72,load,ptr,64,0
73,load,ptr,64,0
74,store,ptr,64,1
75,store,ptr,64,1
76,load,ptr,64,0
77,load,ptr,64,0
78,load,ptr,64,0
79,load,ptr,64,0
80,store,ptr,64,1
81,load,ptr,64,0
82,load,ptr,64,0
83,load,ptr,64,0
84,getelementptr,ptr,64,0
85,load,ptr,64,0
86,call,ptr,64,0
87,load,ptr,64,0
88,store,ptr,64,1
89,store,ptr,64,0
90,store,ptr,64,1
91,store,ptr,64,1
92,load,ptr,64,0
93,load,ptr,64,0
94,store,ptr,64,0
95,store,ptr,64,1
96,store,ptr,64,1
97,load,ptr,64,0
98,load,ptr,64,0
99,atomicrmw,ptr,64,0
