index,site_id,bit_index,bitwidth,type_kind,opcode
1,1,0,64,int,store
2,1,1,64,int,store
3,1,2,64,int,store
4,1,3,64,int,store
5,1,4,64,int,store
6,1,5,64,int,store
7,1,6,64,int,store
8,1,7,64,int,store
9,1,8,64,int,store
10,1,9,64,int,store
11,1,10,64,int,store
12,1,11,64,int,store
13,1,12,64,int,store
14,1,13,64,int,store
15,1,14,64,int,store
16,1,15,64,int,store
17,1,16,64,int,store
18,1,17,64,int,store
19,1,18,64,int,store
20,1,19,64,int,store
21,1,20,64,int,store
22,1,21,64,int,store
23,1,22,64,int,store
24,1,23,64,int,store
25,1,24,64,int,store
26,1,25,64,int,store
27,1,26,64,int,store
28,1,27,64,int,store
29,1,28,64,int,store
30,1,29,64,int,store
31,1,30,64,int,store
32,1,31,64,int,store
33,1,32,64,int,store
34,1,33,64,int,store
35,1,34,64,int,store
36,1,35,64,int,store
37,1,36,64,int,store
38,1,37,64,int,store
39,1,38,64,int,store
40,1,39,64,int,store
41,1,40,64,int,store
42,1,41,64,int,store
43,1,42,64,int,store
44,1,43,64,int,store
45,1,44,64,int,store
46,1,45,64,int,store
47,1,46,64,int,store
48,1,47,64,int,store
49,1,48,64,int,store
50,1,49,64,int,store
51,1,50,64,int,store
52,1,51,64,int,store
53,1,52,64,int,store
54,1,53,64,int,store
55,1,54,64,int,store
56,1,55,64,int,store
57,1,56,64,int,store
58,1,57,64,int,store
59,1,58,64,int,store
60,1,59,64,int,store
61,1,60,64,int,store
62,1,61,64,int,store
63,1,62,64,int,store
64,1,63,64,int,store
65,2,0,64,int,icmp
66,2,1,64,int,icmp
67,2,2,64,int,icmp
68,2,3,64,int,icmp
69,2,4,64,int,icmp
70,2,5,64,int,icmp
71,2,6,64,int,icmp
72,2,7,64,int,icmp
73,2,8,64,int,icmp
74,2,9,64,int,icmp
75,2,10,64,int,icmp
76,2,11,64,int,icmp
77,2,12,64,int,icmp
78,2,13,64,int,icmp
79,2,14,64,int,icmp
80,2,15,64,int,icmp
81,2,16,64,int,icmp
82,2,17,64,int,icmp
83,2,18,64,int,icmp
84,2,19,64,int,icmp
85,2,20,64,int,icmp
86,2,21,64,int,icmp
87,2,22,64,int,icmp
88,2,23,64,int,icmp
89,2,24,64,int,icmp
90,2,25,64,int,icmp
91,2,26,64,int,icmp
92,2,27,64,int,icmp
93,2,28,64,int,icmp
94,2,29,64,int,icmp
95,2,30,64,int,icmp
96,2,31,64,int,icmp
97,2,32,64,int,icmp
98,2,33,64,int,icmp
99,2,34,64,int,icmp
100,2,35,64,int,icmp
101,2,36,64,int,icmp
102,2,37,64,int,icmp
103,2,38,64,int,icmp
104,2,39,64,int,icmp
105,2,40,64,int,icmp
106,2,41,64,int,icmp
107,2,42,64,int,icmp
108,2,43,64,int,icmp
109,2,44,64,int,icmp
110,2,45,64,int,icmp
111,2,46,64,int,icmp
112,2,47,64,int,icmp
113,2,48,64,int,icmp
114,2,49,64,int,icmp
115,2,50,64,int,icmp
116,2,51,64,int,icmp
117,2,52,64,int,icmp
118,2,53,64,int,icmp
119,2,54,64,int,icmp
120,2,55,64,int,icmp
121,2,56,64,int,icmp
122,2,57,64,int,icmp
123,2,58,64,int,icmp
124,2,59,64,int,icmp
125,2,60,64,int,icmp
126,2,61,64,int,icmp
127,2,62,64,int,icmp
128,2,63,64,int,icmp
130,4,0,64,int,add
131,4,1,64,int,add
132,4,2,64,int,add
133,4,3,64,int,add
134,4,4,64,int,add
135,4,5,64,int,add
136,4,6,64,int,add
137,4,7,64,int,add
138,4,8,64,int,add
139,4,9,64,int,add
140,4,10,64,int,add
141,4,11,64,int,add
142,4,12,64,int,add
143,4,13,64,int,add
144,4,14,64,int,add
145,4,15,64,int,add
146,4,16,64,int,add
147,4,17,64,int,add
148,4,18,64,int,add
149,4,19,64,int,add
150,4,20,64,int,add
151,4,21,64,int,add
152,4,22,64,int,add
153,4,23,64,int,add
154,4,24,64,int,add
155,4,25,64,int,add
156,4,26,64,int,add
157,4,27,64,int,add
158,4,28,64,int,add
159,4,29,64,int,add
160,4,30,64,int,add
161,4,31,64,int,add
162,4,32,64,int,add
163,4,33,64,int,add
164,4,34,64,int,add
165,4,35,64,int,add
166,4,36,64,int,add
167,4,37,64,int,add
168,4,38,64,int,add
169,4,39,64,int,add
170,4,40,64,int,add
171,4,41,64,int,add
172,4,42,64,int,add
173,4,43,64,int,add
174,4,44,64,int,add
175,4,45,64,int,add
176,4,46,64,int,add
177,4,47,64,int,add
178,4,48,64,int,add
179,4,49,64,int,add
180,4,50,64,int,add
181,4,51,64,int,add
182,4,52,64,int,add
183,4,53,64,int,add
184,4,54,64,int,add
185,4,55,64,int,add
186,4,56,64,int,add
187,4,57,64,int,add
188,4,58,64,int,add
189,4,59,64,int,add
190,4,60,64,int,add
191,4,61,64,int,add
192,4,62,64,int,add
193,4,63,64,int,add
194,5,0,64,int,store
195,5,1,64,int,store
196,5,2,64,int,store
197,5,3,64,int,store
198,5,4,64,int,store
199,5,5,64,int,store
200,5,6,64,int,store
201,5,7,64,int,store
202,5,8,64,int,store
203,5,9,64,int,store
204,5,10,64,int,store
205,5,11,64,int,store
206,5,12,64,int,store
207,5,13,64,int,store
208,5,14,64,int,store
209,5,15,64,int,store
210,5,16,64,int,store
211,5,17,64,int,store
212,5,18,64,int,store
213,5,19,64,int,store
214,5,20,64,int,store
215,5,21,64,int,store
216,5,22,64,int,store
217,5,23,64,int,store
218,5,24,64,int,store
219,5,25,64,int,store
220,5,26,64,int,store
221,5,27,64,int,store
222,5,28,64,int,store
223,5,29,64,int,store
224,5,30,64,int,store
225,5,31,64,int,store
226,5,32,64,int,store
227,5,33,64,int,store
228,5,34,64,int,store
229,5,35,64,int,store
230,5,36,64,int,store
231,5,37,64,int,store
232,5,38,64,int,store
233,5,39,64,int,store
234,5,40,64,int,store
235,5,41,64,int,store
236,5,42,64,int,store
237,5,43,64,int,store
238,5,44,64,int,store
239,5,45,64,int,store
240,5,46,64,int,store
241,5,47,64,int,store
242,5,48,64,int,store
243,5,49,64,int,store
244,5,50,64,int,store
245,5,51,64,int,store
246,5,52,64,int,store
247,5,53,64,int,store
248,5,54,64,int,store
249,5,55,64,int,store
250,5,56,64,int,store
251,5,57,64,int,store
252,5,58,64,int,store
253,5,59,64,int,store
254,5,60,64,int,store
255,5,61,64,int,store
256,5,62,64,int,store
257,5,63,64,int,store
323,8,0,64,int,sub
324,8,1,64,int,sub
325,8,2,64,int,sub
326,8,3,64,int,sub
327,8,4,64,int,sub
328,8,5,64,int,sub
329,8,6,64,int,sub
330,8,7,64,int,sub
331,8,8,64,int,sub
332,8,9,64,int,sub
333,8,10,64,int,sub
334,8,11,64,int,sub
335,8,12,64,int,sub
336,8,13,64,int,sub
337,8,14,64,int,sub
338,8,15,64,int,sub
339,8,16,64,int,sub
340,8,17,64,int,sub
341,8,18,64,int,sub
342,8,19,64,int,sub
343,8,20,64,int,sub
344,8,21,64,int,sub
345,8,22,64,int,sub
346,8,23,64,int,sub
347,8,24,64,int,sub
348,8,25,64,int,sub
349,8,26,64,int,sub
350,8,27,64,int,sub
351,8,28,64,int,sub
352,8,29,64,int,sub
353,8,30,64,int,sub
354,8,31,64,int,sub
387,9,0,64,int,store
388,9,1,64,int,store
