benchmark,phase,sdc_count,abs_max_median,abs_max_p95,rmse_median,rmse_p95,max_rel_median,max_rel_p95,max_ulp_median,max_ulp_p95
colorwheel,float,5380,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
colorwheel,operand,5461,3.4028e+38,3.40282e+38,0.288789,6.03482e+36,3.4028e+50,3.4028199999999994e+50,4294967039.0,4294967295.0
colorwheel,pointer,8760,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
dense-embedding,float,3294,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
dense-embedding,operand,2655,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
dense-embedding,pointer,3211,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
entropy,float,1610,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
entropy,operand,784,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
entropy,pointer,2625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
jacobi,float,2919,0.985319,1.1588840000000002,0.156475,0.1974787999999997,1.16346,955168200000.0005,3667460096.0,4277962120.0
jacobi,operand,3866,0.985319,0.985759,0.156475,0.156475,1.0,702792000.0,3212590552.0,4205733751.0
jacobi,pointer,2490,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
layout,float,260,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
layout,operand,142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
layout,pointer,401,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
matrix-rotate,float,1596,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
matrix-rotate,operand,1657,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
matrix-rotate,pointer,790,67100700.0,67108900.0,30630900.0,38745300.0,6.63183e+19,6.71089e+19,1283454976.0,1283457024.0
pathfinder,float,3392,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pathfinder,operand,2910,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pathfinder,pointer,2572,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
randomAccess,float,2717,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
randomAccess,operand,2632,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
randomAccess,pointer,526,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
