priority_rank,evidence_level,bench,bit_index,nvidia_site_id,amd_site_id,intel_site_id,nvidia_result,amd_result,intel_result,match_tier,nvidia_opcode,amd_opcode,intel_opcode,nvidia_site_class,amd_site_class,intel_site_class,canonical_relpath,canonical_line
1,two_machine,matrix-rotate,0,9,124,11,MASKED,,SDC,source_text_type_family,icmp,icmp,icmp,result,result,base,main.src,if (layer < n/2) {
2,two_machine,matrix-rotate,1,9,124,11,MASKED,,SDC,source_text_type_family,icmp,icmp,icmp,result,result,base,main.src,if (layer < n/2) {
3,two_machine,matrix-rotate,0,8,122,10,MASKED,,SDC,source_text_type_family,sdiv,sdiv,sdiv,result,result,base,main.src,if (layer < n/2) {
4,two_machine,matrix-rotate,1,8,122,10,MASKED,,SDC,source_text_type_family,sdiv,sdiv,sdiv,result,result,base,main.src,if (layer < n/2) {
5,two_machine,matrix-rotate,1,84,298,86,SDC,,MASKED,source_context_type_family,add,add,add,result,result,base,main.src,for(int i = first; i < last; ++i) {
6,two_machine,matrix-rotate,2,84,298,86,SDC,,MASKED,source_context_type_family,add,add,add,result,result,base,main.src,for(int i = first; i < last; ++i) {
7,two_machine,matrix-rotate,13,16,140,17,SDC,,DUE,family_full,load,load,load,result,result,base,main.src,for(int i = first; i < last; ++i) {
8,two_machine,matrix-rotate,14,16,140,17,SDC,,DUE,family_full,load,load,load,result,result,base,main.src,for(int i = first; i < last; ++i) {
9,two_machine,matrix-rotate,13,17,142,18,DUE,,SDC,family_full,load,load,load,result,result,base,main.src,for(int i = first; i < last; ++i) {
10,two_machine,matrix-rotate,14,17,142,18,DUE,,SDC,family_full,load,load,load,result,result,base,main.src,for(int i = first; i < last; ++i) {
11,two_machine,matrix-rotate,2,21,151,23,DUE,,SDC,source_text_type_family,sub,sub,sub,result,result,base,main.src,int offset = i - first;
12,two_machine,matrix-rotate,3,21,151,23,DUE,,SDC,source_text_type_family,sub,sub,sub,result,result,base,main.src,int offset = i - first;
13,two_machine,jacobi,13,152,450,183,MASKED,,SDC,source_text_type_family,fmul,fmul,fmul,result,result,base,main.src,err = df * df;
14,two_machine,jacobi,17,152,450,183,MASKED,,SDC,source_text_type_family,fmul,fmul,fmul,result,result,base,main.src,err = df * df;
15,two_machine,jacobi,18,152,450,183,SDC,,MASKED,source_text_type_family,fmul,fmul,fmul,result,result,base,main.src,err = df * df;
16,two_machine,layout,12,31,174,58,SDC,,MASKED,family_full,load,load,load,result,result,base,main.src,res += applesOnTrees[i].trees[gid];
17,two_machine,layout,13,31,174,58,SDC,,MASKED,family_full,load,load,load,result,result,base,main.src,res += applesOnTrees[i].trees[gid];
18,two_machine,layout,0,30,172,61,SDC,,MASKED,family_full,zext,zext,zext,result,result,base,main.src,res += applesOnTrees[i].trees[gid];
19,two_machine,layout,1,30,172,61,SDC,,MASKED,family_full,zext,zext,zext,result,result,base,main.src,res += applesOnTrees[i].trees[gid];
20,two_machine,layout,27,12,130,10,MASKED,,SDC,family_full,load,load,load,result,result,base,main.src,res += trees[gid].apples[i];
21,two_machine,layout,28,12,130,10,MASKED,,SDC,family_full,load,load,load,result,result,base,main.src,res += trees[gid].apples[i];
22,two_machine,layout,27,11,128,13,SDC,,MASKED,family_full,sext,sext,sext,result,result,base,main.src,res += trees[gid].apples[i];
23,two_machine,layout,28,11,128,13,SDC,,MASKED,family_full,sext,sext,sext,result,result,base,main.src,res += trees[gid].apples[i];
24,two_machine,layout,15,9,124,11,SDC,,MASKED,family_full,zext,zext,zext,result,result,base,main.src,res += trees[gid].apples[i];
25,two_machine,layout,16,9,124,11,SDC,,MASKED,family_full,zext,zext,zext,result,result,base,main.src,res += trees[gid].apples[i];
26,two_machine,layout,11,33,178,64,SDC,,MASKED,source_context_type_family,add,add,add,result,result,base,main.src,res += applesOnTrees[i].trees[gid];
27,two_machine,layout,12,33,178,64,SDC,,MASKED,source_context_type_family,add,add,add,result,result,base,main.src,res += applesOnTrees[i].trees[gid];
28,two_machine,dense-embedding,0,47,114,18,MASKED,,SDC,source_text_type_family,add,add,add,result,result,base,main.src,int range = offset[batch_idx + 1] - offset[batch_idx];
29,two_machine,dense-embedding,1,47,114,18,MASKED,,SDC,source_text_type_family,add,add,add,result,result,base,main.src,int range = offset[batch_idx + 1] - offset[batch_idx];
30,two_machine,dense-embedding,0,128,376,192,SDC,,MASKED,source_context_type_family,add,add,add,result,result,base,main.src,T dense_elem = dense[batch_idx * embedding_dim + idx % embedding_dim];
31,two_machine,dense-embedding,1,128,376,192,SDC,,MASKED,source_context_type_family,add,add,add,result,result,base,main.src,T dense_elem = dense[batch_idx * embedding_dim + idx % embedding_dim];
32,two_machine,dense-embedding,0,129,379,193,SDC,,MASKED,source_context_type_family,sext,sext,sext,result,result,base,main.src,T dense_elem = dense[batch_idx * embedding_dim + idx % embedding_dim];
33,two_machine,dense-embedding,1,129,379,193,SDC,,MASKED,source_context_type_family,sext,sext,sext,result,result,base,main.src,T dense_elem = dense[batch_idx * embedding_dim + idx % embedding_dim];
34,two_machine,dense-embedding,0,120,355,183,SDC,,MASKED,source_context_type_family,add,add,add,result,result,base,main.src,T input_elem = input[start + idx];
35,two_machine,dense-embedding,1,120,355,183,SDC,,MASKED,source_context_type_family,add,add,add,result,result,base,main.src,T input_elem = input[start + idx];
36,two_machine,dense-embedding,0,122,360,185,SDC,,MASKED,source_context_type_family,load,load,load,result,result,base,main.src,T input_elem = input[start + idx];
37,two_machine,dense-embedding,1,122,360,185,SDC,,MASKED,source_context_type_family,load,load,load,result,result,base,main.src,T input_elem = input[start + idx];
38,two_machine,dense-embedding,0,121,358,184,SDC,,MASKED,source_context_type_family,sext,sext,sext,result,result,base,main.src,T input_elem = input[start + idx];
39,two_machine,dense-embedding,1,121,358,184,SDC,,MASKED,source_context_type_family,sext,sext,sext,result,result,base,main.src,T input_elem = input[start + idx];
40,two_machine,pathfinder,2,137,395,153,MASKED,,SDC,source_text_type_family,sub,sub,sub,result,result,base,main.src,if(i==iteration-1)
41,two_machine,pathfinder,3,137,395,153,MASKED,,SDC,source_text_type_family,sub,sub,sub,result,result,base,main.src,if(i==iteration-1)
42,two_machine,pathfinder,0,116,350,132,SDC,,MASKED,source_text_type_family,mul,mul,mul,result,result,base,main.src,int index = cols*(t+i)+xidx;
43,two_machine,pathfinder,1,116,350,132,SDC,,MASKED,source_text_type_family,mul,mul,mul,result,result,base,main.src,int index = cols*(t+i)+xidx;
44,two_machine,pathfinder,3,9,123,25,MASKED,,SDC,source_text_type_family,sub,sub,sub,result,result,base,main.src,int small_block_cols = BLOCK_SIZE - (iteration*theHalo*2);
45,two_machine,pathfinder,4,9,123,25,MASKED,,SDC,source_text_type_family,sub,sub,sub,result,result,base,main.src,int small_block_cols = BLOCK_SIZE - (iteration*theHalo*2);
46,two_machine,pathfinder,1,64,240,80,MASKED,,SDC,source_context_type_family,zext,zext,zext,result,result,base,main.src,"bool isValid = IN_RANGE(tx, validXmin, validXmax);"
47,two_machine,pathfinder,2,64,240,80,MASKED,,SDC,source_context_type_family,zext,zext,zext,result,result,base,main.src,"bool isValid = IN_RANGE(tx, validXmin, validXmax);"
48,two_machine,pathfinder,3,53,217,69,SDC,,MASKED,source_context_type_family,icmp,icmp,icmp,result,result,base,main.src,E = (E > validXmax) ? validXmax : E;
49,two_machine,pathfinder,4,53,217,69,SDC,,MASKED,source_context_type_family,icmp,icmp,icmp,result,result,base,main.src,E = (E > validXmax) ? validXmax : E;
50,two_machine,pathfinder,62,56,224,72,SDC,,MASKED,source_context_type_family,phi,phi,phi,result,result,base,main.src,E = (E > validXmax) ? validXmax : E;
51,two_machine,pathfinder,63,56,224,72,SDC,,MASKED,source_context_type_family,phi,phi,phi,result,result,base,main.src,E = (E > validXmax) ? validXmax : E;
52,two_machine,entropy,10,60,225,64,MASKED,,SDC,family_full,sext,sext,sext,result,result,base,main.src,if (total < 1) {
53,two_machine,entropy,11,60,225,64,MASKED,,SDC,family_full,sext,sext,sext,result,result,base,main.src,if (total < 1) {
54,two_machine,entropy,0,165,461,235,SDC,,MASKED,source_text_type_family,fsub,fsub,fsub,result,result,base,main.src,entropy -= d_logTable[sd_count[k][idx]];
55,two_machine,entropy,1,116,357,186,SDC,,MASKED,source_text_type_family,add,add,add,result,result,base,main.src,for(int i = 0; i < 16;i++) sd_count[i][idx] = 0;
56,two_machine,entropy,2,116,357,186,SDC,,MASKED,source_text_type_family,add,add,add,result,result,base,main.src,for(int i = 0; i < 16;i++) sd_count[i][idx] = 0;
57,two_machine,entropy,31,81,270,82,SDC,,MASKED,source_text_type_family,add,add,add,result,result,base,main.src,for(int k = 0; k < 16; k++) {
58,two_machine,entropy,1,63,231,67,MASKED,,SDC,source_text_type_family,icmp,icmp,icmp,result,result,base,main.src,for(int k = 0; k < 16; k++) {
59,two_machine,entropy,10,63,231,67,MASKED,,SDC,source_text_type_family,icmp,icmp,icmp,result,result,base,main.src,for(int k = 0; k < 16; k++) {
60,two_machine,entropy,10,22,143,26,SDC,,MASKED,source_context_type_family,add,add,add,result,result,base,main.src,for (int i = 0; i < 16; i++) count[i] = 0;
61,two_machine,entropy,11,22,143,26,SDC,,MASKED,source_context_type_family,add,add,add,result,result,base,main.src,for (int i = 0; i < 16; i++) count[i] = 0;
62,two_machine,entropy,10,18,135,22,MASKED,,SDC,source_context_type_family,icmp,icmp,icmp,result,result,base,main.src,for (int i = 0; i < 16; i++) count[i] = 0;
63,two_machine,entropy,11,18,135,22,MASKED,,SDC,source_context_type_family,icmp,icmp,icmp,result,result,base,main.src,for (int i = 0; i < 16; i++) count[i] = 0;
64,all_three,colorwheel,5,7,115,210,SDC,MASKED,DUE,family_full,load,load,load,result,result,base,main.src,cw[k][2] = b;
65,all_three,colorwheel,9,7,115,210,SDC,MASKED,DUE,family_full,load,load,load,result,result,base,main.src,cw[k][2] = b;
66,all_three,colorwheel,3,8,117,211,SDC,MASKED,DUE,family_full,load,load,load,result,result,base,main.src,cw[k][2] = b;
67,all_three,colorwheel,7,8,117,211,SDC,MASKED,DUE,family_full,load,load,load,result,result,base,main.src,cw[k][2] = b;
68,all_three,colorwheel,3,9,119,212,SDC,MASKED,DUE,family_full,sext,sext,sext,result,result,base,main.src,cw[k][2] = b;
69,all_three,colorwheel,7,9,119,212,SDC,MASKED,DUE,family_full,sext,sext,sext,result,result,base,main.src,cw[k][2] = b;
70,all_three,colorwheel,13,233,495,51,MASKED,DUE,SDC,family_full,load,load,load,result,result,base,main.src,size_t idx = (y * size + x) * 3;
71,all_three,colorwheel,14,233,495,51,MASKED,DUE,SDC,family_full,load,load,load,result,result,base,main.src,size_t idx = (y * size + x) * 3;
72,all_three,colorwheel,12,236,502,57,MASKED,DUE,SDC,family_full,sext,sext,sext,result,result,base,main.src,size_t idx = (y * size + x) * 3;
73,all_three,colorwheel,13,236,502,57,MASKED,DUE,SDC,family_full,sext,sext,sext,result,result,base,main.src,size_t idx = (y * size + x) * 3;
74,all_three,colorwheel,31,1,103,204,SDC,MASKED,DUE,family_full,load,load,load,result,result,base,main.src,cw[k][0] = r;
75,all_three,colorwheel,62,160,324,161,SDC,MASKED,DUE,family_full,sext,sext,sext,result,result,base,main.src,float col1 = cw[k1][b] / 255.f;
76,all_three,randomAccess,0,102,320,61,SDC,MASKED,DUE,source_context_type_family,icmp,icmp,icmp,result,result,base,main.src,for (u64Int i=0; i<NUPDATE/128; i++) {
77,all_three,randomAccess,31,102,320,61,DUE,MASKED,SDC,source_context_type_family,icmp,icmp,icmp,result,result,base,main.src,for (u64Int i=0; i<NUPDATE/128; i++) {
78,all_three,randomAccess,0,100,316,59,MASKED,MASKED,SDC,family_full,mul,mul,mul,result,result,base,main.src,for (u64Int i=0; i<NUPDATE/128; i++) {
79,all_three,randomAccess,0,117,354,76,DUE,SDC,SDC,family_full,add,add,add,result,result,base,main.src,for (u64Int i=0; i<NUPDATE/128; i++) {
80,two_machine,randomAccess,0,19,139,95,SDC,,MASKED,family_full,icmp,icmp,icmp,result,result,base,main.src,temp = (temp << 1) ^ ((s64Int) temp < 0 ? POLY : 0);
81,two_machine,randomAccess,0,16,133,92,SDC,,MASKED,family_full,load,load,load,result,result,base,main.src,temp = (temp << 1) ^ ((s64Int) temp < 0 ? POLY : 0);
82,two_machine,randomAccess,1,16,133,92,SDC,,MASKED,family_full,load,load,load,result,result,base,main.src,temp = (temp << 1) ^ ((s64Int) temp < 0 ? POLY : 0);
83,two_machine,randomAccess,7,18,137,94,MASKED,,SDC,family_full,load,load,load,result,result,base,main.src,temp = (temp << 1) ^ ((s64Int) temp < 0 ? POLY : 0);
84,two_machine,randomAccess,8,18,137,94,MASKED,,SDC,family_full,load,load,load,result,result,base,main.src,temp = (temp << 1) ^ ((s64Int) temp < 0 ? POLY : 0);
85,two_machine,randomAccess,0,22,145,98,SDC,,MASKED,family_full,xor,xor,xor,result,result,base,main.src,temp = (temp << 1) ^ ((s64Int) temp < 0 ? POLY : 0);
