screen_id,screen_kind,bench,original_site_id,bit_index,value_bitwidth,original_result,semantic_match_key,opcode,canonical_line,trials
SUP001,DUE,matrix-rotate,16,31,32,DUE,356221f091c4|load|int|32|value|-1|7,load,for(int i = first; i < last; ++i) {,2
SUP002,DUE,matrix-rotate,16,13,32,SDC,356221f091c4|load|int|32|value|-1|7,load,for(int i = first; i < last; ++i) {,2
SUP003,DUE,layout,14,0,32,MASKED,{|res += trees[gid].apples[i];|}|add|int|32|value,add,res += trees[gid].apples[i];,2
SUP004,DUE,dense-embedding,44,11,32,DUE,for (int idx = tid; idx < embedding_dim; idx += grain_size) {|T dense_elem = dense[batch_idx * embedding_dim + idx];|for (int nested_idx = idx; nested_idx < range; nested_idx += embedding_dim) {|add|int|32|value,add,T dense_elem = dense[batch_idx * embedding_dim + idx];,2
SUP005,DUE,dense-embedding,47,7,32,DUE,int range = offset[batch_idx + 1] - offset[batch_idx];|add|int|32|value,add,int range = offset[batch_idx + 1] - offset[batch_idx];,2
SUP006,DUE,entropy,22,0,32,DUE,char count[16];|for (int i = 0; i < 16; i++) count[i] = 0;|char total = 0;|add|int|32|value,add,for (int i = 0; i < 16; i++) count[i] = 0;,2
SUP007,DUE,entropy,18,0,1,MASKED,char count[16];|for (int i = 0; i < 16; i++) count[i] = 0;|char total = 0;|icmp|int|1|value,icmp,for (int i = 0; i < 16; i++) count[i] = 0;,2
SUP008,SDC_MASKED,matrix-rotate,9,0,1,MASKED,if (layer < n/2) {|icmp|int|1|value,icmp,if (layer < n/2) {,2
SUP009,SDC_MASKED,layout,31,12,32,SDC,33dcf2732312|load|int|32|value|-1|4,load,res += applesOnTrees[i].trees[gid];,2
SUP010,SDC_MASKED,dense-embedding,128,0,32,SDC,T input_elem = input[start + idx];|T dense_elem = dense[batch_idx * embedding_dim + idx % embedding_dim];|output[start + idx] = input_elem + dense_elem;|add|int|32|value,add,T dense_elem = dense[batch_idx * embedding_dim + idx % embedding_dim];,2
SUP011,SDC_MASKED,entropy,60,10,32,MASKED,cd1c2c6965d0|sext|int|32|value|-1|1,sext,if (total < 1) {,2
