priority_rank,evidence_level,bench,bit_index,nvidia_site_id,amd_site_id,intel_site_id,nvidia_result,amd_result,intel_result,match_tier,nvidia_opcode,amd_opcode,intel_opcode,nvidia_site_class,amd_site_class,intel_site_class,canonical_relpath,canonical_line
1,all_three,colorwheel,3,26,153,81,SDC,MASKED,SDC,family_full,add,add,add,result,result,base,main.src,"for (i = 0; i < YG; i++) setcols(cw, 255-255*i/YG, 255, 0, k++);"
2,all_three,colorwheel,7,26,153,81,SDC,MASKED,SDC,family_full,add,add,add,result,result,base,main.src,"for (i = 0; i < YG; i++) setcols(cw, 255-255*i/YG, 255, 0, k++);"
3,all_three,colorwheel,3,28,157,83,SDC,MASKED,SDC,family_full,add,add,add,result,result,base,main.src,"for (i = 0; i < YG; i++) setcols(cw, 255-255*i/YG, 255, 0, k++);"
4,all_three,colorwheel,7,28,157,83,SDC,MASKED,SDC,family_full,add,add,add,result,result,base,main.src,"for (i = 0; i < YG; i++) setcols(cw, 255-255*i/YG, 255, 0, k++);"
5,all_three,colorwheel,2,20,141,75,SDC,MASKED,SDC,family_full,icmp,icmp,icmp,result,result,base,main.src,"for (i = 0; i < YG; i++) setcols(cw, 255-255*i/YG, 255, 0, k++);"
6,all_three,colorwheel,6,20,141,75,SDC,MASKED,SDC,family_full,icmp,icmp,icmp,result,result,base,main.src,"for (i = 0; i < YG; i++) setcols(cw, 255-255*i/YG, 255, 0, k++);"
7,all_three,colorwheel,3,19,139,74,SDC,MASKED,SDC,family_full,load,load,load,result,result,base,main.src,"for (i = 0; i < YG; i++) setcols(cw, 255-255*i/YG, 255, 0, k++);"
8,all_three,colorwheel,7,19,139,74,SDC,MASKED,SDC,family_full,load,load,load,result,result,base,main.src,"for (i = 0; i < YG; i++) setcols(cw, 255-255*i/YG, 255, 0, k++);"
9,all_three,colorwheel,2,21,143,76,SDC,MASKED,SDC,family_full,load,load,load,result,result,base,main.src,"for (i = 0; i < YG; i++) setcols(cw, 255-255*i/YG, 255, 0, k++);"
10,all_three,colorwheel,6,21,143,76,SDC,MASKED,SDC,family_full,load,load,load,result,result,base,main.src,"for (i = 0; i < YG; i++) setcols(cw, 255-255*i/YG, 255, 0, k++);"
11,all_three,colorwheel,3,25,151,80,SDC,MASKED,SDC,family_full,load,load,load,result,result,base,main.src,"for (i = 0; i < YG; i++) setcols(cw, 255-255*i/YG, 255, 0, k++);"
12,all_three,colorwheel,7,25,151,80,SDC,MASKED,SDC,family_full,load,load,load,result,result,base,main.src,"for (i = 0; i < YG; i++) setcols(cw, 255-255*i/YG, 255, 0, k++);"
13,all_three,colorwheel,3,27,155,82,SDC,MASKED,SDC,family_full,load,load,load,result,result,base,main.src,"for (i = 0; i < YG; i++) setcols(cw, 255-255*i/YG, 255, 0, k++);"
14,all_three,colorwheel,7,27,155,82,SDC,MASKED,SDC,family_full,load,load,load,result,result,base,main.src,"for (i = 0; i < YG; i++) setcols(cw, 255-255*i/YG, 255, 0, k++);"
15,all_three,colorwheel,2,22,145,77,SDC,MASKED,SDC,family_full,mul,mul,mul,result,result,base,main.src,"for (i = 0; i < YG; i++) setcols(cw, 255-255*i/YG, 255, 0, k++);"
16,all_three,colorwheel,6,22,145,77,SDC,MASKED,SDC,family_full,mul,mul,mul,result,result,base,main.src,"for (i = 0; i < YG; i++) setcols(cw, 255-255*i/YG, 255, 0, k++);"
17,all_three,randomAccess,0,100,316,59,MASKED,MASKED,SDC,family_full,mul,mul,mul,result,result,base,main.src,for (u64Int i=0; i<NUPDATE/128; i++) {
18,all_three,randomAccess,1,102,320,61,MASKED,SDC,SDC,source_context_type_family,icmp,icmp,icmp,result,result,base,main.src,for (u64Int i=0; i<NUPDATE/128; i++) {
19,all_three,randomAccess,2,102,320,61,MASKED,SDC,SDC,source_context_type_family,icmp,icmp,icmp,result,result,base,main.src,for (u64Int i=0; i<NUPDATE/128; i++) {
20,all_three,randomAccess,0,117,354,76,DUE,SDC,SDC,family_full,add,add,add,result,result,base,main.src,for (u64Int i=0; i<NUPDATE/128; i++) {
21,two_machine,randomAccess,0,19,139,95,SDC,,MASKED,family_full,icmp,icmp,icmp,result,result,base,main.src,temp = (temp << 1) ^ ((s64Int) temp < 0 ? POLY : 0);
