trace_case_id,bench,bit_index,comparison,match_tier,divergence_pattern,nvidia_site_id,intel_site_id,amd_site_id,nvidia_rerun_result,intel_rerun_result,amd_rerun_result,nvidia_original_result,intel_original_result,amd_original_result,selection_reason,notes
TRACE002,colorwheel,6,all_three_anchor,family_full,NVIDIA=SDC;INTEL=SDC;AMD=MASKED,20,75,141,SDC,SDC,MASKED,SDC,SDC,MASKED,clean_three_machine_divergent_rerun,
TRACE004,colorwheel,0,all_three_anchor,family_full,NVIDIA=SDC;INTEL=MASKED;AMD=SDC,23,78,147,SDC,MASKED,SDC,SDC,SDC,MASKED,clean_three_machine_divergent_rerun,
TRACE006,colorwheel,4,all_three_anchor,family_full,NVIDIA=SDC;INTEL=SDC;AMD=MASKED,24,79,149,SDC,SDC,MASKED,SDC,SDC,MASKED,clean_three_machine_divergent_rerun,
TRACE007,colorwheel,2,all_three_anchor,family_full,NVIDIA=SDC;INTEL=SDC;AMD=MASKED,145,146,293,SDC,SDC,MASKED,SDC,SDC,MASKED,clean_three_machine_divergent_rerun,
TRACE008,colorwheel,7,all_three_anchor,family_full,NVIDIA=SDC;INTEL=MASKED;AMD=SDC,146,147,295,SDC,MASKED,SDC,SDC,SDC,MASKED,clean_three_machine_divergent_rerun,
TRACE011,randomAccess,2,all_three_or_pairwise_anchor,source_context_type_family,NVIDIA=SDC;INTEL=SDC;AMD=MASKED,102,61,320,SDC,SDC,MASKED,MASKED,SDC,SDC,clean_three_machine_divergent_rerun,
TRACE014,randomAccess,8,all_three_or_pairwise_anchor,family_full,NVIDIA=MASKED;INTEL=MASKED;AMD=SDC,18,94,137,MASKED,MASKED,SDC,MASKED,SDC,,clean_three_machine_divergent_rerun,
TRACE015,randomAccess,0,all_three_or_pairwise_anchor,family_full,NVIDIA=SDC;INTEL=SDC;AMD=MASKED,71,147,249,SDC,SDC,MASKED,SDC,MASKED,,clean_three_machine_divergent_rerun,
TRACE016,randomAccess,0,all_three_or_pairwise_anchor,family_full,NVIDIA=SDC;INTEL=SDC;AMD=MASKED,68,144,243,SDC,SDC,MASKED,SDC,MASKED,,clean_three_machine_divergent_rerun,
TRACE017,randomAccess,1,all_three_or_pairwise_anchor,family_full,NVIDIA=SDC;INTEL=SDC;AMD=MASKED,68,144,243,SDC,SDC,MASKED,SDC,MASKED,,clean_three_machine_divergent_rerun,
