trace_case_id,batch_id,machine,bench,site_id,bit_index,expected_rerun_result,divergence_pattern,nvidia_site_id,intel_site_id,amd_site_id,nvidia_rerun_result,intel_rerun_result,amd_rerun_result,trace_level,debug_level,run_mode,notes
TRACE002,batch02_followup_10,intel,colorwheel,75,6,SDC,NVIDIA=SDC;INTEL=SDC;AMD=MASKED,20,75,141,SDC,SDC,MASKED,full,full,single_scheduler_job_for_this_batch,"Use local golden output if present; rebuild only if missing. After extracting compact trace summaries, bulky trace artifacts may be deleted before the next batch."
TRACE004,batch02_followup_10,intel,colorwheel,78,0,MASKED,NVIDIA=SDC;INTEL=MASKED;AMD=SDC,23,78,147,SDC,MASKED,SDC,full,full,single_scheduler_job_for_this_batch,"Use local golden output if present; rebuild only if missing. After extracting compact trace summaries, bulky trace artifacts may be deleted before the next batch."
TRACE006,batch02_followup_10,intel,colorwheel,79,4,SDC,NVIDIA=SDC;INTEL=SDC;AMD=MASKED,24,79,149,SDC,SDC,MASKED,full,full,single_scheduler_job_for_this_batch,"Use local golden output if present; rebuild only if missing. After extracting compact trace summaries, bulky trace artifacts may be deleted before the next batch."
TRACE007,batch02_followup_10,intel,colorwheel,146,2,SDC,NVIDIA=SDC;INTEL=SDC;AMD=MASKED,145,146,293,SDC,SDC,MASKED,full,full,single_scheduler_job_for_this_batch,"Use local golden output if present; rebuild only if missing. After extracting compact trace summaries, bulky trace artifacts may be deleted before the next batch."
TRACE008,batch02_followup_10,intel,colorwheel,147,7,MASKED,NVIDIA=SDC;INTEL=MASKED;AMD=SDC,146,147,295,SDC,MASKED,SDC,full,full,single_scheduler_job_for_this_batch,"Use local golden output if present; rebuild only if missing. After extracting compact trace summaries, bulky trace artifacts may be deleted before the next batch."
TRACE011,batch02_followup_10,intel,randomAccess,61,2,SDC,NVIDIA=SDC;INTEL=SDC;AMD=MASKED,102,61,320,SDC,SDC,MASKED,full,full,single_scheduler_job_for_this_batch,"Use local golden output if present; rebuild only if missing. After extracting compact trace summaries, bulky trace artifacts may be deleted before the next batch."
TRACE014,batch02_followup_10,intel,randomAccess,94,8,MASKED,NVIDIA=MASKED;INTEL=MASKED;AMD=SDC,18,94,137,MASKED,MASKED,SDC,full,full,single_scheduler_job_for_this_batch,"Use local golden output if present; rebuild only if missing. After extracting compact trace summaries, bulky trace artifacts may be deleted before the next batch."
TRACE015,batch02_followup_10,intel,randomAccess,147,0,SDC,NVIDIA=SDC;INTEL=SDC;AMD=MASKED,71,147,249,SDC,SDC,MASKED,full,full,single_scheduler_job_for_this_batch,"Use local golden output if present; rebuild only if missing. After extracting compact trace summaries, bulky trace artifacts may be deleted before the next batch."
TRACE016,batch02_followup_10,intel,randomAccess,144,0,SDC,NVIDIA=SDC;INTEL=SDC;AMD=MASKED,68,144,243,SDC,SDC,MASKED,full,full,single_scheduler_job_for_this_batch,"Use local golden output if present; rebuild only if missing. After extracting compact trace summaries, bulky trace artifacts may be deleted before the next batch."
TRACE017,batch02_followup_10,intel,randomAccess,144,1,SDC,NVIDIA=SDC;INTEL=SDC;AMD=MASKED,68,144,243,SDC,SDC,MASKED,full,full,single_scheduler_job_for_this_batch,"Use local golden output if present; rebuild only if missing. After extracting compact trace summaries, bulky trace artifacts may be deleted before the next batch."
