trace_case_id,batch_id,machine,bench,site_id,bit_index,expected_rerun_result,divergence_pattern,nvidia_site_id,intel_site_id,amd_site_id,nvidia_rerun_result,intel_rerun_result,amd_rerun_result,trace_level,debug_level,run_mode,notes
TRACE019,batch03_followup_11,amd,randomAccess,253,0,MASKED,NVIDIA=SDC;INTEL=SDC;AMD=MASKED,73,149,253,SDC,SDC,MASKED,full,full,single_scheduler_job_for_this_batch,"Use local golden output if present; rebuild only if missing. After extracting compact trace summaries, bulky trace artifacts may be deleted before the next batch."
TRACE020,batch03_followup_11,amd,randomAccess,253,1,MASKED,NVIDIA=SDC;INTEL=SDC;AMD=MASKED,73,149,253,SDC,SDC,MASKED,full,full,single_scheduler_job_for_this_batch,"Use local golden output if present; rebuild only if missing. After extracting compact trace summaries, bulky trace artifacts may be deleted before the next batch."
TRACE021,batch03_followup_11,amd,randomAccess,245,0,MASKED,NVIDIA=SDC;INTEL=SDC;AMD=MASKED,69,145,245,SDC,SDC,MASKED,full,full,single_scheduler_job_for_this_batch,"Use local golden output if present; rebuild only if missing. After extracting compact trace summaries, bulky trace artifacts may be deleted before the next batch."
TRACE022,batch03_followup_11,amd,randomAccess,245,1,MASKED,NVIDIA=SDC;INTEL=SDC;AMD=MASKED,69,145,245,SDC,SDC,MASKED,full,full,single_scheduler_job_for_this_batch,"Use local golden output if present; rebuild only if missing. After extracting compact trace summaries, bulky trace artifacts may be deleted before the next batch."
TRACE023,batch03_followup_11,amd,randomAccess,255,0,MASKED,NVIDIA=SDC;INTEL=SDC;AMD=MASKED,74,150,255,SDC,SDC,MASKED,full,full,single_scheduler_job_for_this_batch,"Use local golden output if present; rebuild only if missing. After extracting compact trace summaries, bulky trace artifacts may be deleted before the next batch."
TRACE024,batch03_followup_11,amd,randomAccess,255,1,MASKED,NVIDIA=SDC;INTEL=SDC;AMD=MASKED,74,150,255,SDC,SDC,MASKED,full,full,single_scheduler_job_for_this_batch,"Use local golden output if present; rebuild only if missing. After extracting compact trace summaries, bulky trace artifacts may be deleted before the next batch."
TRACE025,batch03_followup_11,amd,randomAccess,129,0,MASKED,NVIDIA=SDC;INTEL=SDC;AMD=MASKED,14,90,129,SDC,SDC,MASKED,full,full,single_scheduler_job_for_this_batch,"Use local golden output if present; rebuild only if missing. After extracting compact trace summaries, bulky trace artifacts may be deleted before the next batch."
TRACE027,batch03_followup_11,amd,pathfinder,350,17,MASKED,NVIDIA=MASKED;INTEL=SDC;AMD=MASKED,116,132,350,MASKED,SDC,MASKED,full,full,single_scheduler_job_for_this_batch,"Use local golden output if present; rebuild only if missing. After extracting compact trace summaries, bulky trace artifacts may be deleted before the next batch."
TRACE029,batch03_followup_11,amd,pathfinder,123,31,MASKED,NVIDIA=MASKED;INTEL=SDC;AMD=MASKED,9,25,123,MASKED,SDC,MASKED,full,full,single_scheduler_job_for_this_batch,"Use local golden output if present; rebuild only if missing. After extracting compact trace summaries, bulky trace artifacts may be deleted before the next batch."
TRACE030,batch03_followup_11,amd,pathfinder,217,3,MASKED,NVIDIA=MASKED;INTEL=SDC;AMD=MASKED,53,69,217,MASKED,SDC,MASKED,full,full,single_scheduler_job_for_this_batch,"Use local golden output if present; rebuild only if missing. After extracting compact trace summaries, bulky trace artifacts may be deleted before the next batch."
TRACE031,batch03_followup_11,amd,pathfinder,217,17,MASKED,NVIDIA=MASKED;INTEL=SDC;AMD=MASKED,53,69,217,MASKED,SDC,MASKED,full,full,single_scheduler_job_for_this_batch,"Use local golden output if present; rebuild only if missing. After extracting compact trace summaries, bulky trace artifacts may be deleted before the next batch."
