trace_case_id,batch_id,batch_role,bench,bit_index,divergence_pattern,nvidia_site_id,intel_site_id,amd_site_id
TRACE001,batch01_survey_10,survey,colorwheel,2,NVIDIA=SDC;INTEL=SDC;AMD=MASKED,20,75,141
TRACE003,batch01_survey_10,survey,colorwheel,2,NVIDIA=SDC;INTEL=MASKED;AMD=SDC,22,77,145
TRACE005,batch01_survey_10,survey,colorwheel,0,NVIDIA=SDC;INTEL=MASKED;AMD=MASKED,24,79,149
TRACE009,batch01_survey_10,survey,colorwheel,1,NVIDIA=SDC;INTEL=SDC;AMD=MASKED,7,210,115
TRACE010,batch01_survey_10,survey,randomAccess,1,NVIDIA=SDC;INTEL=SDC;AMD=MASKED,102,61,320
TRACE012,batch01_survey_10,survey,randomAccess,0,NVIDIA=SDC;INTEL=SDC;AMD=MASKED,19,95,139
TRACE013,batch01_survey_10,survey,randomAccess,7,NVIDIA=MASKED;INTEL=MASKED;AMD=SDC,18,94,137
TRACE018,batch01_survey_10,survey,randomAccess,63,NVIDIA=SDC;INTEL=SDC;AMD=MASKED,70,146,247
TRACE026,batch01_survey_10,survey,pathfinder,3,NVIDIA=MASKED;INTEL=SDC;AMD=MASKED,116,132,350
TRACE028,batch01_survey_10,survey,pathfinder,3,NVIDIA=MASKED;INTEL=SDC;AMD=MASKED,9,25,123
TRACE002,batch02_followup_10,followup,colorwheel,6,NVIDIA=SDC;INTEL=SDC;AMD=MASKED,20,75,141
TRACE004,batch02_followup_10,followup,colorwheel,0,NVIDIA=SDC;INTEL=MASKED;AMD=SDC,23,78,147
TRACE006,batch02_followup_10,followup,colorwheel,4,NVIDIA=SDC;INTEL=SDC;AMD=MASKED,24,79,149
TRACE007,batch02_followup_10,followup,colorwheel,2,NVIDIA=SDC;INTEL=SDC;AMD=MASKED,145,146,293
TRACE008,batch02_followup_10,followup,colorwheel,7,NVIDIA=SDC;INTEL=MASKED;AMD=SDC,146,147,295
TRACE011,batch02_followup_10,followup,randomAccess,2,NVIDIA=SDC;INTEL=SDC;AMD=MASKED,102,61,320
TRACE014,batch02_followup_10,followup,randomAccess,8,NVIDIA=MASKED;INTEL=MASKED;AMD=SDC,18,94,137
TRACE015,batch02_followup_10,followup,randomAccess,0,NVIDIA=SDC;INTEL=SDC;AMD=MASKED,71,147,249
TRACE016,batch02_followup_10,followup,randomAccess,0,NVIDIA=SDC;INTEL=SDC;AMD=MASKED,68,144,243
TRACE017,batch02_followup_10,followup,randomAccess,1,NVIDIA=SDC;INTEL=SDC;AMD=MASKED,68,144,243
TRACE019,batch03_followup_11,followup,randomAccess,0,NVIDIA=SDC;INTEL=SDC;AMD=MASKED,73,149,253
TRACE020,batch03_followup_11,followup,randomAccess,1,NVIDIA=SDC;INTEL=SDC;AMD=MASKED,73,149,253
TRACE021,batch03_followup_11,followup,randomAccess,0,NVIDIA=SDC;INTEL=SDC;AMD=MASKED,69,145,245
TRACE022,batch03_followup_11,followup,randomAccess,1,NVIDIA=SDC;INTEL=SDC;AMD=MASKED,69,145,245
TRACE023,batch03_followup_11,followup,randomAccess,0,NVIDIA=SDC;INTEL=SDC;AMD=MASKED,74,150,255
TRACE024,batch03_followup_11,followup,randomAccess,1,NVIDIA=SDC;INTEL=SDC;AMD=MASKED,74,150,255
TRACE025,batch03_followup_11,followup,randomAccess,0,NVIDIA=SDC;INTEL=SDC;AMD=MASKED,14,90,129
TRACE027,batch03_followup_11,followup,pathfinder,17,NVIDIA=MASKED;INTEL=SDC;AMD=MASKED,116,132,350
TRACE029,batch03_followup_11,followup,pathfinder,31,NVIDIA=MASKED;INTEL=SDC;AMD=MASKED,9,25,123
TRACE030,batch03_followup_11,followup,pathfinder,3,NVIDIA=MASKED;INTEL=SDC;AMD=MASKED,53,69,217
TRACE031,batch03_followup_11,followup,pathfinder,17,NVIDIA=MASKED;INTEL=SDC;AMD=MASKED,53,69,217
