worklist_id,bench,site_id,bit_index,comparison,expected_original_result,nvidia_site_id,amd_site_id,intel_site_id,nvidia_result,amd_result,intel_result,match_tier,notes
1,colorwheel,26,3,all_three_anchor,SDC,26,153,81,SDC,MASKED,SDC,family_full,
2,colorwheel,26,7,all_three_anchor,SDC,26,153,81,SDC,MASKED,SDC,family_full,
3,colorwheel,28,3,all_three_anchor,SDC,28,157,83,SDC,MASKED,SDC,family_full,
4,colorwheel,28,7,all_three_anchor,SDC,28,157,83,SDC,MASKED,SDC,family_full,
5,colorwheel,20,2,all_three_anchor,SDC,20,141,75,SDC,MASKED,SDC,family_full,
6,colorwheel,20,6,all_three_anchor,SDC,20,141,75,SDC,MASKED,SDC,family_full,
7,colorwheel,19,3,all_three_anchor,SDC,19,139,74,SDC,MASKED,SDC,family_full,
8,colorwheel,19,7,all_three_anchor,SDC,19,139,74,SDC,MASKED,SDC,family_full,
9,colorwheel,21,2,all_three_anchor,SDC,21,143,76,SDC,MASKED,SDC,family_full,
10,colorwheel,21,6,all_three_anchor,SDC,21,143,76,SDC,MASKED,SDC,family_full,
11,colorwheel,25,3,all_three_anchor,SDC,25,151,80,SDC,MASKED,SDC,family_full,
12,colorwheel,25,7,all_three_anchor,SDC,25,151,80,SDC,MASKED,SDC,family_full,
13,colorwheel,27,3,all_three_anchor,SDC,27,155,82,SDC,MASKED,SDC,family_full,
14,colorwheel,27,7,all_three_anchor,SDC,27,155,82,SDC,MASKED,SDC,family_full,
15,colorwheel,22,2,all_three_anchor,SDC,22,145,77,SDC,MASKED,SDC,family_full,
16,colorwheel,22,6,all_three_anchor,SDC,22,145,77,SDC,MASKED,SDC,family_full,
17,colorwheel,23,0,all_three_anchor,SDC,23,147,78,SDC,MASKED,SDC,family_full,
18,colorwheel,23,4,all_three_anchor,SDC,23,147,78,SDC,MASKED,SDC,family_full,
19,colorwheel,24,0,all_three_anchor,SDC,24,149,79,SDC,MASKED,SDC,family_full,
20,colorwheel,24,4,all_three_anchor,SDC,24,149,79,SDC,MASKED,SDC,family_full,
21,colorwheel,145,2,all_three_anchor,SDC,145,293,146,SDC,MASKED,SDC,family_full,
22,colorwheel,145,6,all_three_anchor,SDC,145,293,146,SDC,MASKED,SDC,family_full,
23,colorwheel,146,7,all_three_anchor,SDC,146,295,147,SDC,MASKED,SDC,family_full,
24,colorwheel,7,1,all_three_anchor,SDC,7,115,210,SDC,MASKED,SDC,family_full,
25,randomAccess,100,0,all_three_or_pairwise_anchor,MASKED,100,316,59,MASKED,MASKED,SDC,family_full,
26,randomAccess,102,1,all_three_or_pairwise_anchor,MASKED,102,320,61,MASKED,SDC,SDC,source_context_type_family,
27,randomAccess,102,2,all_three_or_pairwise_anchor,MASKED,102,320,61,MASKED,SDC,SDC,source_context_type_family,
28,randomAccess,117,0,all_three_or_pairwise_anchor,DUE,117,354,76,DUE,SDC,SDC,family_full,
29,randomAccess,19,0,all_three_or_pairwise_anchor,SDC,19,139,95,SDC,,MASKED,family_full,
30,randomAccess,16,0,all_three_or_pairwise_anchor,SDC,16,133,92,SDC,,MASKED,family_full,
31,randomAccess,16,1,all_three_or_pairwise_anchor,SDC,16,133,92,SDC,,MASKED,family_full,
32,randomAccess,18,7,all_three_or_pairwise_anchor,MASKED,18,137,94,MASKED,,SDC,family_full,
33,randomAccess,18,8,all_three_or_pairwise_anchor,MASKED,18,137,94,MASKED,,SDC,family_full,
34,randomAccess,22,0,all_three_or_pairwise_anchor,SDC,22,145,98,SDC,,MASKED,family_full,
35,randomAccess,22,1,all_three_or_pairwise_anchor,SDC,22,145,98,SDC,,MASKED,family_full,
36,randomAccess,20,0,all_three_or_pairwise_anchor,MASKED,20,141,96,MASKED,,SDC,family_full,
37,randomAccess,20,1,all_three_or_pairwise_anchor,MASKED,20,141,96,MASKED,,SDC,family_full,
38,randomAccess,71,0,all_three_or_pairwise_anchor,SDC,71,249,147,SDC,,MASKED,family_full,
39,randomAccess,68,0,all_three_or_pairwise_anchor,SDC,68,243,144,SDC,,MASKED,family_full,
40,randomAccess,68,1,all_three_or_pairwise_anchor,SDC,68,243,144,SDC,,MASKED,family_full,
41,randomAccess,70,63,all_three_or_pairwise_anchor,SDC,70,247,146,SDC,,MASKED,family_full,
42,randomAccess,73,0,all_three_or_pairwise_anchor,SDC,73,253,149,SDC,,MASKED,family_full,
43,randomAccess,73,1,all_three_or_pairwise_anchor,SDC,73,253,149,SDC,,MASKED,family_full,
44,randomAccess,69,0,all_three_or_pairwise_anchor,SDC,69,245,145,SDC,,MASKED,family_full,
45,randomAccess,69,1,all_three_or_pairwise_anchor,SDC,69,245,145,SDC,,MASKED,family_full,
46,randomAccess,74,0,all_three_or_pairwise_anchor,SDC,74,255,150,SDC,,MASKED,family_full,
47,randomAccess,74,1,all_three_or_pairwise_anchor,SDC,74,255,150,SDC,,MASKED,family_full,
48,randomAccess,14,0,all_three_or_pairwise_anchor,SDC,14,129,90,SDC,,MASKED,family_full,
49,pathfinder,137,3,nvidia_vs_intel,MASKED,137,395,153,MASKED,,SDC,source_text_type_family,
50,pathfinder,137,17,nvidia_vs_intel,MASKED,137,395,153,MASKED,,SDC,source_text_type_family,
51,pathfinder,116,3,nvidia_vs_intel,SDC,116,350,132,SDC,,MASKED,source_text_type_family,
52,pathfinder,116,17,nvidia_vs_intel,SDC,116,350,132,SDC,,MASKED,source_text_type_family,
53,pathfinder,9,3,nvidia_vs_intel,MASKED,9,123,25,MASKED,,SDC,source_text_type_family,
54,pathfinder,9,31,nvidia_vs_intel,MASKED,9,123,25,MASKED,,SDC,source_text_type_family,
55,pathfinder,64,3,nvidia_vs_intel,MASKED,64,240,80,MASKED,,SDC,source_context_type_family,
56,pathfinder,64,17,nvidia_vs_intel,MASKED,64,240,80,MASKED,,SDC,source_context_type_family,
57,pathfinder,53,3,nvidia_vs_intel,SDC,53,217,69,SDC,,MASKED,source_context_type_family,
58,pathfinder,53,17,nvidia_vs_intel,SDC,53,217,69,SDC,,MASKED,source_context_type_family,
59,pathfinder,56,62,nvidia_vs_intel,SDC,56,224,72,SDC,,MASKED,source_context_type_family,
60,pathfinder,56,63,nvidia_vs_intel,SDC,56,224,72,SDC,,MASKED,source_context_type_family,
61,dense-embedding,114,9,nvidia_vs_amd,SDC,114,362,,SDC,DUE,,pairwise_normalized_metadata,
62,dense-embedding,114,16,nvidia_vs_amd,SDC,114,362,,SDC,DUE,,pairwise_normalized_metadata,
63,dense-embedding,126,9,nvidia_vs_amd,SDC,126,390,,SDC,DUE,,pairwise_normalized_metadata,
64,dense-embedding,126,16,nvidia_vs_amd,SDC,126,390,,SDC,DUE,,pairwise_normalized_metadata,
65,dense-embedding,124,9,nvidia_vs_amd,SDC,124,385,,SDC,DUE,,pairwise_normalized_metadata,
66,dense-embedding,124,63,nvidia_vs_amd,SDC,124,385,,SDC,DUE,,pairwise_normalized_metadata,
67,dense-embedding,132,23,nvidia_vs_amd,SDC,132,404,,SDC,DUE,,pairwise_normalized_metadata,
68,dense-embedding,132,18,nvidia_vs_amd,SDC,132,404,,SDC,DUE,,pairwise_normalized_metadata,
69,dense-embedding,122,9,nvidia_vs_amd,SDC,122,381,,SDC,DUE,,pairwise_normalized_metadata,
70,dense-embedding,122,23,nvidia_vs_amd,SDC,122,381,,SDC,DUE,,pairwise_normalized_metadata,
71,dense-embedding,117,9,nvidia_vs_amd,SDC,117,369,,SDC,DUE,,pairwise_normalized_metadata,
72,dense-embedding,117,23,nvidia_vs_amd,SDC,117,369,,SDC,DUE,,pairwise_normalized_metadata,
73,entropy,156,17,intel_vs_amd,,156,443,226,,DUE,MASKED,source_context_type_family,
74,entropy,156,31,intel_vs_amd,,156,443,226,,DUE,MASKED,source_context_type_family,
75,entropy,156,4,intel_vs_amd,,156,443,226,,DUE,MASKED,source_context_type_family,
76,entropy,156,9,intel_vs_amd,,156,443,226,,DUE,MASKED,source_context_type_family,
