screen_id,bench,site_id,bit_index,trial,screen_result,dump_exists,dump_size,dump_sha256,golden_sha256,comparison_json
DUE001,colorwheel,26,0,1,SDC,true,200,7c89dd2c006da72e38ffee0c622ea6593ff0993e1104eb9ad4ad8ea78812ff13,06f36daec9cfd6acb5e46013220ab81722a91991b38616e0c06c2846cdd04026,comparison_DUE001_trial1.json
DUE001,colorwheel,26,0,2,SDC,true,200,7c89dd2c006da72e38ffee0c622ea6593ff0993e1104eb9ad4ad8ea78812ff13,06f36daec9cfd6acb5e46013220ab81722a91991b38616e0c06c2846cdd04026,comparison_DUE001_trial2.json
DUE002,colorwheel,150,1,1,SDC,true,200,27e8f2549327a6a3087bc63d6e90f3add50c629277f1cf65540b53db5e9e26c3,06f36daec9cfd6acb5e46013220ab81722a91991b38616e0c06c2846cdd04026,comparison_DUE002_trial1.json
DUE002,colorwheel,150,1,2,SDC,true,200,27e8f2549327a6a3087bc63d6e90f3add50c629277f1cf65540b53db5e9e26c3,06f36daec9cfd6acb5e46013220ab81722a91991b38616e0c06c2846cdd04026,comparison_DUE002_trial2.json
DUE003,colorwheel,7,3,1,SDC,true,200,40b47fd41698525f84d7daf69bf3a436d743603e86217aea0a32bab83b357c83,06f36daec9cfd6acb5e46013220ab81722a91991b38616e0c06c2846cdd04026,comparison_DUE003_trial1.json
DUE003,colorwheel,7,3,2,SDC,true,200,40b47fd41698525f84d7daf69bf3a436d743603e86217aea0a32bab83b357c83,06f36daec9cfd6acb5e46013220ab81722a91991b38616e0c06c2846cdd04026,comparison_DUE003_trial2.json
DUE004,colorwheel,233,13,1,SDC,true,200,ddda589938ffd63ecbcbd708cf8617014575b6e5ac9a8b3c80a616f4ed10f58c,06f36daec9cfd6acb5e46013220ab81722a91991b38616e0c06c2846cdd04026,comparison_DUE004_trial1.json
DUE004,colorwheel,233,13,2,SDC,true,200,ddda589938ffd63ecbcbd708cf8617014575b6e5ac9a8b3c80a616f4ed10f58c,06f36daec9cfd6acb5e46013220ab81722a91991b38616e0c06c2846cdd04026,comparison_DUE004_trial2.json
DUE005,colorwheel,238,4,1,SDC,true,200,b208b511c6379340351184961af60f70335d2a6f98692960c50dc4b1a4e88224,06f36daec9cfd6acb5e46013220ab81722a91991b38616e0c06c2846cdd04026,comparison_DUE005_trial1.json
DUE005,colorwheel,238,4,2,SDC,true,200,b208b511c6379340351184961af60f70335d2a6f98692960c50dc4b1a4e88224,06f36daec9cfd6acb5e46013220ab81722a91991b38616e0c06c2846cdd04026,comparison_DUE005_trial2.json
