worklist_id,bench,site_id,bit_index,comparison,expected_original_result,nvidia_site_id,amd_site_id,intel_site_id,nvidia_result,amd_result,intel_result,match_tier,notes,baseline_status,actual_result,exit_code,matches_expected,stdout,stderr
1,colorwheel,26,3,all_three_anchor,SDC,26,153,81,SDC,MASKED,SDC,family_full,,PASS,SDC,0,true,/home/mdunlavy/GPU_FI/divergence_cases/full_trace_results/polaris_nvidia_TRACE029_rerun_20260722T005959Z/colorwheel/site26_bit3.out,/home/mdunlavy/GPU_FI/divergence_cases/full_trace_results/polaris_nvidia_TRACE029_rerun_20260722T005959Z/colorwheel/site26_bit3.err
2,colorwheel,26,7,all_three_anchor,SDC,26,153,81,SDC,MASKED,SDC,family_full,,PASS,SDC,0,true,/home/mdunlavy/GPU_FI/divergence_cases/full_trace_results/polaris_nvidia_TRACE029_rerun_20260722T005959Z/colorwheel/site26_bit7.out,/home/mdunlavy/GPU_FI/divergence_cases/full_trace_results/polaris_nvidia_TRACE029_rerun_20260722T005959Z/colorwheel/site26_bit7.err
3,colorwheel,28,3,all_three_anchor,SDC,28,157,83,SDC,MASKED,SDC,family_full,,PASS,SDC,0,true,/home/mdunlavy/GPU_FI/divergence_cases/full_trace_results/polaris_nvidia_TRACE029_rerun_20260722T005959Z/colorwheel/site28_bit3.out,/home/mdunlavy/GPU_FI/divergence_cases/full_trace_results/polaris_nvidia_TRACE029_rerun_20260722T005959Z/colorwheel/site28_bit3.err
4,colorwheel,28,7,all_three_anchor,SDC,28,157,83,SDC,MASKED,SDC,family_full,,PASS,SDC,0,true,/home/mdunlavy/GPU_FI/divergence_cases/full_trace_results/polaris_nvidia_TRACE029_rerun_20260722T005959Z/colorwheel/site28_bit7.out,/home/mdunlavy/GPU_FI/divergence_cases/full_trace_results/polaris_nvidia_TRACE029_rerun_20260722T005959Z/colorwheel/site28_bit7.err
5,colorwheel,20,2,all_three_anchor,SDC,20,141,75,SDC,MASKED,SDC,family_full,,PASS,SDC,0,true,/home/mdunlavy/GPU_FI/divergence_cases/full_trace_results/polaris_nvidia_TRACE029_rerun_20260722T005959Z/colorwheel/site20_bit2.out,/home/mdunlavy/GPU_FI/divergence_cases/full_trace_results/polaris_nvidia_TRACE029_rerun_20260722T005959Z/colorwheel/site20_bit2.err
6,colorwheel,20,6,all_three_anchor,SDC,20,141,75,SDC,MASKED,SDC,family_full,,PASS,SDC,0,true,/home/mdunlavy/GPU_FI/divergence_cases/full_trace_results/polaris_nvidia_TRACE029_rerun_20260722T005959Z/colorwheel/site20_bit6.out,/home/mdunlavy/GPU_FI/divergence_cases/full_trace_results/polaris_nvidia_TRACE029_rerun_20260722T005959Z/colorwheel/site20_bit6.err
7,colorwheel,19,3,all_three_anchor,SDC,19,139,74,SDC,MASKED,SDC,family_full,,PASS,SDC,0,true,/home/mdunlavy/GPU_FI/divergence_cases/full_trace_results/polaris_nvidia_TRACE029_rerun_20260722T005959Z/colorwheel/site19_bit3.out,/home/mdunlavy/GPU_FI/divergence_cases/full_trace_results/polaris_nvidia_TRACE029_rerun_20260722T005959Z/colorwheel/site19_bit3.err
8,colorwheel,19,7,all_three_anchor,SDC,19,139,74,SDC,MASKED,SDC,family_full,,PASS,SDC,0,true,/home/mdunlavy/GPU_FI/divergence_cases/full_trace_results/polaris_nvidia_TRACE029_rerun_20260722T005959Z/colorwheel/site19_bit7.out,/home/mdunlavy/GPU_FI/divergence_cases/full_trace_results/polaris_nvidia_TRACE029_rerun_20260722T005959Z/colorwheel/site19_bit7.err
9,colorwheel,21,2,all_three_anchor,SDC,21,143,76,SDC,MASKED,SDC,family_full,,PASS,SDC,0,true,/home/mdunlavy/GPU_FI/divergence_cases/full_trace_results/polaris_nvidia_TRACE029_rerun_20260722T005959Z/colorwheel/site21_bit2.out,/home/mdunlavy/GPU_FI/divergence_cases/full_trace_results/polaris_nvidia_TRACE029_rerun_20260722T005959Z/colorwheel/site21_bit2.err
10,colorwheel,21,6,all_three_anchor,SDC,21,143,76,SDC,MASKED,SDC,family_full,,PASS,SDC,0,true,/home/mdunlavy/GPU_FI/divergence_cases/full_trace_results/polaris_nvidia_TRACE029_rerun_20260722T005959Z/colorwheel/site21_bit6.out,/home/mdunlavy/GPU_FI/divergence_cases/full_trace_results/polaris_nvidia_TRACE029_rerun_20260722T005959Z/colorwheel/site21_bit6.err
