site_id,opcode,type_kind,bitwidth,operand_index,function
1,load,int,32,-1,_ZTSZZ4mainENKUlRN4sycl3_V17handlerEE_clES2_E2cw
2,load,int,32,-1,_ZTSZZ4mainENKUlRN4sycl3_V17handlerEE_clES2_E2cw
3,load,float,32,-1,_ZTSZZ4mainENKUlRN4sycl3_V17handlerEE_clES2_E2cw
4,load,float,32,-1,_ZTSZZ4mainENKUlRN4sycl3_V17handlerEE_clES2_E2cw
5,load,int,32,-1,_ZZZ4mainENKUlRN4sycl3_V17handlerEE_clES2_ENKUlNS0_7nd_itemILi2EEEE_clES5_
6,load,int,32,-1,_ZZZ4mainENKUlRN4sycl3_V17handlerEE_clES2_ENKUlNS0_7nd_itemILi2EEEE_clES5_
7,load,float,32,-1,_ZZZ4mainENKUlRN4sycl3_V17handlerEE_clES2_ENKUlNS0_7nd_itemILi2EEEE_clES5_
8,load,float,32,-1,_ZZZ4mainENKUlRN4sycl3_V17handlerEE_clES2_ENKUlNS0_7nd_itemILi2EEEE_clES5_
9,load,int,32,-1,_Z5colorRN4sycl3_V17nd_itemILi2EEEPhiiff
10,load,int,64,-1,_Z5colorRN4sycl3_V17nd_itemILi2EEEPhiiff
11,load,int,64,-1,_Z5colorRN4sycl3_V17nd_itemILi2EEEPhiiff
12,icmp,int,1,-1,_Z5colorRN4sycl3_V17nd_itemILi2EEEPhiiff
13,load,int,64,-1,_Z5colorRN4sycl3_V17nd_itemILi2EEEPhiiff
14,trunc,int,32,-1,_Z5colorRN4sycl3_V17nd_itemILi2EEEPhiiff
15,load,int,32,-1,_Z5colorRN4sycl3_V17nd_itemILi2EEEPhiiff
16,load,int,64,-1,_Z5colorRN4sycl3_V17nd_itemILi2EEEPhiiff
17,load,int,64,-1,_Z5colorRN4sycl3_V17nd_itemILi2EEEPhiiff
18,icmp,int,1,-1,_Z5colorRN4sycl3_V17nd_itemILi2EEEPhiiff
19,load,int,64,-1,_Z5colorRN4sycl3_V17nd_itemILi2EEEPhiiff
20,trunc,int,32,-1,_Z5colorRN4sycl3_V17nd_itemILi2EEEPhiiff
21,load,int,32,-1,_Z5colorRN4sycl3_V17nd_itemILi2EEEPhiiff
22,load,int,32,-1,_Z5colorRN4sycl3_V17nd_itemILi2EEEPhiiff
23,icmp,int,1,-1,_Z5colorRN4sycl3_V17nd_itemILi2EEEPhiiff
24,load,int,32,-1,_Z5colorRN4sycl3_V17nd_itemILi2EEEPhiiff
25,load,int,32,-1,_Z5colorRN4sycl3_V17nd_itemILi2EEEPhiiff
26,icmp,int,1,-1,_Z5colorRN4sycl3_V17nd_itemILi2EEEPhiiff
27,load,int,32,-1,_Z5colorRN4sycl3_V17nd_itemILi2EEEPhiiff
28,sitofp,float,32,-1,_Z5colorRN4sycl3_V17nd_itemILi2EEEPhiiff
29,load,int,32,-1,_Z5colorRN4sycl3_V17nd_itemILi2EEEPhiiff
30,sitofp,float,32,-1,_Z5colorRN4sycl3_V17nd_itemILi2EEEPhiiff
31,call,float,32,-1,_Z5colorRN4sycl3_V17nd_itemILi2EEEPhiiff
32,load,float,32,-1,_Z5colorRN4sycl3_V17nd_itemILi2EEEPhiiff
33,fmul,float,32,-1,_Z5colorRN4sycl3_V17nd_itemILi2EEEPhiiff
34,load,float,32,-1,_Z5colorRN4sycl3_V17nd_itemILi2EEEPhiiff
35,fsub,float,32,-1,_Z5colorRN4sycl3_V17nd_itemILi2EEEPhiiff
36,load,int,32,-1,_Z5colorRN4sycl3_V17nd_itemILi2EEEPhiiff
37,sitofp,float,32,-1,_Z5colorRN4sycl3_V17nd_itemILi2EEEPhiiff
38,load,int,32,-1,_Z5colorRN4sycl3_V17nd_itemILi2EEEPhiiff
39,sitofp,float,32,-1,_Z5colorRN4sycl3_V17nd_itemILi2EEEPhiiff
40,call,float,32,-1,_Z5colorRN4sycl3_V17nd_itemILi2EEEPhiiff
41,load,float,32,-1,_Z5colorRN4sycl3_V17nd_itemILi2EEEPhiiff
42,fmul,float,32,-1,_Z5colorRN4sycl3_V17nd_itemILi2EEEPhiiff
43,load,float,32,-1,_Z5colorRN4sycl3_V17nd_itemILi2EEEPhiiff
44,fsub,float,32,-1,_Z5colorRN4sycl3_V17nd_itemILi2EEEPhiiff
45,load,int,32,-1,_Z5colorRN4sycl3_V17nd_itemILi2EEEPhiiff
46,load,int,32,-1,_Z5colorRN4sycl3_V17nd_itemILi2EEEPhiiff
47,icmp,int,1,-1,_Z5colorRN4sycl3_V17nd_itemILi2EEEPhiiff
