site_id,site_class,opcode,type_kind,bitwidth,operand_index,function,source_file,source_line,source_column,signature_ordinal,semantic_key
1,base,load,int,32,-1,_ZTSZZ4mainENKUlRN4sycl3_V17handlerEE_clES2_E2cw,/opt/aurora/25.190.0/oneapi/compiler/2025.2/bin/compiler/../../include/sycl/handler.hpp,1490,3,1,_ZTSZZ4mainENKUlRN4sycl3_V17handlerEE_clES2_E2cw|base|load|int|32|-1|/opt/aurora/25.190.0/oneapi/compiler/2025.2/bin/compiler/../../include/sycl/handler.hpp|1490|3|1
2,base,load,int,32,-1,_ZTSZZ4mainENKUlRN4sycl3_V17handlerEE_clES2_E2cw,/opt/aurora/25.190.0/oneapi/compiler/2025.2/bin/compiler/../../include/sycl/handler.hpp,1490,3,2,_ZTSZZ4mainENKUlRN4sycl3_V17handlerEE_clES2_E2cw|base|load|int|32|-1|/opt/aurora/25.190.0/oneapi/compiler/2025.2/bin/compiler/../../include/sycl/handler.hpp|1490|3|2
3,base,load,float,32,-1,_ZTSZZ4mainENKUlRN4sycl3_V17handlerEE_clES2_E2cw,/opt/aurora/25.190.0/oneapi/compiler/2025.2/bin/compiler/../../include/sycl/handler.hpp,1490,3,1,_ZTSZZ4mainENKUlRN4sycl3_V17handlerEE_clES2_E2cw|base|load|float|32|-1|/opt/aurora/25.190.0/oneapi/compiler/2025.2/bin/compiler/../../include/sycl/handler.hpp|1490|3|1
4,base,load,float,32,-1,_ZTSZZ4mainENKUlRN4sycl3_V17handlerEE_clES2_E2cw,/opt/aurora/25.190.0/oneapi/compiler/2025.2/bin/compiler/../../include/sycl/handler.hpp,1490,3,2,_ZTSZZ4mainENKUlRN4sycl3_V17handlerEE_clES2_E2cw|base|load|float|32|-1|/opt/aurora/25.190.0/oneapi/compiler/2025.2/bin/compiler/../../include/sycl/handler.hpp|1490|3|2
5,base,load,int,32,-1,_ZZZ4mainENKUlRN4sycl3_V17handlerEE_clES2_ENKUlNS0_7nd_itemILi2EEEE_clES5_,/home/mdunlavy/GPU_FI/HeCBench/src/colorwheel-sycl/main.cpp,134,28,1,_ZZZ4mainENKUlRN4sycl3_V17handlerEE_clES2_ENKUlNS0_7nd_itemILi2EEEE_clES5_|base|load|int|32|-1|/home/mdunlavy/GPU_FI/HeCBench/src/colorwheel-sycl/main.cpp|134|28|1
6,base,load,int,32,-1,_ZZZ4mainENKUlRN4sycl3_V17handlerEE_clES2_ENKUlNS0_7nd_itemILi2EEEE_clES5_,/home/mdunlavy/GPU_FI/HeCBench/src/colorwheel-sycl/main.cpp,134,34,2,_ZZZ4mainENKUlRN4sycl3_V17handlerEE_clES2_ENKUlNS0_7nd_itemILi2EEEE_clES5_|base|load|int|32|-1|/home/mdunlavy/GPU_FI/HeCBench/src/colorwheel-sycl/main.cpp|134|34|2
7,base,load,float,32,-1,_ZZZ4mainENKUlRN4sycl3_V17handlerEE_clES2_ENKUlNS0_7nd_itemILi2EEEE_clES5_,/home/mdunlavy/GPU_FI/HeCBench/src/colorwheel-sycl/main.cpp,134,45,1,_ZZZ4mainENKUlRN4sycl3_V17handlerEE_clES2_ENKUlNS0_7nd_itemILi2EEEE_clES5_|base|load|float|32|-1|/home/mdunlavy/GPU_FI/HeCBench/src/colorwheel-sycl/main.cpp|134|45|1
8,base,load,float,32,-1,_ZZZ4mainENKUlRN4sycl3_V17handlerEE_clES2_ENKUlNS0_7nd_itemILi2EEEE_clES5_,/home/mdunlavy/GPU_FI/HeCBench/src/colorwheel-sycl/main.cpp,134,52,2,_ZZZ4mainENKUlRN4sycl3_V17handlerEE_clES2_ENKUlNS0_7nd_itemILi2EEEE_clES5_|base|load|float|32|-1|/home/mdunlavy/GPU_FI/HeCBench/src/colorwheel-sycl/main.cpp|134|52|2
9,base,load,int,32,-1,_Z5colorRN4sycl3_V17nd_itemILi2EEEPhiiff,/opt/aurora/25.190.0/oneapi/compiler/2025.2/bin/compiler/../../include/sycl/nd_item.hpp,75,33,1,_Z5colorRN4sycl3_V17nd_itemILi2EEEPhiiff|base|load|int|32|-1|/opt/aurora/25.190.0/oneapi/compiler/2025.2/bin/compiler/../../include/sycl/nd_item.hpp|75|33|1
10,base,load,int,64,-1,_Z5colorRN4sycl3_V17nd_itemILi2EEEPhiiff,/opt/aurora/25.190.0/oneapi/compiler/2025.2/bin/compiler/../../include/sycl/nd_item.hpp,75,17,1,_Z5colorRN4sycl3_V17nd_itemILi2EEEPhiiff|base|load|int|64|-1|/opt/aurora/25.190.0/oneapi/compiler/2025.2/bin/compiler/../../include/sycl/nd_item.hpp|75|17|1
11,base,load,int,64,-1,_Z5colorRN4sycl3_V17nd_itemILi2EEEPhiiff,/opt/aurora/25.190.0/oneapi/compiler/2025.2/bin/compiler/../../include/sycl/nd_item.hpp,76,5,2,_Z5colorRN4sycl3_V17nd_itemILi2EEEPhiiff|base|load|int|64|-1|/opt/aurora/25.190.0/oneapi/compiler/2025.2/bin/compiler/../../include/sycl/nd_item.hpp|76|5|2
12,base,icmp,int,1,-1,_Z5colorRN4sycl3_V17nd_itemILi2EEEPhiiff,/opt/aurora/25.190.0/oneapi/compiler/2025.2/bin/compiler/../../include/sycl/nd_item.hpp,76,5,1,_Z5colorRN4sycl3_V17nd_itemILi2EEEPhiiff|base|icmp|int|1|-1|/opt/aurora/25.190.0/oneapi/compiler/2025.2/bin/compiler/../../include/sycl/nd_item.hpp|76|5|1
13,base,load,int,64,-1,_Z5colorRN4sycl3_V17nd_itemILi2EEEPhiiff,/opt/aurora/25.190.0/oneapi/compiler/2025.2/bin/compiler/../../include/sycl/nd_item.hpp,77,12,3,_Z5colorRN4sycl3_V17nd_itemILi2EEEPhiiff|base|load|int|64|-1|/opt/aurora/25.190.0/oneapi/compiler/2025.2/bin/compiler/../../include/sycl/nd_item.hpp|77|12|3
14,base,trunc,int,32,-1,_Z5colorRN4sycl3_V17nd_itemILi2EEEPhiiff,/home/mdunlavy/GPU_FI/HeCBench/src/colorwheel-sycl/main.cpp,67,11,1,_Z5colorRN4sycl3_V17nd_itemILi2EEEPhiiff|base|trunc|int|32|-1|/home/mdunlavy/GPU_FI/HeCBench/src/colorwheel-sycl/main.cpp|67|11|1
15,base,load,int,32,-1,_Z5colorRN4sycl3_V17nd_itemILi2EEEPhiiff,/opt/aurora/25.190.0/oneapi/compiler/2025.2/bin/compiler/../../include/sycl/nd_item.hpp,75,33,2,_Z5colorRN4sycl3_V17nd_itemILi2EEEPhiiff|base|load|int|32|-1|/opt/aurora/25.190.0/oneapi/compiler/2025.2/bin/compiler/../../include/sycl/nd_item.hpp|75|33|2
16,base,load,int,64,-1,_Z5colorRN4sycl3_V17nd_itemILi2EEEPhiiff,/opt/aurora/25.190.0/oneapi/compiler/2025.2/bin/compiler/../../include/sycl/nd_item.hpp,75,17,4,_Z5colorRN4sycl3_V17nd_itemILi2EEEPhiiff|base|load|int|64|-1|/opt/aurora/25.190.0/oneapi/compiler/2025.2/bin/compiler/../../include/sycl/nd_item.hpp|75|17|4
17,base,load,int,64,-1,_Z5colorRN4sycl3_V17nd_itemILi2EEEPhiiff,/opt/aurora/25.190.0/oneapi/compiler/2025.2/bin/compiler/../../include/sycl/nd_item.hpp,76,5,5,_Z5colorRN4sycl3_V17nd_itemILi2EEEPhiiff|base|load|int|64|-1|/opt/aurora/25.190.0/oneapi/compiler/2025.2/bin/compiler/../../include/sycl/nd_item.hpp|76|5|5
18,base,icmp,int,1,-1,_Z5colorRN4sycl3_V17nd_itemILi2EEEPhiiff,/opt/aurora/25.190.0/oneapi/compiler/2025.2/bin/compiler/../../include/sycl/nd_item.hpp,76,5,2,_Z5colorRN4sycl3_V17nd_itemILi2EEEPhiiff|base|icmp|int|1|-1|/opt/aurora/25.190.0/oneapi/compiler/2025.2/bin/compiler/../../include/sycl/nd_item.hpp|76|5|2
