site_id,site_class,opcode,type_kind,bitwidth,operand_index,function,source_file,source_line,source_column,signature_ordinal,semantic_key
1,base,load,int,32,-1,_ZTSZZ4mainENKUlRN4sycl3_V17handlerEE_clES2_E3de1,/opt/aurora/25.190.0/oneapi/compiler/2025.2/bin/compiler/../../include/sycl/handler.hpp,1490,3,1,_ZTSZZ4mainENKUlRN4sycl3_V17handlerEE_clES2_E3de1|base|load|int|32|-1|/opt/aurora/25.190.0/oneapi/compiler/2025.2/bin/compiler/../../include/sycl/handler.hpp|1490|3|1
2,base,load,int,32,-1,_ZZZ4mainENKUlRN4sycl3_V17handlerEE_clES2_ENKUlNS0_7nd_itemILi1EEEE_clES5_,/home/mdunlavy/GPU_FI/HeCBench/src/dense-embedding-sycl/main.cpp,194,59,1,_ZZZ4mainENKUlRN4sycl3_V17handlerEE_clES2_ENKUlNS0_7nd_itemILi1EEEE_clES5_|base|load|int|32|-1|/home/mdunlavy/GPU_FI/HeCBench/src/dense-embedding-sycl/main.cpp|194|59|1
3,base,load,int,32,-1,_Z11dense_esuhmIfEvRN4sycl3_V17nd_itemILi1EEEPKT_S7_PS5_iPKi,/opt/aurora/25.190.0/oneapi/compiler/2025.2/bin/compiler/../../include/sycl/nd_item.hpp,138,32,1,_Z11dense_esuhmIfEvRN4sycl3_V17nd_itemILi1EEEPKT_S7_PS5_iPKi|base|load|int|32|-1|/opt/aurora/25.190.0/oneapi/compiler/2025.2/bin/compiler/../../include/sycl/nd_item.hpp|138|32|1
4,base,load,int,64,-1,_Z11dense_esuhmIfEvRN4sycl3_V17nd_itemILi1EEEPKT_S7_PS5_iPKi,/opt/aurora/25.190.0/oneapi/compiler/2025.2/bin/compiler/../../include/sycl/nd_item.hpp,138,17,1,_Z11dense_esuhmIfEvRN4sycl3_V17nd_itemILi1EEEPKT_S7_PS5_iPKi|base|load|int|64|-1|/opt/aurora/25.190.0/oneapi/compiler/2025.2/bin/compiler/../../include/sycl/nd_item.hpp|138|17|1
5,base,load,int,64,-1,_Z11dense_esuhmIfEvRN4sycl3_V17nd_itemILi1EEEPKT_S7_PS5_iPKi,/opt/aurora/25.190.0/oneapi/compiler/2025.2/bin/compiler/../../include/sycl/nd_item.hpp,139,5,2,_Z11dense_esuhmIfEvRN4sycl3_V17nd_itemILi1EEEPKT_S7_PS5_iPKi|base|load|int|64|-1|/opt/aurora/25.190.0/oneapi/compiler/2025.2/bin/compiler/../../include/sycl/nd_item.hpp|139|5|2
6,base,icmp,int,1,-1,_Z11dense_esuhmIfEvRN4sycl3_V17nd_itemILi1EEEPKT_S7_PS5_iPKi,/opt/aurora/25.190.0/oneapi/compiler/2025.2/bin/compiler/../../include/sycl/nd_item.hpp,139,5,1,_Z11dense_esuhmIfEvRN4sycl3_V17nd_itemILi1EEEPKT_S7_PS5_iPKi|base|icmp|int|1|-1|/opt/aurora/25.190.0/oneapi/compiler/2025.2/bin/compiler/../../include/sycl/nd_item.hpp|139|5|1
7,base,load,int,64,-1,_Z11dense_esuhmIfEvRN4sycl3_V17nd_itemILi1EEEPKT_S7_PS5_iPKi,/opt/aurora/25.190.0/oneapi/compiler/2025.2/bin/compiler/../../include/sycl/nd_item.hpp,140,12,3,_Z11dense_esuhmIfEvRN4sycl3_V17nd_itemILi1EEEPKT_S7_PS5_iPKi|base|load|int|64|-1|/opt/aurora/25.190.0/oneapi/compiler/2025.2/bin/compiler/../../include/sycl/nd_item.hpp|140|12|3
8,base,trunc,int,32,-1,_Z11dense_esuhmIfEvRN4sycl3_V17nd_itemILi1EEEPKT_S7_PS5_iPKi,/home/mdunlavy/GPU_FI/HeCBench/src/dense-embedding-sycl/main.cpp,38,26,1,_Z11dense_esuhmIfEvRN4sycl3_V17nd_itemILi1EEEPKT_S7_PS5_iPKi|base|trunc|int|32|-1|/home/mdunlavy/GPU_FI/HeCBench/src/dense-embedding-sycl/main.cpp|38|26|1
9,base,call,int,64,-1,_Z11dense_esuhmIfEvRN4sycl3_V17nd_itemILi1EEEPKT_S7_PS5_iPKi,/home/mdunlavy/GPU_FI/HeCBench/src/dense-embedding-sycl/main.cpp,39,31,1,_Z11dense_esuhmIfEvRN4sycl3_V17nd_itemILi1EEEPKT_S7_PS5_iPKi|base|call|int|64|-1|/home/mdunlavy/GPU_FI/HeCBench/src/dense-embedding-sycl/main.cpp|39|31|1
10,base,trunc,int,32,-1,_Z11dense_esuhmIfEvRN4sycl3_V17nd_itemILi1EEEPKT_S7_PS5_iPKi,/home/mdunlavy/GPU_FI/HeCBench/src/dense-embedding-sycl/main.cpp,39,26,2,_Z11dense_esuhmIfEvRN4sycl3_V17nd_itemILi1EEEPKT_S7_PS5_iPKi|base|trunc|int|32|-1|/home/mdunlavy/GPU_FI/HeCBench/src/dense-embedding-sycl/main.cpp|39|26|2
