index,site_id,bit_index,bitwidth,type_kind,opcode,site_class,operand_index
1,9,0,64,ptr,addrspacecast,pointer,0
2,9,1,64,ptr,addrspacecast,pointer,0
3,9,2,64,ptr,addrspacecast,pointer,0
4,9,3,64,ptr,addrspacecast,pointer,0
5,9,4,64,ptr,addrspacecast,pointer,0
6,9,5,64,ptr,addrspacecast,pointer,0
7,9,6,64,ptr,addrspacecast,pointer,0
8,9,7,64,ptr,addrspacecast,pointer,0
9,9,8,64,ptr,addrspacecast,pointer,0
10,9,9,64,ptr,addrspacecast,pointer,0
11,9,10,64,ptr,addrspacecast,pointer,0
12,9,11,64,ptr,addrspacecast,pointer,0
13,9,12,64,ptr,addrspacecast,pointer,0
14,9,13,64,ptr,addrspacecast,pointer,0
15,9,14,64,ptr,addrspacecast,pointer,0
16,9,15,64,ptr,addrspacecast,pointer,0
17,9,16,64,ptr,addrspacecast,pointer,0
18,9,17,64,ptr,addrspacecast,pointer,0
19,9,18,64,ptr,addrspacecast,pointer,0
20,9,19,64,ptr,addrspacecast,pointer,0
21,9,20,64,ptr,addrspacecast,pointer,0
22,9,21,64,ptr,addrspacecast,pointer,0
23,9,22,64,ptr,addrspacecast,pointer,0
24,9,23,64,ptr,addrspacecast,pointer,0
25,9,24,64,ptr,addrspacecast,pointer,0
26,9,25,64,ptr,addrspacecast,pointer,0
27,9,26,64,ptr,addrspacecast,pointer,0
28,9,27,64,ptr,addrspacecast,pointer,0
29,9,28,64,ptr,addrspacecast,pointer,0
30,9,29,64,ptr,addrspacecast,pointer,0
31,9,30,64,ptr,addrspacecast,pointer,0
32,9,31,64,ptr,addrspacecast,pointer,0
33,9,32,64,ptr,addrspacecast,pointer,0
34,9,33,64,ptr,addrspacecast,pointer,0
35,9,34,64,ptr,addrspacecast,pointer,0
36,9,35,64,ptr,addrspacecast,pointer,0
37,9,36,64,ptr,addrspacecast,pointer,0
38,9,37,64,ptr,addrspacecast,pointer,0
39,9,38,64,ptr,addrspacecast,pointer,0
40,9,39,64,ptr,addrspacecast,pointer,0
41,9,40,64,ptr,addrspacecast,pointer,0
42,9,41,64,ptr,addrspacecast,pointer,0
43,9,42,64,ptr,addrspacecast,pointer,0
44,9,43,64,ptr,addrspacecast,pointer,0
45,9,44,64,ptr,addrspacecast,pointer,0
46,9,45,64,ptr,addrspacecast,pointer,0
47,9,46,64,ptr,addrspacecast,pointer,0
48,9,47,64,ptr,addrspacecast,pointer,0
49,9,48,64,ptr,addrspacecast,pointer,0
50,9,49,64,ptr,addrspacecast,pointer,0
51,9,50,64,ptr,addrspacecast,pointer,0
52,9,51,64,ptr,addrspacecast,pointer,0
53,9,52,64,ptr,addrspacecast,pointer,0
54,9,53,64,ptr,addrspacecast,pointer,0
55,9,54,64,ptr,addrspacecast,pointer,0
56,9,55,64,ptr,addrspacecast,pointer,0
57,9,56,64,ptr,addrspacecast,pointer,0
58,9,57,64,ptr,addrspacecast,pointer,0
59,9,58,64,ptr,addrspacecast,pointer,0
60,9,59,64,ptr,addrspacecast,pointer,0
61,9,60,64,ptr,addrspacecast,pointer,0
62,9,61,64,ptr,addrspacecast,pointer,0
63,9,62,64,ptr,addrspacecast,pointer,0
64,9,63,64,ptr,addrspacecast,pointer,0
65,11,0,64,ptr,addrspacecast,pointer,0
66,11,1,64,ptr,addrspacecast,pointer,0
67,11,2,64,ptr,addrspacecast,pointer,0
68,11,3,64,ptr,addrspacecast,pointer,0
69,11,4,64,ptr,addrspacecast,pointer,0
70,11,5,64,ptr,addrspacecast,pointer,0
71,11,6,64,ptr,addrspacecast,pointer,0
72,11,7,64,ptr,addrspacecast,pointer,0
73,11,8,64,ptr,addrspacecast,pointer,0
74,11,9,64,ptr,addrspacecast,pointer,0
75,11,10,64,ptr,addrspacecast,pointer,0
76,11,11,64,ptr,addrspacecast,pointer,0
77,11,12,64,ptr,addrspacecast,pointer,0
78,11,13,64,ptr,addrspacecast,pointer,0
79,11,14,64,ptr,addrspacecast,pointer,0
80,11,15,64,ptr,addrspacecast,pointer,0
81,11,16,64,ptr,addrspacecast,pointer,0
82,11,17,64,ptr,addrspacecast,pointer,0
83,11,18,64,ptr,addrspacecast,pointer,0
84,11,19,64,ptr,addrspacecast,pointer,0
85,11,20,64,ptr,addrspacecast,pointer,0
86,11,21,64,ptr,addrspacecast,pointer,0
87,11,22,64,ptr,addrspacecast,pointer,0
88,11,23,64,ptr,addrspacecast,pointer,0
89,11,24,64,ptr,addrspacecast,pointer,0
90,11,25,64,ptr,addrspacecast,pointer,0
91,11,26,64,ptr,addrspacecast,pointer,0
92,11,27,64,ptr,addrspacecast,pointer,0
93,11,28,64,ptr,addrspacecast,pointer,0
94,11,29,64,ptr,addrspacecast,pointer,0
95,11,30,64,ptr,addrspacecast,pointer,0
96,11,31,64,ptr,addrspacecast,pointer,0
97,11,32,64,ptr,addrspacecast,pointer,0
98,11,33,64,ptr,addrspacecast,pointer,0
99,11,34,64,ptr,addrspacecast,pointer,0
100,11,35,64,ptr,addrspacecast,pointer,0
101,11,36,64,ptr,addrspacecast,pointer,0
102,11,37,64,ptr,addrspacecast,pointer,0
103,11,38,64,ptr,addrspacecast,pointer,0
104,11,39,64,ptr,addrspacecast,pointer,0
105,11,40,64,ptr,addrspacecast,pointer,0
106,11,41,64,ptr,addrspacecast,pointer,0
107,11,42,64,ptr,addrspacecast,pointer,0
108,11,43,64,ptr,addrspacecast,pointer,0
109,11,44,64,ptr,addrspacecast,pointer,0
110,11,45,64,ptr,addrspacecast,pointer,0
111,11,46,64,ptr,addrspacecast,pointer,0
112,11,47,64,ptr,addrspacecast,pointer,0
113,11,48,64,ptr,addrspacecast,pointer,0
114,11,49,64,ptr,addrspacecast,pointer,0
115,11,50,64,ptr,addrspacecast,pointer,0
116,11,51,64,ptr,addrspacecast,pointer,0
117,11,52,64,ptr,addrspacecast,pointer,0
118,11,53,64,ptr,addrspacecast,pointer,0
119,11,54,64,ptr,addrspacecast,pointer,0
120,11,55,64,ptr,addrspacecast,pointer,0
121,11,56,64,ptr,addrspacecast,pointer,0
122,11,57,64,ptr,addrspacecast,pointer,0
123,11,58,64,ptr,addrspacecast,pointer,0
124,11,59,64,ptr,addrspacecast,pointer,0
125,11,60,64,ptr,addrspacecast,pointer,0
126,11,61,64,ptr,addrspacecast,pointer,0
127,11,62,64,ptr,addrspacecast,pointer,0
128,11,63,64,ptr,addrspacecast,pointer,0
129,13,0,64,ptr,addrspacecast,pointer,0
130,13,1,64,ptr,addrspacecast,pointer,0
131,13,2,64,ptr,addrspacecast,pointer,0
132,13,3,64,ptr,addrspacecast,pointer,0
133,13,4,64,ptr,addrspacecast,pointer,0
134,13,5,64,ptr,addrspacecast,pointer,0
135,13,6,64,ptr,addrspacecast,pointer,0
136,13,7,64,ptr,addrspacecast,pointer,0
137,13,8,64,ptr,addrspacecast,pointer,0
138,13,9,64,ptr,addrspacecast,pointer,0
139,13,10,64,ptr,addrspacecast,pointer,0
140,13,11,64,ptr,addrspacecast,pointer,0
141,13,12,64,ptr,addrspacecast,pointer,0
142,13,13,64,ptr,addrspacecast,pointer,0
143,13,14,64,ptr,addrspacecast,pointer,0
144,13,15,64,ptr,addrspacecast,pointer,0
145,13,16,64,ptr,addrspacecast,pointer,0
146,13,17,64,ptr,addrspacecast,pointer,0
147,13,18,64,ptr,addrspacecast,pointer,0
148,13,19,64,ptr,addrspacecast,pointer,0
149,13,20,64,ptr,addrspacecast,pointer,0
150,13,21,64,ptr,addrspacecast,pointer,0
