index,site_id,bit_index,bitwidth,type_kind,opcode,site_class,operand_index
32206,1011,4,32,int,sext,operand,0
32718,1031,4,64,ptr,addrspacecast,pointer,0
33230,1047,4,64,ptr,load,pointer,0
33742,1061,36,64,ptr,getelementptr,pointer,0
34254,1080,36,64,ptr,getelementptr,pointer,0
34766,1096,4,64,ptr,getelementptr,pointer,0
35278,1135,4,64,ptr,addrspacecast,pointer,0
35790,1151,4,64,ptr,addrspacecast,pointer,0
36302,1165,36,64,ptr,call,pointer,0
36814,1175,3,32,int,trunc,base,-1
37326,1187,3,64,ptr,load,pointer,0
37838,1199,3,32,int,load,base,-1
38350,1212,2,32,int,icmp,operand,1
38862,1226,34,64,ptr,addrspacecast,pointer,0
39374,1238,34,64,int,load,base,-1
39886,1248,1,64,int,trunc,operand,0
40398,1261,0,64,ptr,load,pointer,0
40910,1273,32,64,ptr,load,pointer,0
41422,1285,0,32,int,srem,base,-1
41934,1298,0,32,float,load,base,-1
42446,1310,32,64,ptr,load,pointer,0
42958,1322,32,64,ptr,call,pointer,0
