index,site_id,bit_index,bitwidth,type_kind,opcode,site_class,operand_index
1,8,0,64,ptr,addrspacecast,pointer,0
2,8,1,64,ptr,addrspacecast,pointer,0
3,8,2,64,ptr,addrspacecast,pointer,0
4,8,3,64,ptr,addrspacecast,pointer,0
5,8,4,64,ptr,addrspacecast,pointer,0
6,8,5,64,ptr,addrspacecast,pointer,0
7,8,6,64,ptr,addrspacecast,pointer,0
8,8,7,64,ptr,addrspacecast,pointer,0
9,8,8,64,ptr,addrspacecast,pointer,0
10,8,9,64,ptr,addrspacecast,pointer,0
11,8,10,64,ptr,addrspacecast,pointer,0
12,8,11,64,ptr,addrspacecast,pointer,0
13,8,12,64,ptr,addrspacecast,pointer,0
14,8,13,64,ptr,addrspacecast,pointer,0
15,8,14,64,ptr,addrspacecast,pointer,0
16,8,15,64,ptr,addrspacecast,pointer,0
17,8,16,64,ptr,addrspacecast,pointer,0
18,8,17,64,ptr,addrspacecast,pointer,0
19,8,18,64,ptr,addrspacecast,pointer,0
20,8,19,64,ptr,addrspacecast,pointer,0
21,8,20,64,ptr,addrspacecast,pointer,0
22,8,21,64,ptr,addrspacecast,pointer,0
23,8,22,64,ptr,addrspacecast,pointer,0
24,8,23,64,ptr,addrspacecast,pointer,0
25,8,24,64,ptr,addrspacecast,pointer,0
26,8,25,64,ptr,addrspacecast,pointer,0
27,8,26,64,ptr,addrspacecast,pointer,0
28,8,27,64,ptr,addrspacecast,pointer,0
29,8,28,64,ptr,addrspacecast,pointer,0
30,8,29,64,ptr,addrspacecast,pointer,0
31,8,30,64,ptr,addrspacecast,pointer,0
32,8,31,64,ptr,addrspacecast,pointer,0
33,8,32,64,ptr,addrspacecast,pointer,0
34,8,33,64,ptr,addrspacecast,pointer,0
35,8,34,64,ptr,addrspacecast,pointer,0
36,8,35,64,ptr,addrspacecast,pointer,0
37,8,36,64,ptr,addrspacecast,pointer,0
38,8,37,64,ptr,addrspacecast,pointer,0
39,8,38,64,ptr,addrspacecast,pointer,0
40,8,39,64,ptr,addrspacecast,pointer,0
41,8,40,64,ptr,addrspacecast,pointer,0
42,8,41,64,ptr,addrspacecast,pointer,0
43,8,42,64,ptr,addrspacecast,pointer,0
44,8,43,64,ptr,addrspacecast,pointer,0
45,8,44,64,ptr,addrspacecast,pointer,0
46,8,45,64,ptr,addrspacecast,pointer,0
47,8,46,64,ptr,addrspacecast,pointer,0
48,8,47,64,ptr,addrspacecast,pointer,0
49,8,48,64,ptr,addrspacecast,pointer,0
50,8,49,64,ptr,addrspacecast,pointer,0
51,8,50,64,ptr,addrspacecast,pointer,0
52,8,51,64,ptr,addrspacecast,pointer,0
53,8,52,64,ptr,addrspacecast,pointer,0
