site_id,site_class,opcode,type_kind,bitwidth,operand_index,function,source_file,source_line,source_column,signature_ordinal,semantic_key
1,base,load,int,64,-1,_ZN4sycl3_V15rangeILi1EEC2ILi1EEENSt9enable_ifIXeqT_Li1EEmE4typeE,/opt/aurora/25.190.0/oneapi/compiler/2025.2/bin/compiler/../../include/sycl/range.hpp,41,66,1,_ZN4sycl3_V15rangeILi1EEC2ILi1EEENSt9enable_ifIXeqT_Li1EEmE4typeE|base|load|int|64|-1|/opt/aurora/25.190.0/oneapi/compiler/2025.2/bin/compiler/../../include/sycl/range.hpp|41|66|1
2,base,load,int,64,-1,_ZN4sycl3_V16detail5arrayILi1EEC2ILi1EEENSt9enable_ifIXeqT_Li1EEmE4typeE,/opt/aurora/25.190.0/oneapi/compiler/2025.2/bin/compiler/../../include/sycl/detail/array.hpp,44,22,1,_ZN4sycl3_V16detail5arrayILi1EEC2ILi1EEENSt9enable_ifIXeqT_Li1EEmE4typeE|base|load|int|64|-1|/opt/aurora/25.190.0/oneapi/compiler/2025.2/bin/compiler/../../include/sycl/detail/array.hpp|44|22|1
3,base,call,int,64,-1,_ZN4sycl3_V16detail9loop_implIJLm0EEZNS0_19local_accessor_baseIA18_A18_fLi0ELNS0_6access4modeE1026ELNS6_11placeholderE0EE6__initEPA18_A18_U3AS3fNS0_5rangeILi1EEESF_NS0_2idILi1EEEEUlmE_EEvSt16integer_sequenceImJXspT_EEEOT0_,/opt/aurora/25.190.0/oneapi/compiler/2025.2/bin/compiler/../../include/sycl/detail/helpers.hpp,244,6,1,_ZN4sycl3_V16detail9loop_implIJLm0EEZNS0_19local_accessor_baseIA18_A18_fLi0ELNS0_6access4modeE1026ELNS6_11placeholderE0EE6__initEPA18_A18_U3AS3fNS0_5rangeILi1EEESF_NS0_2idILi1EEEEUlmE_EEvSt16integer_sequenceImJXspT_EEEOT0_|base|call|int|64|-1|/opt/aurora/25.190.0/oneapi/compiler/2025.2/bin/compiler/../../include/sycl/detail/helpers.hpp|244|6|1
4,base,load,int,64,-1,_ZZN4sycl3_V119local_accessor_baseIA18_A18_fLi0ELNS0_6access4modeE1026ELNS4_11placeholderE0EE6__initEPA18_A18_U3AS3fNS0_5rangeILi1EEESD_NS0_2idILi1EEEENKUlmE_clEm,/opt/aurora/25.190.0/oneapi/compiler/2025.2/bin/compiler/../../include/sycl/accessor.hpp,2187,58,1,_ZZN4sycl3_V119local_accessor_baseIA18_A18_fLi0ELNS0_6access4modeE1026ELNS4_11placeholderE0EE6__initEPA18_A18_U3AS3fNS0_5rangeILi1EEESD_NS0_2idILi1EEEENKUlmE_clEm|base|load|int|64|-1|/opt/aurora/25.190.0/oneapi/compiler/2025.2/bin/compiler/../../include/sycl/accessor.hpp|2187|58|1
5,base,trunc,int,32,-1,_ZZN4sycl3_V119local_accessor_baseIA18_A18_fLi0ELNS0_6access4modeE1026ELNS4_11placeholderE0EE6__initEPA18_A18_U3AS3fNS0_5rangeILi1EEESD_NS0_2idILi1EEEENKUlmE_clEm,/opt/aurora/25.190.0/oneapi/compiler/2025.2/bin/compiler/../../include/sycl/accessor.hpp,2187,58,1,_ZZN4sycl3_V119local_accessor_baseIA18_A18_fLi0ELNS0_6access4modeE1026ELNS4_11placeholderE0EE6__initEPA18_A18_U3AS3fNS0_5rangeILi1EEESD_NS0_2idILi1EEEENKUlmE_clEm|base|trunc|int|32|-1|/opt/aurora/25.190.0/oneapi/compiler/2025.2/bin/compiler/../../include/sycl/accessor.hpp|2187|58|1
6,base,load,int,64,-1,_ZZN4sycl3_V119local_accessor_baseIA18_A18_fLi0ELNS0_6access4modeE1026ELNS4_11placeholderE0EE6__initEPA18_A18_U3AS3fNS0_5rangeILi1EEESD_NS0_2idILi1EEEENKUlmE_clEm,/opt/aurora/25.190.0/oneapi/compiler/2025.2/bin/compiler/../../include/sycl/accessor.hpp,2187,46,2,_ZZN4sycl3_V119local_accessor_baseIA18_A18_fLi0ELNS0_6access4modeE1026ELNS4_11placeholderE0EE6__initEPA18_A18_U3AS3fNS0_5rangeILi1EEESD_NS0_2idILi1EEEENKUlmE_clEm|base|load|int|64|-1|/opt/aurora/25.190.0/oneapi/compiler/2025.2/bin/compiler/../../include/sycl/accessor.hpp|2187|46|2
7,base,load,int,64,-1,_ZZN4sycl3_V119local_accessor_baseIA18_A18_fLi0ELNS0_6access4modeE1026ELNS4_11placeholderE0EE6__initEPA18_A18_U3AS3fNS0_5rangeILi1EEESD_NS0_2idILi1EEEENKUlmE_clEm,/opt/aurora/25.190.0/oneapi/compiler/2025.2/bin/compiler/../../include/sycl/accessor.hpp,2187,41,3,_ZZN4sycl3_V119local_accessor_baseIA18_A18_fLi0ELNS0_6access4modeE1026ELNS4_11placeholderE0EE6__initEPA18_A18_U3AS3fNS0_5rangeILi1EEESD_NS0_2idILi1EEEENKUlmE_clEm|base|load|int|64|-1|/opt/aurora/25.190.0/oneapi/compiler/2025.2/bin/compiler/../../include/sycl/accessor.hpp|2187|41|3
8,base,trunc,int,32,-1,_ZZN4sycl3_V119local_accessor_baseIA18_A18_fLi0ELNS0_6access4modeE1026ELNS4_11placeholderE0EE6__initEPA18_A18_U3AS3fNS0_5rangeILi1EEESD_NS0_2idILi1EEEENKUlmE_clEm,/opt/aurora/25.190.0/oneapi/compiler/2025.2/bin/compiler/../../include/sycl/accessor.hpp,2187,41,2,_ZZN4sycl3_V119local_accessor_baseIA18_A18_fLi0ELNS0_6access4modeE1026ELNS4_11placeholderE0EE6__initEPA18_A18_U3AS3fNS0_5rangeILi1EEESD_NS0_2idILi1EEEENKUlmE_clEm|base|trunc|int|32|-1|/opt/aurora/25.190.0/oneapi/compiler/2025.2/bin/compiler/../../include/sycl/accessor.hpp|2187|41|2
9,base,load,int,32,-1,_ZN4sycl3_V16detail5arrayILi1EEixEi,/opt/aurora/25.190.0/oneapi/compiler/2025.2/bin/compiler/../../include/sycl/detail/array.hpp,80,21,1,_ZN4sycl3_V16detail5arrayILi1EEixEi|base|load|int|32|-1|/opt/aurora/25.190.0/oneapi/compiler/2025.2/bin/compiler/../../include/sycl/detail/array.hpp|80|21|1
10,base,load,int,32,-1,_ZN4sycl3_V16detail5arrayILi1EEixEi,/opt/aurora/25.190.0/oneapi/compiler/2025.2/bin/compiler/../../include/sycl/detail/array.hpp,81,25,2,_ZN4sycl3_V16detail5arrayILi1EEixEi|base|load|int|32|-1|/opt/aurora/25.190.0/oneapi/compiler/2025.2/bin/compiler/../../include/sycl/detail/array.hpp|81|25|2
11,base,sext,int,64,-1,_ZN4sycl3_V16detail5arrayILi1EEixEi,/opt/aurora/25.190.0/oneapi/compiler/2025.2/bin/compiler/../../include/sycl/detail/array.hpp,81,12,1,_ZN4sycl3_V16detail5arrayILi1EEixEi|base|sext|int|64|-1|/opt/aurora/25.190.0/oneapi/compiler/2025.2/bin/compiler/../../include/sycl/detail/array.hpp|81|12|1
12,base,call,int,64,-1,_ZN4sycl3_V16detail9loop_implIJLm0EEZNS0_19local_accessor_baseIfLi1ELNS0_6access4modeE1026ELNS4_11placeholderE0EE6__initEPU3AS3fNS0_5rangeILi1EEESB_NS0_2idILi1EEEEUlmE_EEvSt16integer_sequenceImJXspT_EEEOT0_,/opt/aurora/25.190.0/oneapi/compiler/2025.2/bin/compiler/../../include/sycl/detail/helpers.hpp,244,6,1,_ZN4sycl3_V16detail9loop_implIJLm0EEZNS0_19local_accessor_baseIfLi1ELNS0_6access4modeE1026ELNS4_11placeholderE0EE6__initEPU3AS3fNS0_5rangeILi1EEESB_NS0_2idILi1EEEEUlmE_EEvSt16integer_sequenceImJXspT_EEEOT0_|base|call|int|64|-1|/opt/aurora/25.190.0/oneapi/compiler/2025.2/bin/compiler/../../include/sycl/detail/helpers.hpp|244|6|1
13,base,load,int,64,-1,_ZZN4sycl3_V119local_accessor_baseIfLi1ELNS0_6access4modeE1026ELNS2_11placeholderE0EE6__initEPU3AS3fNS0_5rangeILi1EEES9_NS0_2idILi1EEEENKUlmE_clEm,/opt/aurora/25.190.0/oneapi/compiler/2025.2/bin/compiler/../../include/sycl/accessor.hpp,2187,58,1,_ZZN4sycl3_V119local_accessor_baseIfLi1ELNS0_6access4modeE1026ELNS2_11placeholderE0EE6__initEPU3AS3fNS0_5rangeILi1EEES9_NS0_2idILi1EEEENKUlmE_clEm|base|load|int|64|-1|/opt/aurora/25.190.0/oneapi/compiler/2025.2/bin/compiler/../../include/sycl/accessor.hpp|2187|58|1
14,base,trunc,int,32,-1,_ZZN4sycl3_V119local_accessor_baseIfLi1ELNS0_6access4modeE1026ELNS2_11placeholderE0EE6__initEPU3AS3fNS0_5rangeILi1EEES9_NS0_2idILi1EEEENKUlmE_clEm,/opt/aurora/25.190.0/oneapi/compiler/2025.2/bin/compiler/../../include/sycl/accessor.hpp,2187,58,1,_ZZN4sycl3_V119local_accessor_baseIfLi1ELNS0_6access4modeE1026ELNS2_11placeholderE0EE6__initEPU3AS3fNS0_5rangeILi1EEES9_NS0_2idILi1EEEENKUlmE_clEm|base|trunc|int|32|-1|/opt/aurora/25.190.0/oneapi/compiler/2025.2/bin/compiler/../../include/sycl/accessor.hpp|2187|58|1
15,base,load,int,64,-1,_ZZN4sycl3_V119local_accessor_baseIfLi1ELNS0_6access4modeE1026ELNS2_11placeholderE0EE6__initEPU3AS3fNS0_5rangeILi1EEES9_NS0_2idILi1EEEENKUlmE_clEm,/opt/aurora/25.190.0/oneapi/compiler/2025.2/bin/compiler/../../include/sycl/accessor.hpp,2187,46,2,_ZZN4sycl3_V119local_accessor_baseIfLi1ELNS0_6access4modeE1026ELNS2_11placeholderE0EE6__initEPU3AS3fNS0_5rangeILi1EEES9_NS0_2idILi1EEEENKUlmE_clEm|base|load|int|64|-1|/opt/aurora/25.190.0/oneapi/compiler/2025.2/bin/compiler/../../include/sycl/accessor.hpp|2187|46|2
16,base,load,int,64,-1,_ZZN4sycl3_V119local_accessor_baseIfLi1ELNS0_6access4modeE1026ELNS2_11placeholderE0EE6__initEPU3AS3fNS0_5rangeILi1EEES9_NS0_2idILi1EEEENKUlmE_clEm,/opt/aurora/25.190.0/oneapi/compiler/2025.2/bin/compiler/../../include/sycl/accessor.hpp,2187,41,3,_ZZN4sycl3_V119local_accessor_baseIfLi1ELNS0_6access4modeE1026ELNS2_11placeholderE0EE6__initEPU3AS3fNS0_5rangeILi1EEES9_NS0_2idILi1EEEENKUlmE_clEm|base|load|int|64|-1|/opt/aurora/25.190.0/oneapi/compiler/2025.2/bin/compiler/../../include/sycl/accessor.hpp|2187|41|3
17,base,trunc,int,32,-1,_ZZN4sycl3_V119local_accessor_baseIfLi1ELNS0_6access4modeE1026ELNS2_11placeholderE0EE6__initEPU3AS3fNS0_5rangeILi1EEES9_NS0_2idILi1EEEENKUlmE_clEm,/opt/aurora/25.190.0/oneapi/compiler/2025.2/bin/compiler/../../include/sycl/accessor.hpp,2187,41,2,_ZZN4sycl3_V119local_accessor_baseIfLi1ELNS0_6access4modeE1026ELNS2_11placeholderE0EE6__initEPU3AS3fNS0_5rangeILi1EEES9_NS0_2idILi1EEEENKUlmE_clEm|base|trunc|int|32|-1|/opt/aurora/25.190.0/oneapi/compiler/2025.2/bin/compiler/../../include/sycl/accessor.hpp|2187|41|2
