site_id,site_class,opcode,type_kind,bitwidth,operand_index,function,source_file,source_line,source_column,signature_ordinal,semantic_key
1,base,load,int,32,-1,_ZTSZZ4mainENKUlRN4sycl3_V17handlerEE_clES2_E13matrix_rotate,/opt/aurora/25.190.0/oneapi/compiler/2025.2/bin/compiler/../../include/sycl/handler.hpp,1490,3,1,_ZTSZZ4mainENKUlRN4sycl3_V17handlerEE_clES2_E13matrix_rotate|base|load|int|32|-1|/opt/aurora/25.190.0/oneapi/compiler/2025.2/bin/compiler/../../include/sycl/handler.hpp|1490|3|1
2,base,load,int,32,-1,_ZZZ4mainENKUlRN4sycl3_V17handlerEE_clES2_ENKUlNS0_7nd_itemILi1EEEE_clES5_,/opt/aurora/25.190.0/oneapi/compiler/2025.2/bin/compiler/../../include/sycl/nd_item.hpp,75,33,1,_ZZZ4mainENKUlRN4sycl3_V17handlerEE_clES2_ENKUlNS0_7nd_itemILi1EEEE_clES5_|base|load|int|32|-1|/opt/aurora/25.190.0/oneapi/compiler/2025.2/bin/compiler/../../include/sycl/nd_item.hpp|75|33|1
3,base,load,int,64,-1,_ZZZ4mainENKUlRN4sycl3_V17handlerEE_clES2_ENKUlNS0_7nd_itemILi1EEEE_clES5_,/opt/aurora/25.190.0/oneapi/compiler/2025.2/bin/compiler/../../include/sycl/nd_item.hpp,75,17,1,_ZZZ4mainENKUlRN4sycl3_V17handlerEE_clES2_ENKUlNS0_7nd_itemILi1EEEE_clES5_|base|load|int|64|-1|/opt/aurora/25.190.0/oneapi/compiler/2025.2/bin/compiler/../../include/sycl/nd_item.hpp|75|17|1
4,base,load,int,64,-1,_ZZZ4mainENKUlRN4sycl3_V17handlerEE_clES2_ENKUlNS0_7nd_itemILi1EEEE_clES5_,/opt/aurora/25.190.0/oneapi/compiler/2025.2/bin/compiler/../../include/sycl/nd_item.hpp,76,5,2,_ZZZ4mainENKUlRN4sycl3_V17handlerEE_clES2_ENKUlNS0_7nd_itemILi1EEEE_clES5_|base|load|int|64|-1|/opt/aurora/25.190.0/oneapi/compiler/2025.2/bin/compiler/../../include/sycl/nd_item.hpp|76|5|2
5,base,icmp,int,1,-1,_ZZZ4mainENKUlRN4sycl3_V17handlerEE_clES2_ENKUlNS0_7nd_itemILi1EEEE_clES5_,/opt/aurora/25.190.0/oneapi/compiler/2025.2/bin/compiler/../../include/sycl/nd_item.hpp,76,5,1,_ZZZ4mainENKUlRN4sycl3_V17handlerEE_clES2_ENKUlNS0_7nd_itemILi1EEEE_clES5_|base|icmp|int|1|-1|/opt/aurora/25.190.0/oneapi/compiler/2025.2/bin/compiler/../../include/sycl/nd_item.hpp|76|5|1
6,base,load,int,64,-1,_ZZZ4mainENKUlRN4sycl3_V17handlerEE_clES2_ENKUlNS0_7nd_itemILi1EEEE_clES5_,/opt/aurora/25.190.0/oneapi/compiler/2025.2/bin/compiler/../../include/sycl/nd_item.hpp,77,12,3,_ZZZ4mainENKUlRN4sycl3_V17handlerEE_clES2_ENKUlNS0_7nd_itemILi1EEEE_clES5_|base|load|int|64|-1|/opt/aurora/25.190.0/oneapi/compiler/2025.2/bin/compiler/../../include/sycl/nd_item.hpp|77|12|3
7,base,trunc,int,32,-1,_ZZZ4mainENKUlRN4sycl3_V17handlerEE_clES2_ENKUlNS0_7nd_itemILi1EEEE_clES5_,/home/mdunlavy/GPU_FI/HeCBench/src/matrix-rotate-sycl/main.cpp,79,21,1,_ZZZ4mainENKUlRN4sycl3_V17handlerEE_clES2_ENKUlNS0_7nd_itemILi1EEEE_clES5_|base|trunc|int|32|-1|/home/mdunlavy/GPU_FI/HeCBench/src/matrix-rotate-sycl/main.cpp|79|21|1
8,base,load,int,32,-1,_ZZZ4mainENKUlRN4sycl3_V17handlerEE_clES2_ENKUlNS0_7nd_itemILi1EEEE_clES5_,/home/mdunlavy/GPU_FI/HeCBench/src/matrix-rotate-sycl/main.cpp,80,13,2,_ZZZ4mainENKUlRN4sycl3_V17handlerEE_clES2_ENKUlNS0_7nd_itemILi1EEEE_clES5_|base|load|int|32|-1|/home/mdunlavy/GPU_FI/HeCBench/src/matrix-rotate-sycl/main.cpp|80|13|2
9,base,load,int,32,-1,_ZZZ4mainENKUlRN4sycl3_V17handlerEE_clES2_ENKUlNS0_7nd_itemILi1EEEE_clES5_,/home/mdunlavy/GPU_FI/HeCBench/src/matrix-rotate-sycl/main.cpp,80,21,3,_ZZZ4mainENKUlRN4sycl3_V17handlerEE_clES2_ENKUlNS0_7nd_itemILi1EEEE_clES5_|base|load|int|32|-1|/home/mdunlavy/GPU_FI/HeCBench/src/matrix-rotate-sycl/main.cpp|80|21|3
10,base,sdiv,int,32,-1,_ZZZ4mainENKUlRN4sycl3_V17handlerEE_clES2_ENKUlNS0_7nd_itemILi1EEEE_clES5_,/home/mdunlavy/GPU_FI/HeCBench/src/matrix-rotate-sycl/main.cpp,80,22,1,_ZZZ4mainENKUlRN4sycl3_V17handlerEE_clES2_ENKUlNS0_7nd_itemILi1EEEE_clES5_|base|sdiv|int|32|-1|/home/mdunlavy/GPU_FI/HeCBench/src/matrix-rotate-sycl/main.cpp|80|22|1
