index,site_id,bit_index,bitwidth,type_kind,opcode,site_class,operand_index
33724,1156,48,64,ptr,load,pointer,0
34236,1171,14,32,int,phi,base,-1
34748,1190,46,64,ptr,addrspacecast,pointer,0
35260,1211,14,64,ptr,addrspacecast,pointer,0
35772,1230,14,64,ptr,addrspacecast,pointer,0
36284,1251,14,64,ptr,addrspacecast,pointer,0
36796,1266,14,64,int,call,base,-1
37308,1284,14,64,int,call,base,-1
37420,1287,62,64,ptr,addrspacecast,pointer,0
37820,1302,14,64,ptr,addrspacecast,pointer,0
37932,1304,62,64,int,extractelement,base,-1
38234,1320,44,64,ptr,addrspacecast,pointer,0
38332,1324,14,64,ptr,load,pointer,0
38444,1326,62,64,ptr,getelementptr,pointer,0
38746,1336,44,64,ptr,getelementptr,pointer,0
38844,1344,14,64,ptr,addrspacecast,pointer,0
38956,1346,62,64,ptr,addrspacecast,pointer,0
39258,1356,44,64,ptr,getelementptr,pointer,0
39356,1360,14,64,ptr,getelementptr,pointer,0
39406,1362,0,64,ptr,load,pointer,0
39468,1362,62,64,ptr,load,pointer,0
39770,1375,44,64,ptr,addrspacecast,pointer,0
39868,1379,14,64,ptr,getelementptr,pointer,0
39918,1381,0,64,ptr,getelementptr,pointer,0
39980,1381,62,64,ptr,getelementptr,pointer,0
40282,1395,44,64,ptr,addrspacecast,pointer,0
40380,1399,14,64,ptr,addrspacecast,pointer,0
40430,1401,0,64,ptr,load,pointer,0
40492,1401,62,64,ptr,load,pointer,0
