site_id,site_class,opcode,type_kind,bitwidth,operand_index,function,source_file,source_line,source_column,signature_ordinal,semantic_key
1,base,load,int,32,-1,_Z7setcolsPA3_iiiii,/home/mdunlavy/GPU_FI/HeCBench/src/colorwheel-cuda/main.cu,26,14,1,_Z7setcolsPA3_iiiii|base|load|int|32|-1|/home/mdunlavy/GPU_FI/HeCBench/src/colorwheel-cuda/main.cu|26|14|1
2,base,load,int,32,-1,_Z7setcolsPA3_iiiii,/home/mdunlavy/GPU_FI/HeCBench/src/colorwheel-cuda/main.cu,26,6,2,_Z7setcolsPA3_iiiii|base|load|int|32|-1|/home/mdunlavy/GPU_FI/HeCBench/src/colorwheel-cuda/main.cu|26|6|2
3,base,sext,int,64,-1,_Z7setcolsPA3_iiiii,/home/mdunlavy/GPU_FI/HeCBench/src/colorwheel-cuda/main.cu,26,3,1,_Z7setcolsPA3_iiiii|base|sext|int|64|-1|/home/mdunlavy/GPU_FI/HeCBench/src/colorwheel-cuda/main.cu|26|3|1
4,base,load,int,32,-1,_Z7setcolsPA3_iiiii,/home/mdunlavy/GPU_FI/HeCBench/src/colorwheel-cuda/main.cu,27,14,3,_Z7setcolsPA3_iiiii|base|load|int|32|-1|/home/mdunlavy/GPU_FI/HeCBench/src/colorwheel-cuda/main.cu|27|14|3
5,base,load,int,32,-1,_Z7setcolsPA3_iiiii,/home/mdunlavy/GPU_FI/HeCBench/src/colorwheel-cuda/main.cu,27,6,4,_Z7setcolsPA3_iiiii|base|load|int|32|-1|/home/mdunlavy/GPU_FI/HeCBench/src/colorwheel-cuda/main.cu|27|6|4
6,base,sext,int,64,-1,_Z7setcolsPA3_iiiii,/home/mdunlavy/GPU_FI/HeCBench/src/colorwheel-cuda/main.cu,27,3,2,_Z7setcolsPA3_iiiii|base|sext|int|64|-1|/home/mdunlavy/GPU_FI/HeCBench/src/colorwheel-cuda/main.cu|27|3|2
7,base,load,int,32,-1,_Z7setcolsPA3_iiiii,/home/mdunlavy/GPU_FI/HeCBench/src/colorwheel-cuda/main.cu,28,14,5,_Z7setcolsPA3_iiiii|base|load|int|32|-1|/home/mdunlavy/GPU_FI/HeCBench/src/colorwheel-cuda/main.cu|28|14|5
8,base,load,int,32,-1,_Z7setcolsPA3_iiiii,/home/mdunlavy/GPU_FI/HeCBench/src/colorwheel-cuda/main.cu,28,6,6,_Z7setcolsPA3_iiiii|base|load|int|32|-1|/home/mdunlavy/GPU_FI/HeCBench/src/colorwheel-cuda/main.cu|28|6|6
9,base,sext,int,64,-1,_Z7setcolsPA3_iiiii,/home/mdunlavy/GPU_FI/HeCBench/src/colorwheel-cuda/main.cu,28,3,3,_Z7setcolsPA3_iiiii|base|sext|int|64|-1|/home/mdunlavy/GPU_FI/HeCBench/src/colorwheel-cuda/main.cu|28|3|3
10,base,load,int,32,-1,_Z12computeColorffPh,/home/mdunlavy/GPU_FI/HeCBench/src/colorwheel-cuda/main.cu,42,15,1,_Z12computeColorffPh|base|load|int|32|-1|/home/mdunlavy/GPU_FI/HeCBench/src/colorwheel-cuda/main.cu|42|15|1
