site_id,site_class,opcode,type_kind,bitwidth,operand_index,function,source_file,source_line,source_column,signature_ordinal,semantic_key
1,result,load,int,64,-1,_Z11HPCC_startsx,/home/mdunlavy/GPU_FI_outcome_divergence/HeCBench/src/randomAccess-cuda/main.cu,27,10,1,_Z11HPCC_startsx|result|load|int|64|-1|/home/mdunlavy/GPU_FI_outcome_divergence/HeCBench/src/randomAccess-cuda/main.cu|27|10|1
2,result,icmp,int,1,-1,_Z11HPCC_startsx,/home/mdunlavy/GPU_FI_outcome_divergence/HeCBench/src/randomAccess-cuda/main.cu,27,12,1,_Z11HPCC_startsx|result|icmp|int|1|-1|/home/mdunlavy/GPU_FI_outcome_divergence/HeCBench/src/randomAccess-cuda/main.cu|27|12|1
3,result,load,int,64,-1,_Z11HPCC_startsx,/home/mdunlavy/GPU_FI_outcome_divergence/HeCBench/src/randomAccess-cuda/main.cu,27,19,2,_Z11HPCC_startsx|result|load|int|64|-1|/home/mdunlavy/GPU_FI_outcome_divergence/HeCBench/src/randomAccess-cuda/main.cu|27|19|2
4,result,add,int,64,-1,_Z11HPCC_startsx,/home/mdunlavy/GPU_FI_outcome_divergence/HeCBench/src/randomAccess-cuda/main.cu,27,19,1,_Z11HPCC_startsx|result|add|int|64|-1|/home/mdunlavy/GPU_FI_outcome_divergence/HeCBench/src/randomAccess-cuda/main.cu|27|19|1
5,result,load,int,64,-1,_Z11HPCC_startsx,/home/mdunlavy/GPU_FI_outcome_divergence/HeCBench/src/randomAccess-cuda/main.cu,28,10,3,_Z11HPCC_startsx|result|load|int|64|-1|/home/mdunlavy/GPU_FI_outcome_divergence/HeCBench/src/randomAccess-cuda/main.cu|28|10|3
6,result,icmp,int,1,-1,_Z11HPCC_startsx,/home/mdunlavy/GPU_FI_outcome_divergence/HeCBench/src/randomAccess-cuda/main.cu,28,12,2,_Z11HPCC_startsx|result|icmp|int|1|-1|/home/mdunlavy/GPU_FI_outcome_divergence/HeCBench/src/randomAccess-cuda/main.cu|28|12|2
7,result,load,int,64,-1,_Z11HPCC_startsx,/home/mdunlavy/GPU_FI_outcome_divergence/HeCBench/src/randomAccess-cuda/main.cu,28,24,4,_Z11HPCC_startsx|result|load|int|64|-1|/home/mdunlavy/GPU_FI_outcome_divergence/HeCBench/src/randomAccess-cuda/main.cu|28|24|4
8,result,sub,int,64,-1,_Z11HPCC_startsx,/home/mdunlavy/GPU_FI_outcome_divergence/HeCBench/src/randomAccess-cuda/main.cu,28,24,1,_Z11HPCC_startsx|result|sub|int|64|-1|/home/mdunlavy/GPU_FI_outcome_divergence/HeCBench/src/randomAccess-cuda/main.cu|28|24|1
9,result,load,int,64,-1,_Z11HPCC_startsx,/home/mdunlavy/GPU_FI_outcome_divergence/HeCBench/src/randomAccess-cuda/main.cu,29,7,5,_Z11HPCC_startsx|result|load|int|64|-1|/home/mdunlavy/GPU_FI_outcome_divergence/HeCBench/src/randomAccess-cuda/main.cu|29|7|5
10,result,icmp,int,1,-1,_Z11HPCC_startsx,/home/mdunlavy/GPU_FI_outcome_divergence/HeCBench/src/randomAccess-cuda/main.cu,29,9,3,_Z11HPCC_startsx|result|icmp|int|1|-1|/home/mdunlavy/GPU_FI_outcome_divergence/HeCBench/src/randomAccess-cuda/main.cu|29|9|3
