site_id,opcode,type_kind,bitwidth,operand_index,function
1,load,int,64,-1,_Z11HPCC_startsx
2,icmp,int,1,-1,_Z11HPCC_startsx
3,load,int,64,-1,_Z11HPCC_startsx
4,add,int,64,-1,_Z11HPCC_startsx
5,load,int,64,-1,_Z11HPCC_startsx
6,icmp,int,1,-1,_Z11HPCC_startsx
7,load,int,64,-1,_Z11HPCC_startsx
8,sub,int,64,-1,_Z11HPCC_startsx
9,load,int,64,-1,_Z11HPCC_startsx
10,icmp,int,1,-1,_Z11HPCC_startsx
11,load,int,32,-1,_Z11HPCC_startsx
12,icmp,int,1,-1,_Z11HPCC_startsx
13,load,int,64,-1,_Z11HPCC_startsx
14,load,int,32,-1,_Z11HPCC_startsx
15,sext,int,64,-1,_Z11HPCC_startsx
16,load,int,64,-1,_Z11HPCC_startsx
17,shl,int,64,-1,_Z11HPCC_startsx
18,load,int,64,-1,_Z11HPCC_startsx
19,icmp,int,1,-1,_Z11HPCC_startsx
20,zext,int,64,-1,_Z11HPCC_startsx
21,select,int,64,-1,_Z11HPCC_startsx
22,xor,int,64,-1,_Z11HPCC_startsx
23,load,int,64,-1,_Z11HPCC_startsx
24,shl,int,64,-1,_Z11HPCC_startsx
25,load,int,64,-1,_Z11HPCC_startsx
26,icmp,int,1,-1,_Z11HPCC_startsx
27,zext,int,64,-1,_Z11HPCC_startsx
28,select,int,64,-1,_Z11HPCC_startsx
29,xor,int,64,-1,_Z11HPCC_startsx
30,load,int,32,-1,_Z11HPCC_startsx
31,add,int,32,-1,_Z11HPCC_startsx
32,load,int,32,-1,_Z11HPCC_startsx
33,icmp,int,1,-1,_Z11HPCC_startsx
34,load,int,64,-1,_Z11HPCC_startsx
35,load,int,32,-1,_Z11HPCC_startsx
36,zext,int,64,-1,_Z11HPCC_startsx
37,ashr,int,64,-1,_Z11HPCC_startsx
38,and,int,64,-1,_Z11HPCC_startsx
39,icmp,int,1,-1,_Z11HPCC_startsx
40,load,int,32,-1,_Z11HPCC_startsx
41,add,int,32,-1,_Z11HPCC_startsx
42,load,int,32,-1,_Z11HPCC_startsx
43,icmp,int,1,-1,_Z11HPCC_startsx
44,load,int,32,-1,_Z11HPCC_startsx
45,icmp,int,1,-1,_Z11HPCC_startsx
46,load,int,64,-1,_Z11HPCC_startsx
47,load,int,32,-1,_Z11HPCC_startsx
48,zext,int,64,-1,_Z11HPCC_startsx
49,lshr,int,64,-1,_Z11HPCC_startsx
50,and,int,64,-1,_Z11HPCC_startsx
