worklist_id,bench,site_id,bit_index,comparison,expected_original_result,nvidia_site_id,amd_site_id,intel_site_id,nvidia_result,amd_result,intel_result,match_tier,notes
1,colorwheel,153,3,all_three_anchor,MASKED,26,153,81,SDC,MASKED,SDC,family_full,
2,colorwheel,153,7,all_three_anchor,MASKED,26,153,81,SDC,MASKED,SDC,family_full,
3,colorwheel,157,3,all_three_anchor,MASKED,28,157,83,SDC,MASKED,SDC,family_full,
4,colorwheel,157,7,all_three_anchor,MASKED,28,157,83,SDC,MASKED,SDC,family_full,
5,colorwheel,141,2,all_three_anchor,MASKED,20,141,75,SDC,MASKED,SDC,family_full,
6,colorwheel,141,6,all_three_anchor,MASKED,20,141,75,SDC,MASKED,SDC,family_full,
7,colorwheel,139,3,all_three_anchor,MASKED,19,139,74,SDC,MASKED,SDC,family_full,
8,colorwheel,139,7,all_three_anchor,MASKED,19,139,74,SDC,MASKED,SDC,family_full,
9,colorwheel,143,2,all_three_anchor,MASKED,21,143,76,SDC,MASKED,SDC,family_full,
10,colorwheel,143,6,all_three_anchor,MASKED,21,143,76,SDC,MASKED,SDC,family_full,
11,colorwheel,151,3,all_three_anchor,MASKED,25,151,80,SDC,MASKED,SDC,family_full,
12,colorwheel,151,7,all_three_anchor,MASKED,25,151,80,SDC,MASKED,SDC,family_full,
13,colorwheel,155,3,all_three_anchor,MASKED,27,155,82,SDC,MASKED,SDC,family_full,
14,colorwheel,155,7,all_three_anchor,MASKED,27,155,82,SDC,MASKED,SDC,family_full,
15,colorwheel,145,2,all_three_anchor,MASKED,22,145,77,SDC,MASKED,SDC,family_full,
16,colorwheel,145,6,all_three_anchor,MASKED,22,145,77,SDC,MASKED,SDC,family_full,
17,colorwheel,147,0,all_three_anchor,MASKED,23,147,78,SDC,MASKED,SDC,family_full,
18,colorwheel,147,4,all_three_anchor,MASKED,23,147,78,SDC,MASKED,SDC,family_full,
19,colorwheel,149,0,all_three_anchor,MASKED,24,149,79,SDC,MASKED,SDC,family_full,
20,colorwheel,149,4,all_three_anchor,MASKED,24,149,79,SDC,MASKED,SDC,family_full,
21,colorwheel,293,2,all_three_anchor,MASKED,145,293,146,SDC,MASKED,SDC,family_full,
22,colorwheel,293,6,all_three_anchor,MASKED,145,293,146,SDC,MASKED,SDC,family_full,
23,colorwheel,295,7,all_three_anchor,MASKED,146,295,147,SDC,MASKED,SDC,family_full,
24,colorwheel,115,1,all_three_anchor,MASKED,7,115,210,SDC,MASKED,SDC,family_full,
25,randomAccess,316,0,all_three_or_pairwise_anchor,MASKED,100,316,59,MASKED,MASKED,SDC,family_full,
26,randomAccess,320,1,all_three_or_pairwise_anchor,SDC,102,320,61,MASKED,SDC,SDC,source_context_type_family,
27,randomAccess,320,2,all_three_or_pairwise_anchor,SDC,102,320,61,MASKED,SDC,SDC,source_context_type_family,
28,randomAccess,354,0,all_three_or_pairwise_anchor,SDC,117,354,76,DUE,SDC,SDC,family_full,
29,randomAccess,139,0,all_three_or_pairwise_anchor,,19,139,95,SDC,,MASKED,family_full,
