worklist_id,bench,site_id,bit_index,comparison,expected_original_result,nvidia_site_id,amd_site_id,intel_site_id,nvidia_result,amd_result,intel_result,match_tier,notes,rerun_trial,rerun_result,rerun_exit_code,rerun_stdout,rerun_stderr,rerun_dump
1,colorwheel,153,3,all_three_anchor,MASKED,26,153,81,SDC,MASKED,SDC,family_full,,1,SDC,0,,,
2,colorwheel,153,7,all_three_anchor,MASKED,26,153,81,SDC,MASKED,SDC,family_full,,1,SDC,0,,,
3,colorwheel,157,3,all_three_anchor,MASKED,28,157,83,SDC,MASKED,SDC,family_full,,1,SDC,0,,,
4,colorwheel,157,7,all_three_anchor,MASKED,28,157,83,SDC,MASKED,SDC,family_full,,1,SDC,0,,,
5,colorwheel,141,2,all_three_anchor,MASKED,20,141,75,SDC,MASKED,SDC,family_full,,1,MASKED,0,,,
6,colorwheel,141,6,all_three_anchor,MASKED,20,141,75,SDC,MASKED,SDC,family_full,,1,MASKED,0,,,
7,colorwheel,139,3,all_three_anchor,MASKED,19,139,74,SDC,MASKED,SDC,family_full,,1,SDC,0,,,
8,colorwheel,139,7,all_three_anchor,MASKED,19,139,74,SDC,MASKED,SDC,family_full,,1,SDC,0,,,
9,colorwheel,143,2,all_three_anchor,MASKED,21,143,76,SDC,MASKED,SDC,family_full,,1,SDC,0,,,
10,colorwheel,143,6,all_three_anchor,MASKED,21,143,76,SDC,MASKED,SDC,family_full,,1,SDC,0,,,
11,colorwheel,151,3,all_three_anchor,MASKED,25,151,80,SDC,MASKED,SDC,family_full,,1,SDC,0,,,
12,colorwheel,151,7,all_three_anchor,MASKED,25,151,80,SDC,MASKED,SDC,family_full,,1,SDC,0,,,
13,colorwheel,155,3,all_three_anchor,MASKED,27,155,82,SDC,MASKED,SDC,family_full,,1,SDC,0,,,
14,colorwheel,155,7,all_three_anchor,MASKED,27,155,82,SDC,MASKED,SDC,family_full,,1,SDC,0,,,
15,colorwheel,145,2,all_three_anchor,MASKED,22,145,77,SDC,MASKED,SDC,family_full,,1,SDC,0,,,
16,colorwheel,145,6,all_three_anchor,MASKED,22,145,77,SDC,MASKED,SDC,family_full,,1,SDC,0,,,
17,colorwheel,147,0,all_three_anchor,MASKED,23,147,78,SDC,MASKED,SDC,family_full,,1,SDC,0,,,
18,colorwheel,147,4,all_three_anchor,MASKED,23,147,78,SDC,MASKED,SDC,family_full,,1,SDC,0,,,
19,colorwheel,149,0,all_three_anchor,MASKED,24,149,79,SDC,MASKED,SDC,family_full,,1,MASKED,0,,,
20,colorwheel,149,4,all_three_anchor,MASKED,24,149,79,SDC,MASKED,SDC,family_full,,1,MASKED,0,,,
21,colorwheel,293,2,all_three_anchor,MASKED,145,293,146,SDC,MASKED,SDC,family_full,,1,MASKED,0,,,
22,colorwheel,293,6,all_three_anchor,MASKED,145,293,146,SDC,MASKED,SDC,family_full,,1,SDC,0,,,
23,colorwheel,295,7,all_three_anchor,MASKED,146,295,147,SDC,MASKED,SDC,family_full,,1,SDC,0,,,
24,colorwheel,115,1,all_three_anchor,MASKED,7,115,210,SDC,MASKED,SDC,family_full,,1,MASKED,0,,,
25,randomAccess,316,0,all_three_or_pairwise_anchor,MASKED,100,316,59,MASKED,MASKED,SDC,family_full,,1,MASKED,0,,,
26,randomAccess,320,1,all_three_or_pairwise_anchor,SDC,102,320,61,MASKED,SDC,SDC,source_context_type_family,,1,MASKED,0,,,
27,randomAccess,320,2,all_three_or_pairwise_anchor,SDC,102,320,61,MASKED,SDC,SDC,source_context_type_family,,1,MASKED,0,,,
28,randomAccess,354,0,all_three_or_pairwise_anchor,SDC,117,354,76,DUE,SDC,SDC,family_full,,1,MASKED,0,,,
29,randomAccess,139,0,all_three_or_pairwise_anchor,,19,139,95,SDC,,MASKED,family_full,,1,MASKED,0,,,
30,randomAccess,133,0,all_three_or_pairwise_anchor,,16,133,92,SDC,,MASKED,family_full,,1,SDC,1,,,
31,randomAccess,133,1,all_three_or_pairwise_anchor,,16,133,92,SDC,,MASKED,family_full,,1,SDC,1,,,
32,randomAccess,137,7,all_three_or_pairwise_anchor,,18,137,94,MASKED,,SDC,family_full,,1,SDC,1,,,
33,randomAccess,137,8,all_three_or_pairwise_anchor,,18,137,94,MASKED,,SDC,family_full,,1,SDC,1,,,
34,randomAccess,145,0,all_three_or_pairwise_anchor,,22,145,98,SDC,,MASKED,family_full,,1,SDC,0,,,
35,randomAccess,145,1,all_three_or_pairwise_anchor,,22,145,98,SDC,,MASKED,family_full,,1,SDC,0,,,
36,randomAccess,141,0,all_three_or_pairwise_anchor,,20,141,96,MASKED,,SDC,family_full,,1,MASKED,0,,,
37,randomAccess,141,1,all_three_or_pairwise_anchor,,20,141,96,MASKED,,SDC,family_full,,1,MASKED,0,,,
38,randomAccess,249,0,all_three_or_pairwise_anchor,,71,249,147,SDC,,MASKED,family_full,,1,MASKED,0,,,
39,randomAccess,243,0,all_three_or_pairwise_anchor,,68,243,144,SDC,,MASKED,family_full,,1,MASKED,0,,,
40,randomAccess,243,1,all_three_or_pairwise_anchor,,68,243,144,SDC,,MASKED,family_full,,1,MASKED,0,,,
41,randomAccess,247,63,all_three_or_pairwise_anchor,,70,247,146,SDC,,MASKED,family_full,,1,MASKED,0,,,
42,randomAccess,253,0,all_three_or_pairwise_anchor,,73,253,149,SDC,,MASKED,family_full,,1,MASKED,0,,,
43,randomAccess,253,1,all_three_or_pairwise_anchor,,73,253,149,SDC,,MASKED,family_full,,1,MASKED,0,,,
44,randomAccess,245,0,all_three_or_pairwise_anchor,,69,245,145,SDC,,MASKED,family_full,,1,MASKED,0,,,
45,randomAccess,245,1,all_three_or_pairwise_anchor,,69,245,145,SDC,,MASKED,family_full,,1,MASKED,0,,,
46,randomAccess,255,0,all_three_or_pairwise_anchor,,74,255,150,SDC,,MASKED,family_full,,1,MASKED,0,,,
47,randomAccess,255,1,all_three_or_pairwise_anchor,,74,255,150,SDC,,MASKED,family_full,,1,MASKED,0,,,
48,randomAccess,129,0,all_three_or_pairwise_anchor,,14,129,90,SDC,,MASKED,family_full,,1,MASKED,0,,,
49,pathfinder,395,3,nvidia_vs_intel,,137,395,153,MASKED,,SDC,source_text_type_family,,1,MASKED,0,,,
50,pathfinder,395,17,nvidia_vs_intel,,137,395,153,MASKED,,SDC,source_text_type_family,,1,MASKED,0,,,
51,pathfinder,350,3,nvidia_vs_intel,,116,350,132,SDC,,MASKED,source_text_type_family,,1,MASKED,0,,,
52,pathfinder,350,17,nvidia_vs_intel,,116,350,132,SDC,,MASKED,source_text_type_family,,1,MASKED,0,,,
53,pathfinder,123,3,nvidia_vs_intel,,9,123,25,MASKED,,SDC,source_text_type_family,,1,MASKED,0,,,
54,pathfinder,123,31,nvidia_vs_intel,,9,123,25,MASKED,,SDC,source_text_type_family,,1,MASKED,0,,,
55,pathfinder,240,3,nvidia_vs_intel,,64,240,80,MASKED,,SDC,source_context_type_family,,1,MASKED,0,,,
56,pathfinder,240,17,nvidia_vs_intel,,64,240,80,MASKED,,SDC,source_context_type_family,,1,MASKED,0,,,
57,pathfinder,217,3,nvidia_vs_intel,,53,217,69,SDC,,MASKED,source_context_type_family,,1,MASKED,0,,,
58,pathfinder,217,17,nvidia_vs_intel,,53,217,69,SDC,,MASKED,source_context_type_family,,1,MASKED,0,,,
